"","STUDY","YEAR","POPULATION","STATISTIC","cvar","rootpv","tailpv","almvars","xvar","xvar0","PVRoots","PVTails","bnchmrk","dvar0","cutpoint","convar","catvar","ncats","refcats","codings","contrast"
"1","template",1900,1,"BENCHMARK","IDCNTRY","DOMAIN1",NA,NA,NA,NA,NA,NA,"311 395 479 563",NA,NA,NA,NA,NA,NA,NA,NA
"2","PIRLS",2001,4,"BENCHMARK","IDCNTRY","ASRREA0",NA,NA,NA,NA,NA,NA,"400 475 550 625",NA,NA,NA,NA,NA,NA,NA,NA
"3","PIRLS",2016,4,"BENCHMARK","IDCNTRY","ASRREA0",NA,NA,NA,NA,NA,NA,"400 475 550 625",NA,NA,NA,NA,NA,NA,NA,NA
"4","TIMSS",2003,4,"BENCHMARK","IDCNTRY","ASMMAT0",NA,NA,NA,NA,NA,NA,"400 475 550 625",NA,NA,NA,NA,NA,NA,NA,NA
"5","TIMSS",2015,8,"BENCHMARK","IDCNTRY","BSMMAT0",NA,NA,NA,NA,NA,NA,"400 475 550 625",NA,NA,NA,NA,NA,NA,NA,NA
"6","ICCS",2009,8,"BENCHMARK","IDCNTRY","PV","CIV",NA,NA,NA,NA,NA,"311 395 479 563",NA,NA,NA,NA,NA,NA,NA,NA
"7","ICILS",2018,8,"BENCHMARK","IDCNTRY","PV","CIL",NA,NA,NA,NA,NA,"407.001 492.001 576.001 661.001",NA,NA,NA,NA,NA,NA,NA,NA
"8","TIMSS",2023,8,"BENCHMARK","IDCNTRY","BSMMAT0",NA,NA,NA,NA,NA,NA,"400 475 550 625",NA,NA,NA,NA,NA,NA,NA,NA
"9","template",1900,1,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,"AGE","DOMAIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","template",1900,1,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,NA,"DOMAIN2 DOMAIN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","PIRLS",2001,4,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,"ASDGAGE","ASRREA0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PIRLS",2001,4,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,NA,"ASRINF0 ASRIIE0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","PIRLS",2016,4,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,"ASDAGE","ASRREA0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","PIRLS",2016,4,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,NA,"ASRINF0 ASRIIE0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","TIMSS",2003,4,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,"ASDAGE","ASMMAT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","TIMSS",2003,4,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,NA,"ASSSCI0 ASMDAP0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","TIMSS",2015,8,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,"BSDAGE","BSMMAT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","TIMSS",2015,8,"COR_PEARSON","IDCNTRY",NA,NA,NA,NA,NA,"BSSSCI0 BSMALG0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
