"","STUDY","YEAR","nrwgt","jk2type","wgt","stratvar","jkz","jkr","method","shrtcut"
"1","ICCS",2009,75,"HALF","TOTWGTS","JKZONES","JKZONES","JKREPS","JRR","N"
"2","ICCS",2016,75,"HALF","TOTWGTS","JKZONES","JKZONES","JKREPS","JRR","N"
"3","ICCS",2022,75,"HALF","TOTWGTS","JKZONES","JKZONES","JKREPS","JRR","N"
"4","ICILS",2013,75,"HALF","TOTWGTS","JKZONES","JKZONES","JKREPS","JRR","N"
"5","ICILS",2018,75,"HALF","TOTWGTS","JKZONES","JKZONES","JKREPS","JRR","N"
"6","ICILS",2023,75,"HALF","TOTWGTS","JKZONES","JKZONES","JKREPS","JRR","N"
"7","PIRLS",2001,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"8","PIRLS",2006,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"9","PIRLS",2011,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"10","PIRLS",2016,150,"FULL","TOTWGT","JKZONE","JKZONE","JKREP","JRR","N"
"11","PIRLS",2021,250,"FULL","TOTWGT","JKZONE","JKZONE","JKREP","JRR","N"
"12","TIMSS",1995,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"13","TIMSS",1999,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"14","TIMSS",2003,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"15","TIMSS",2007,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"16","TIMSS",2011,75,"HALF","TOTWGT","JKZONE","JKZONE","JKREP","JRR","Y"
"17","TIMSS",2015,150,"FULL","TOTWGT","JKZONE","JKZONE","JKREP","JRR","N"
"18","TIMSS",2019,150,"FULL","TOTWGT","JKZONE","JKZONE","JKREP","JRR","N"
"19","TIMSS",2023,250,"FULL","TOTWGT","JKZONE","JKZONE","JKREP","JRR","N"
