"";"IDCNTRY";"Variable";"HOMELIT";"HISCED";"HOMELIT.se";"HISCED.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Austria";"HOMELIT";1;0,342463513928483;0;0,0202271838268222;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"2";"Austria";"HISCED";0,342463513928483;1;0,0202271838268222;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"3";"Belgium (Flemish)";"HOMELIT";1;0,276245335332653;0;0,0232475013640221;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"4";"Belgium (Flemish)";"HISCED";0,276245335332653;1;0,0232475013640221;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"5";"Bulgaria";"HOMELIT";1;0,430605008412766;0;0,0208863450651158;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"6";"Bulgaria";"HISCED";0,430605008412766;1;0,0208863450651158;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"7";"Chile";"HOMELIT";1;0,373490944130058;0;0,0159211474082547;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"8";"Chile";"HISCED";0,373490944130058;1;0,0159211474082547;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"9";"Chinese Taipei";"HOMELIT";1;0,382821909112489;0;0,0157998537241981;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"10";"Chinese Taipei";"HISCED";0,382821909112489;1;0,0157998537241981;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"11";"Colombia";"HOMELIT";1;0,360579904445554;0;0,017801290226536;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"12";"Colombia";"HISCED";0,360579904445554;1;0,017801290226536;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"13";"Cyprus";"HOMELIT";1;0,225674550083362;0;0,0202255687067598;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"14";"Cyprus";"HISCED";0,225674550083362;1;0,0202255687067598;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"15";"Czech Republic";"HOMELIT";1;0,27548560353961;0;0,0169484548893359;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"16";"Czech Republic";"HISCED";0,27548560353961;1;0,0169484548893359;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"17";"Denmark";"HOMELIT";1;0,31479611855593;0;0,019980584526134;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"18";"Denmark";"HISCED";0,31479611855593;1;0,019980584526134;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"19";"Dominican Republic";"HOMELIT";1;0,273953829969357;0;0,0188703256702299;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"20";"Dominican Republic";"HISCED";0,273953829969357;1;0,0188703256702299;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"21";"England";"HOMELIT";1;0,308562746328317;0;0,0208047286934193;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"22";"England";"HISCED";0,308562746328317;1;0,0208047286934193;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"23";"Estonia";"HOMELIT";1;0,235230665631829;0;0,0236746057073107;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"24";"Estonia";"HISCED";0,235230665631829;1;0,0236746057073107;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"25";"Finland";"HOMELIT";1;0,291587274348705;0;0,019818383826136;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"26";"Finland";"HISCED";0,291587274348705;1;0,019818383826136;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"27";"Greece";"HOMELIT";1;0,39756859110164;0;0,0168548147018171;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"28";"Greece";"HISCED";0,39756859110164;1;0,0168548147018171;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"29";"Guatemala";"HOMELIT";1;0,370418194463752;0;0,0184795825223582;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"30";"Guatemala";"HISCED";0,370418194463752;1;0,0184795825223582;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"31";"Hong Kong, SAR";"HOMELIT";1;0,414817611371676;0;0,0279351832642283;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"32";"Hong Kong, SAR";"HISCED";0,414817611371676;1;0,0279351832642283;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"33";"Indonesia";"HOMELIT";1;0,19285665502135;0;0,0196996344229769;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"34";"Indonesia";"HISCED";0,19285665502135;1;0,0196996344229769;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"35";"Ireland";"HOMELIT";1;0,35038402146666;0;0,0187224559977496;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"36";"Ireland";"HISCED";0,35038402146666;1;0,0187224559977496;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"37";"Italy";"HOMELIT";1;0,403457047170343;0;0,0179169238360049;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"38";"Italy";"HISCED";0,403457047170343;1;0,0179169238360049;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"39";"Korea, Republic of";"HOMELIT";1;0,325642239072542;0;0,0148342139526623;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"40";"Korea, Republic of";"HISCED";0,325642239072542;1;0,0148342139526623;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"41";"Latvia";"HOMELIT";1;0,268590540632163;0;0,0184273748523627;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"42";"Latvia";"HISCED";0,268590540632163;1;0,0184273748523627;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"43";"Liechtenstein";"HOMELIT";1;0,418130416699758;0;0,0440684988210041;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"44";"Liechtenstein";"HISCED";0,418130416699758;1;0,0440684988210041;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"45";"Lithuania";"HOMELIT";1;0,400764321376576;0;0,0131797973172528;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"46";"Lithuania";"HISCED";0,400764321376576;1;0,0131797973172528;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"47";"Luxembourg";"HOMELIT";1;0,486836712581788;0;0,0150407160383222;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"48";"Luxembourg";"HISCED";0,486836712581788;1;0,0150407160383222;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"49";"Malta";"HOMELIT";1;0,300610591933261;0;0,0248177961317;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"50";"Malta";"HISCED";0,300610591933261;1;0,0248177961317;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"51";"Mexico";"HOMELIT";1;0,328752731147432;0;0,0208884225431069;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"52";"Mexico";"HISCED";0,328752731147432;1;0,0208884225431069;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"53";"Netherlands";"HOMELIT";1;0,314980605491382;0;0,0315581732903407;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"54";"Netherlands";"HISCED";0,314980605491382;1;0,0315581732903407;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"55";"New Zealand";"HOMELIT";1;0,250452426857051;0;0,0195587089036374;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"56";"New Zealand";"HISCED";0,250452426857051;1;0,0195587089036374;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"57";"Norway";"HOMELIT";1;0,302021053629354;0;0,0177242607837427;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"58";"Norway";"HISCED";0,302021053629354;1;0,0177242607837427;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"59";"Paraguay";"HOMELIT";1;0,449270237551236;0;0,0224898400140458;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"60";"Paraguay";"HISCED";0,449270237551236;1;0,0224898400140458;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"61";"Poland";"HOMELIT";1;0,414829676480148;0;0,0214155555275231;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
"62";"Poland";"HISCED";0,414829676480148;1;0,0214155555275231;0;"HOMELIT HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h21m";75;"NONE"
