IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Austria;HOMELIT;2,54271189900742;1,40288962898985;85690,092946542;3277;1970,76290342667;,0395220476844741;,0205189856276698;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED;3,44014890242359;,94886765831822;85690,092946542;3277;1970,76290342667;,0231187462363509;,0145126031875396;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Belgium (Flemish);HOMELIT;1,9416892213644;1,28485526880521;65532,404053193;2864;2693,02257567118;,045418947989435;,0239252408041188;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Belgium (Flemish);HISCED;3,97020057369395;,938382416156716;65532,404053193;2864;2693,02257567118;,0406593628611942;,0199653460987909;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;HOMELIT;2,18082309204966;1,48165362701092;62600,4606467513;3204;2194,77433612093;,0541014368133861;,0226766744794519;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;HISCED;3,74557063057429;1,14830825920191;62600,4606467513;3204;2194,77433612093;,0418830504827902;,0194801272946843;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;HOMELIT;1,67657183496773;1,18493929502758;254310,748164138;5106;7532,98411010293;,0404245220261343;,0150808078711335;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;HISCED;3,21940790650522;1,08204827921231;254310,748164138;5106;7532,98411010293;,038235352144082;,01938824308352;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;HOMELIT;2,26792991082515;1,38230294279379;301615,924717185;5132;4282,10333268276;,0312863611522672;,0132108448967901;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;HISCED;3,45143549063681;1,00551112430572;301615,924717185;5132;4282,10333268276;,0268130820329893;,0125077135085074;HOMELIT HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h19m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
