IDCNTRY;StratVar;NVarStrat
Austria;JKZONES;68
Bulgaria;JKZONES;75
Chile;JKZONES;75
Chinese Taipei;JKZONES;75
Colombia;JKZONES;75
Cyprus;JKZONES;75
Czech Republic;JKZONES;73
Denmark;JKZONES;75
Dominican Republic;JKZONES;73
Estonia;JKZONES;71
Finland;JKZONES;75
Greece;JKZONES;75
Guatemala;JKZONES;74
Hong Kong, SAR;JKZONES;39
Indonesia;JKZONES;71
Ireland;JKZONES;73
Italy;JKZONES;75
Korea, Republic of;JKZONES;75
Latvia;JKZONES;75
Liechtenstein;JKZONES;75
Lithuania;JKZONES;75
Luxembourg;JKZONES;75
Malta;JKZONES;75
Mexico;JKZONES;75
Netherlands;JKZONES;34
New Zealand;JKZONES;75
Norway;JKZONES;65
Paraguay;JKZONES;75
Poland;JKZONES;75
Russian Federation;JKZONES;62
Slovak Republic;JKZONES;71
Slovenia;JKZONES;75
Spain;JKZONES;75
Sweden;JKZONES;75
Switzerland;JKZONES;75
Thailand;JKZONES;75
England;JKZONES;62
Belgium (Flemish);JKZONES;75
