"";"IDCNTRY";"Variable";"OPDISC";"PV_CIV";"OPDISC.se";"PV_CIV.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Austria";"OPDISC";1;0,165067606942805;0;0,0242287767526048;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"2";"Austria";"PV_CIV";0,165067606942805;1;0,0242287767526048;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"3";"Belgium (Flemish)";"OPDISC";1;0,0828746045686616;0;0,0309989886158698;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"4";"Belgium (Flemish)";"PV_CIV";0,0828746045686616;1;0,0309989886158698;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"5";"Bulgaria";"OPDISC";1;0,367597754280145;0;0,0235122618747804;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"6";"Bulgaria";"PV_CIV";0,367597754280145;1;0,0235122618747804;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"7";"Chile";"OPDISC";1;0,223587769091383;0;0,0204521590033449;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"8";"Chile";"PV_CIV";0,223587769091383;1;0,0204521590033449;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"9";"Chinese Taipei";"OPDISC";1;0,200516649923697;0;0,0164293609027509;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"10";"Chinese Taipei";"PV_CIV";0,200516649923697;1;0,0164293609027509;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"11";"Colombia";"OPDISC";1;0,296223539922847;0;0,0191057968602793;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"12";"Colombia";"PV_CIV";0,296223539922847;1;0,0191057968602793;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"13";"Cyprus";"OPDISC";1;0,243895172072218;0;0,0194921009925275;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"14";"Cyprus";"PV_CIV";0,243895172072218;1;0,0194921009925275;0;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
