"";"IDCNTRY";"Variable";"TOTWGTS";"mean";"stdev";"TOTWGTS.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Austria";"OPDISC";87163,6264397176;47,6894753242804;10,3944250242779;1932,1435406859;0,318065761476685;0,200451803143337;3335;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"2";"Austria";"PV_CIV";87163,6264397176;504,139303709441;96,5411885850945;1932,1435406859;3,92611535679834;1,96586285235657;3335;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"3";"Belgium (Flemish)";"OPDISC";67720,9243903413;49,0842803479198;8,90835717395411;2737,9130539137;0,272725976562196;0,190819420853651;2959;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"4";"Belgium (Flemish)";"PV_CIV";67720,9243903413;514,250554092308;81,3074626178496;2737,9130539137;4,67108670781495;2,07869733455906;2959;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"5";"Bulgaria";"OPDISC";62196,5721656862;47,8496122944348;10,345447546064;2110,71225541218;0,353677170627435;0,252398721569632;3186;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"6";"Bulgaria";"PV_CIV";62196,5721656862;469,413698909953;103,856455734994;2110,71225541218;4,92243059642338;3,15785837386778;3186;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"7";"Chile";"OPDISC";255181,936866269;52,324857003017;10,090938779268;7559,56348580235;0,301951014826693;0,171851286645737;5128;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"8";"Chile";"PV_CIV";255181,936866269;483,947530229252;87,199050848279;7559,56348580235;3,50232896510755;1,54252704296632;5128;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"9";"Chinese Taipei";"OPDISC";302256,683750854;50,4360067332489;10,0754159245571;4258,0758682877;0,284022140438361;0,164544709538214;5143;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"10";"Chinese Taipei";"PV_CIV";302256,683750854;559,151728651418;93,6565157995094;4258,0758682877;2,44874723485175;1,2472592745436;5143;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
"11";"Colombia";"OPDISC";642867,806428938;50,1426987008452;8,83102548651046;19923,8756954698;0,231318944600154;0,172308214966072;6038;"OPDISC PV_CIV";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"22h38m";75;5;"NONE"
