"";"IDCNTRY";"Variable";"RHOMELIT";"RHISCED";"RHOMELIT.se";"RHISCED.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Austria";"RHOMELIT";1;0,344324117795762;0;0,019860355416916;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"2";"Austria";"RHISCED";0,344324117795762;1;0,019860355416916;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"3";"Belgium (Flemish)";"RHOMELIT";1;0,287695739271793;0;0,0224815818937586;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"4";"Belgium (Flemish)";"RHISCED";0,287695739271793;1;0,0224815818937586;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"5";"Bulgaria";"RHOMELIT";1;0,435331525318594;0;0,0211875084048186;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"6";"Bulgaria";"RHISCED";0,435331525318594;1;0,0211875084048186;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"7";"Chile";"RHOMELIT";1;0,376979446561702;0;0,0167628710613662;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"8";"Chile";"RHISCED";0,376979446561702;1;0,0167628710613662;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"9";"Chinese Taipei";"RHOMELIT";1;0,386067476683671;0;0,0150865038008877;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
"10";"Chinese Taipei";"RHISCED";0,386067476683671;1;0,0150865038008877;0;" RHOMELIT RHISCED";"SPEARMAN";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";"12h51m";75;"NONE"
