IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Austria;RHOMELIT;1608,97304524523;922,291306116072;85690,092946542;3277;1970,76290342667;26,2705772401409;10,9855215370646; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;RHISCED;1615,93234613244;828,136809177815;85690,092946542;3277;1970,76290342667;20,4502618319677;10,8057481540987; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Belgium (Flemish);RHOMELIT;1418,9620342286;807,73840830572;65532,404053193;2864;2693,02257567118;27,0738411677022;9,29888608523166; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Belgium (Flemish);RHISCED;1442,48250713152;779,089274010836;65532,404053193;2864;2693,02257567118;36,1183163005165;8,59036161533043; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;RHOMELIT;1565,55106615333;916,611546700554;62600,4606467513;3204;2194,77433612093;34,0523214340871;12,3529670755617; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;RHISCED;1567,01063499584;871,978757213597;62600,4606467513;3204;2194,77433612093;31,7879657483972;10,2818890890332; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;RHOMELIT;2407,96546645478;1414,02297402052;254310,748164138;5106;7532,98411010293;49,8901842882763;11,5060847700738; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;RHISCED;2330,31683008923;1361,11713480185;254310,748164138;5106;7532,98411010293;48,7647323225738;19,0480370970069; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;RHOMELIT;2534,05081476682;1442,96318243338;301615,924717185;5132;4282,10333268276;32,2392646122199;11,1063161159601; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;RHISCED;2533,05089123573;1383,20143564061;301615,924717185;5132;4282,10333268276;36,713558748157;14,5188571605512; RHOMELIT RHISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26; 9h 4m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
