IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Austria;HISCED;SGENDER;BOY;BOY;49,9803178169187;1,41156444294757;49,9803178169187;1,41156444294757;0; ; ;3,48420251808176;,028992181752468;3,48420251808176;,028992181752468;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED;SGENDER;BOY;GIRL;49,9803178169187;1,41156444294757;50,0196821830813;1,41156444294758;,0393643661625092;2,82312888589515;,0139435242787464;3,48420251808176;,028992181752468;3,38489292022962;,034247483488588;-,0993095978521352;,0417757339430594;-2,37720773469821;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED;SGENDER;GIRL;BOY;50,0196821830813;1,41156444294758;49,9803178169187;1,41156444294757;-,0393643661625092;2,82312888589515;-,0139435242787464;3,38489292022962;,034247483488588;3,48420251808176;,028992181752468;,0993095978521352;,0417757339430594;2,37720773469821;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED;SGENDER;GIRL;GIRL;50,0196821830813;1,41156444294758;50,0196821830813;1,41156444294758;0; ; ;3,38489292022962;,034247483488588;3,38489292022962;,034247483488588;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;HISCED;SGENDER;BOY;BOY;48,1680421120763;1,6631234598236;48,1680421120763;1,6631234598236;0; ; ;3,81098623252947;,0485943302585588;3,81098623252947;,0485943302585588;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;HISCED;SGENDER;BOY;GIRL;48,1680421120763;1,6631234598236;51,8319578879237;1,66312345982359;3,66391577584735;3,32624691964719;1,10151647317752;3,81098623252947;,0485943302585588;3,67983712240936;,0523114795906368;-,131149110120109;,0544550340785831;-2,40839276550355;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;HISCED;SGENDER;GIRL;BOY;51,8319578879237;1,66312345982359;48,1680421120763;1,6631234598236;-3,66391577584735;3,32624691964719;-1,10151647317752;3,67983712240936;,0523114795906368;3,81098623252947;,0485943302585588;,131149110120109;,0544550340785831;2,40839276550355;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;HISCED;SGENDER;GIRL;GIRL;51,8319578879237;1,66312345982359;51,8319578879237;1,66312345982359;0; ; ;3,67983712240936;,0523114795906368;3,67983712240936;,0523114795906368;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;HISCED;SGENDER;BOY;BOY;49,2306901403679;1,46331265826079;49,2306901403679;1,46331265826079;0; ; ;3,22272487204176;,0434544524590913;3,22272487204176;,0434544524590913;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;HISCED;SGENDER;BOY;GIRL;49,2306901403679;1,46331265826079;50,7693098596321;1,46331265826078;1,53861971926416;2,92662531652157;,525731705585355;3,22272487204176;,0434544524590913;3,21314265944939;,0465522613224778;-,0095822125923668;,0472718223683759;-,202704531204559;TOTWGTS;JRR;HALF;26-FEB-26;10h10m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
