IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Austria;PVCIV;SGENDER;BOY;BOY;50,0662457551711;1,41276078401011;50,0662457551711;1,41276078401011;0; ; ;496,46747778714;4,51161497981699;496,46747778714;4,51161497981699;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;SGENDER;BOY;GIRL;50,0662457551711;1,41276078401011;49,9337542448289;1,4127607840101;-,132491510342238;2,8255215680202;-,0468909923894416;496,46747778714;4,51161497981699;512,602686832774;4,59176200665572;16,135209045634;4,65629306818455;3,46524774307752;7 to 25;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;SGENDER;GIRL;BOY;49,9337542448289;1,4127607840101;50,0662457551711;1,41276078401011;,132491510342238;2,8255215680202;,0468909923894416;512,602686832774;4,59176200665572;496,46747778714;4,51161497981699;-16,135209045634;4,65629306818455;-3,46524774307752;-25 to -7;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;SGENDER;GIRL;GIRL;49,9337542448289;1,4127607840101;49,9337542448289;1,4127607840101;0; ; ;512,602686832774;4,59176200665572;512,602686832774;4,59176200665572;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;SGENDER;BOY;BOY;48,2132189312346;1,64635895822538;48,2132189312346;1,64635895822538;0; ; ;453,507676521741;6,12809218171747;453,507676521741;6,12809218171747;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;SGENDER;BOY;GIRL;48,2132189312346;1,64635895822538;51,7867810687655;1,64635895822538;3,57356213753088;3,29271791645076;1,08529252374672;453,507676521741;6,12809218171747;479,29735037713;5,20633403680048;25,7896738553892;5,31535374477746;4,85192051060167;15 to 36;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;SGENDER;GIRL;BOY;51,7867810687655;1,64635895822538;48,2132189312346;1,64635895822538;-3,57356213753088;3,29271791645076;-1,08529252374672;479,29735037713;5,20633403680048;453,507676521741;6,12809218171747;-25,7896738553892;5,31535374477746;-4,85192051060167;-36 to -15;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;SGENDER;GIRL;GIRL;51,7867810687655;1,64635895822538;51,7867810687655;1,64635895822538;0; ; ;479,29735037713;5,20633403680048;479,29735037713;5,20633403680048;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;SGENDER;BOY;BOY;49,1709748002708;1,4484846329337;49,1709748002708;1,4484846329337;0; ; ;476,22754773918;4,20463532805598;476,22754773918;4,20463532805598;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;SGENDER;BOY;GIRL;49,1709748002708;1,4484846329337;50,8290251997292;1,44848463293368;1,65805039945833;2,89696926586738;,572339658205485;476,22754773918;4,20463532805598;489,83372848472;4,26115987950071;13,6061807455397;4,77913819713195;2,84699462210678;4 to 23;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;SGENDER;GIRL;BOY;50,8290251997292;1,44848463293368;49,1709748002708;1,4484846329337;-1,65805039945833;2,89696926586738;-,572339658205485;489,83372848472;4,26115987950071;476,22754773918;4,20463532805598;-13,6061807455397;4,77913819713195;-2,84699462210678;-23 to -4;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chile;PVCIV;SGENDER;GIRL;GIRL;50,8290251997292;1,44848463293368;50,8290251997292;1,44848463293368;0; ; ;489,83372848472;4,26115987950071;489,83372848472;4,26115987950071;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;SGENDER;BOY;BOY;51,5847983975957;,566390516034123;51,5847983975957;,566390516034123;0; ; ;546,124322611916;2,74957294033027;546,124322611916;2,74957294033027;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;SGENDER;BOY;GIRL;51,5847983975957;,566390516034123;48,4152016024043;,566390516034132;-3,16959679519132;1,13278103206826;-2,79806662140538;546,124322611916;2,74957294033027;572,547653600475;2,73105868796255;26,4233309885594;2,53338127605895;10,4300648458509;21 to 31;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;SGENDER;GIRL;BOY;48,4152016024043;,566390516034132;51,5847983975957;,566390516034123;3,16959679519132;1,13278103206826;2,79806662140538;572,547653600475;2,73105868796255;546,124322611916;2,74957294033027;-26,4233309885594;2,53338127605895;-10,4300648458509;-31 to -21;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Chinese Taipei;PVCIV;SGENDER;GIRL;GIRL;48,4152016024043;,566390516034132;48,4152016024043;,566390516034132;0; ; ;572,547653600475;2,73105868796255;572,547653600475;2,73105868796255;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;BOY;BOY;47,7685219120201;1,36709392324838;47,7685219120201;1,36709392324838;0; ; ;460,626472831611;4,04960333202995;460,626472831611;4,04960333202995;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;BOY;GIRL;47,7685219120201;1,36709392324838;52,2314780879799;1,36709392324838;4,46295617595972;2,73418784649676;1,63227855089693;460,626472831611;4,04960333202995;463,409194415218;3,05538664694957;2,78272158360663;4,05548939686998;,686161720889798;-5 to 11;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;GIRL;BOY;52,2314780879799;1,36709392324838;47,7685219120201;1,36709392324838;-4,46295617595972;2,73418784649676;-1,63227855089693;463,409194415218;3,05538664694957;460,626472831611;4,04960333202995;-2,78272158360663;4,05548939686998;-,686161720889798;-11 to 5;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Colombia;PVCIV;SGENDER;GIRL;GIRL;52,2314780879799;1,36709392324838;52,2314780879799;1,36709392324838;0; ; ;463,409194415218;3,05538664694957;463,409194415218;3,05538664694957;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;PVCIV;SGENDER;BOY;BOY;50,3539061429911;,624476034187002;50,3539061429911;,624476034187002;0; ; ;434,814759069961;3,19984715172411;434,814759069961;3,19984715172411;0; ; ; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Cyprus;PVCIV;SGENDER;BOY;GIRL;50,3539061429911;,624476034187002;49,6460938570089;,62447603418699;-,707812285982212;1,24895206837399;-,566724939976048;434,814759069961;3,19984715172411;475,079860749121;2,74149694524967;40,2651016791601;3,66503268665628;10,9862871962256;33 to 47;TOTWGTS;JRR;HALF;N;26-FEB-26;10h10m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
