IDCNTRY;EqVar;b;ExpB;df;b.se;ExpB.se;b.wald;b.sig;dvar;convar;catvar;contrast;refcats;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Austria;CONSTANT;5,08093905768839;198,954366378706;1;1,55450022307518;361,213331342066;10,683323868201;,00108105641101255;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;SAGE;-,451425465587307;,637527925228983;1;,111698684617573;,0709189641478071;16,3333771973977;5,31200520667491E-005;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;OPDISC;,0301434374731835;1,03060384233276;1;,00489480344008944;,00504485890006659;37,9240787635568;7,35518349084521E-010;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED(1);-17,1460181512336;,0208193327897512;1;12,3288736577627;,0766197974396261;1,93410369264288;,164310178696027;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED(2);-2,11487218108787;,128147616886814;1;,816597047213967;,113868183700581;6,70737578622013;,00960149191415001;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED(3);-1,98463949075527;,138083512089764;1;,290508278841839;,0399576480535659;46,6709059124406;8,39664093745095E-012;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED(4);-,784236774924983;,457939659581437;1;,170492020132583;,0776991208667389;21,1585690909379;4,22806507340705E-006;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;HISCED(5);-,860321241805105;,425408447335155;1;,226629427425744;,0953094926187046;14,4108198439836;,000146955523991166;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;SGENDER(1);-,0650641194718955;,938582060860236;1;,119109892724599;,111482471803692;,298392186294955;,584892135539188;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Belgium (Flemish);CONSTANT;7,45248597426541;2165,32924691485;1;1,79706402822533;4088,33422333597;17,1978926080864;3,36809776334042E-005;PVCIV_DIC;SAGE OPDISC;HISCED SGENDER;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGTS;JRR;HALF;N;26-FEB-26;10h 9m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
