"";"IDCNTRY";"LL";"CSR";"NKR";"LL.svr";"LL.se";"CSR.se";"NKR.se";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Austria";96076,4932444999;0,0794651662331776;0,109749255660993;9322422,39572476;3084,9373714054;0,0132912899399397;0,0182885325318149;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"2";"Belgium (Flemish)";79775,0460734774;0,0715117871863473;0,0981754533005514;18819196,6012824;4397,30099399239;0,0151333832487963;0,0204778696576722;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"3";"Bulgaria";57976,6689570978;0,140491242713298;0,209894108899746;7749336,91466995;2942,11488897781;0,0196476384977574;0,0271867553064767;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"4";"Chile";244180,602886616;0,107985010439402;0,162618261522086;104434180,150239;10356,2229534143;0,012747621282391;0,0189959229435038;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"5";"Chinese Taipei";380643,056211294;0,0994870378945505;0,133316046679574;54775820,232621;7505,77642762665;0,010918566572375;0,0146577360746254;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"6";"Colombia";478099,107669171;0,0690499923149207;0,121907391706992;291738597,389957;18991,8956947528;0,0116280825608809;0,0192579570334438;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"7";"Cyprus";6731,63427049047;0,06852881235086;0,115260627604561;46979,6143943138;227,979232718723;0,0108321901066737;0,0171270201673017;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"8";"Czech Republic";112864,927105119;0,0584511019952535;0,0811382475951918;12244686,0747294;3528,41299435123;0,00968982173987021;0,0133466363490652;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"9";"Denmark";69764,5609912296;0,0884897096872782;0,120814228373876;4340038,06477092;2096,95712523057;0,0122583283307659;0,0168866647580681;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"10";"Dominican Republic";11932,2825307466;0,0215295055827212;0,185928581950012;4124686,45058637;2197,18922089838;0,00901058494697965;0,060196016705197;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"11";"England";571189,448786859;0,113191227438388;0,152263755564342;262343115,051853;17419,3114682783;0,0196893149809678;0,026297480712263;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"12";"Estonia";14472,2783981823;0,0808283735812073;0,108816312228981;155323,330485033;403,44011871525;0,0141422990593782;0,0188317915599294;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"13";"Finland";74799,6891444781;0,070072821044808;0,0961598708106045;2216539,09626584;1560,72046135905;0,00962937780391658;0,0132480470152737;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"14";"Greece";99957,6872030842;0,100905052726671;0,149818109319707;14667422,7321111;3952,30807875552;0,015393069653993;0,0218858509061075;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"15";"Guatemala";56769,1536941491;0,0674343025804413;0,162546235993873;58520284,304768;7868,41027290969;0,0200936110453518;0,0369781101021816;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"16";"Hong Kong, SAR";99822,6184703385;0,0606841142426021;0,0811481200806221;5191385,338531;2329,940856529;0,0163033595735982;0,0217096396137718;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"17";"Indonesia";1186028,10718917;0,0398796396396524;0,116967878159189;19942314199,2099;150032,125642982;0,0112476507017343;0,024516259970734;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"18";"Ireland";65441,3808064865;0,0978838292465501;0,130615543339485;1630767,83203558;1369,88417943508;0,0157065228401672;0,0209806805580339;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"19";"Italy";670493,822999519;0,0956244017200527;0,128285271151626;263465321,621234;16623,2719536543;0,011905978703875;0,0160124053615788;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"20";"Korea, Republic of";846202,1575572;0,0392098601133497;0,0530412128014397;53574510,6176771;7553,98414327105;0,00646250994059932;0,00872442771371484;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"21";"Latvia";19296,3720538683;0,06311137876427;0,0986774054384485;972809,506554386;1044,40855264849;0,0113267798748052;0,0171791301453468;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"22";"Liechtenstein";423,861414348793;0,144101683281901;0,192136420722492;206,911202266603;14,9042927983188;0,0334349084171941;0,0445836727315409;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"23";"Lithuania";41530,9615888295;0,0910448845831611;0,129278650002101;1187585,6337378;1262,39782513753;0,013339697215205;0,0189771706885266;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"24";"Luxembourg";5192,02821356685;0,109316764866592;0,163768626271325;5799,63456621112;89,6663180724031;0,011328550723883;0,0167310511453008;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"25";"Malta";5287,25999092918;0,0852003380923053;0,121289463445699;39071,7211670585;210,806693179077;0,0186859344373763;0,025525934454442;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"26";"Mexico";1410357,76980377;0,0594570023953965;0,109877762283223;4297902724,63696;72627,5570954718;0,0121775417561403;0,0208493809629237;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"27";"Netherlands";169684,698008318;0,0621085452606293;0,0884309456466074;219636064,514284;15474,1142665028;0,0239537149979054;0,033779267270346;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"28";"New Zealand";63086,7307737429;0,0844410062135485;0,113152376048172;4726120,69632074;2215,10358364117;0,0162313752929933;0,0217159778890212;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"29";"Norway";68197,5307124676;0,0864270690470294;0,117346974519549;3328616,86542606;1912,76681407288;0,0139368213007147;0,0189278246858174;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"30";"Paraguay";42779,9666986499;0,0906020073721807;0,196512778768453;9164111,2758551;3198,10938639848;0,0156556776295108;0,0278509416627797;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"31";"Poland";543910,946126865;0,0978983753000117;0,130692418343819;107841162,243658;10575,6799694454;0,0131618917925905;0,0175222253679916;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
"32";"Russian Federation";1431512,8133134;0,0858522196620441;0,120916318821767;2118106949,04358;47013,1016949769;0,0119414296012111;0,0163878787831088;"PVCIV_DIC";"SAGE OPDISC";"HISCED SGENDER";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 0h57m";75;5;"NONE"
