"";"IDCNTRY";"SGENDER";"dvar";"n";"TOTWGTS";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Austria";"BOY";"PVCIV";1553;41734,3007457692;362,306844454078;10,6197173219189;496,269053004856;5,83184585590861;625,814925010004;7,63774692988467;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"2";"Austria";"GIRL";"PVCIV";1637;41623,8582619067;390,066674169467;9,23653287551311;515,196209628985;6,40989216763004;629,810658075098;8,43569537937399;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"3";"Bulgaria";"BOY";"PVCIV";1590;30431,4304204253;318,564082478314;6,59690782199578;448,951161444534;10,0175176080086;594,269663969789;8,79503903389134;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"4";"Bulgaria";"GIRL";"PVCIV";1642;32687,0070019524;337,280937362175;9,60505859472616;486,595172952524;8,38837730064793;609,62169100936;8,16122502271831;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"5";"Chile";"BOY";"PVCIV";2510;126396,589154021;364,620163597027;6,11685306166358;473,556465055902;6,41678823431172;595,110870930862;6,82752300220354;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"6";"Chile";"GIRL";"PVCIV";2651;130658,695325157;380,603095857403;5,18981064910002;487,436379913596;5,87340796545209;603,312638801317;8,1612250227183;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"7";"Chinese Taipei";"BOY";"PVCIV";2670;155929,381924004;417,40590040432;6,63034396000892;550,526901994025;5,77851629569748;668,295876544159;3,64253299064496;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"8";"Chinese Taipei";"GIRL";"PVCIV";2474;146348,395188083;454,629308431773;5,06910086293791;577,445524748341;4,48095717115714;683,64790358373;5,21107174037293;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"9";"Colombia";"BOY";"PVCIV";2877;315241,758175621;353,894774843355;6,44772926247702;460,097153678743;5,06473659104591;566,720135994669;6,32305678067578;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"10";"Colombia";"GIRL";"PVCIV";3315;344694,420624788;358,942016609789;6,99391629114386;465,144395445178;4,63618760108538;566,720135994669;5,79380340255695;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
