"";"IDCNTRY";"SGENDER";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Austria";"BOY";"PVCIV";"Percentile";10;50;362,306844454078;10,6197173219189;496,269053004856;5,83184585590861;133,962208550778;11,5263772785385;11,6222300653136;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"2";"Austria";"BOY";"PVCIV";"Percentile";10;90;362,306844454078;10,6197173219189;625,814925010004;7,63774692988467;263,508080555925;12,4220522385678;21,212926454921;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"3";"Austria";"BOY";"PVCIV";"Percentile";50;90;496,269053004856;5,83184585590861;625,814925010004;7,63774692988467;129,545872005148;7,67241161750856;16,8846352963548;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"4";"Austria";"GIRL";"PVCIV";"Percentile";10;50;390,066674169467;9,23653287551311;515,196209628985;6,40989216763004;125,129535459518;8,41206961072385;14,875;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"5";"Austria";"GIRL";"PVCIV";"Percentile";10;90;390,066674169467;9,23653287551311;629,810658075098;8,43569537937399;239,74398390563;10,9275989719482;21,9393102291792;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"6";"Austria";"GIRL";"PVCIV";"Percentile";50;90;515,196209628985;6,40989216763004;629,810658075098;8,43569537937399;114,614448446113;8,30625320210997;13,798573876486;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"7";"Bulgaria";"BOY";"PVCIV";"Percentile";10;50;318,564082478314;6,59690782199578;448,951161444534;10,0175176080086;130,38707896622;9,59123504444106;13,5943992991591;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"8";"Bulgaria";"BOY";"PVCIV";"Percentile";10;90;318,564082478314;6,59690782199578;594,269663969789;8,79503903389134;275,705581491475;9,4542269478427;29,162149693729;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"9";"Bulgaria";"BOY";"PVCIV";"Percentile";50;90;448,951161444534;10,0175176080086;594,269663969789;8,79503903389134;145,318502525255;9,86626753810666;14,7288224208383;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"10";"Bulgaria";"GIRL";"PVCIV";"Percentile";10;50;337,280937362175;9,60505859472616;486,595172952524;8,38837730064793;149,314235590349;11,8964629311123;12,5511453660612;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"11";"Bulgaria";"GIRL";"PVCIV";"Percentile";10;90;337,280937362175;9,60505859472616;609,62169100936;8,16122502271831;272,340753647185;13,4986853609652;20,1753538485108;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"12";"Bulgaria";"GIRL";"PVCIV";"Percentile";50;90;486,595172952524;8,38837730064793;609,62169100936;8,16122502271831;123,026518056837;9,8864187920164;12,4439921719869;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"13";"Chile";"BOY";"PVCIV";"Percentile";10;50;364,620163597027;6,11685306166358;473,556465055902;6,41678823431172;108,936301458874;6,69671542379004;16,2671241892523;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"14";"Chile";"BOY";"PVCIV";"Percentile";10;90;364,620163597027;6,11685306166358;595,110870930862;6,82752300220354;230,490707333834;8,62237135099197;26,7317073170732;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"15";"Chile";"BOY";"PVCIV";"Percentile";50;90;473,556465055902;6,41678823431172;595,110870930862;6,82752300220354;121,55440587496;7,43231462111329;16,3548520308405;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"16";"Chile";"GIRL";"PVCIV";"Percentile";10;50;380,603095857403;5,18981064910002;487,436379913596;5,87340796545209;106,833284056193;5,54016375571103;19,2834162972286;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"17";"Chile";"GIRL";"PVCIV";"Percentile";10;90;380,603095857403;5,18981064910002;603,312638801317;8,1612250227183;222,709542943915;8,66075574322492;25,7147932059087;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"18";"Chile";"GIRL";"PVCIV";"Percentile";50;90;487,436379913596;5,87340796545209;603,312638801317;8,1612250227183;115,876258887721;7,94150162844913;14,591227743707;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"19";"Chinese Taipei";"BOY";"PVCIV";"Percentile";10;50;417,40590040432;6,63034396000892;550,526901994025;5,77851629569748;133,121001589705;8,88260380610664;14,986709358599;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"20";"Chinese Taipei";"BOY";"PVCIV";"Percentile";10;90;417,40590040432;6,63034396000892;668,295876544159;3,64253299064496;250,88997613984;7,6377469298844;32,8486893377124;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"21";"Chinese Taipei";"BOY";"PVCIV";"Percentile";50;90;550,526901994025;5,77851629569748;668,295876544159;3,64253299064496;117,768974550134;6,09512349720852;19,321835661586;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"22";"Chinese Taipei";"GIRL";"PVCIV";"Percentile";10;50;454,629308431773;5,06910086293791;577,445524748341;4,48095717115714;122,816216316569;5,54814095747519;22,136462872504;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"23";"Chinese Taipei";"GIRL";"PVCIV";"Percentile";10;90;454,629308431773;5,06910086293791;683,64790358373;5,21107174037293;229,018595151958;7,24244508742134;31,6217233803701;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"24";"Chinese Taipei";"GIRL";"PVCIV";"Percentile";50;90;577,445524748341;4,48095717115714;683,64790358373;5,21107174037293;106,202378835389;6,48193496278717;16,3843635342066;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"25";"Colombia";"BOY";"PVCIV";"Percentile";10;50;353,894774843355;6,44772926247702;460,097153678743;5,06473659104591;106,202378835389;6,23855779203943;17,0235465271967;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"26";"Colombia";"BOY";"PVCIV";"Percentile";10;90;353,894774843355;6,44772926247702;566,720135994669;6,32305678067578;212,825361151314;8,20985241442985;25,9231652906752;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"27";"Colombia";"BOY";"PVCIV";"Percentile";50;90;460,097153678743;5,06473659104591;566,720135994669;6,32305678067578;106,622982315925;6,64699895726118;16,0407701282171;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"28";"Colombia";"GIRL";"PVCIV";"Percentile";10;50;358,942016609789;6,99391629114386;465,144395445178;4,63618760108538;106,202378835389;7,00655210323642;15,1575806859886;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"29";"Colombia";"GIRL";"PVCIV";"Percentile";10;90;358,942016609789;6,99391629114386;566,720135994669;5,79380340255695;207,77811938488;8,08773575721469;25,6905177941219;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"30";"Colombia";"GIRL";"PVCIV";"Percentile";50;90;465,144395445178;4,63618760108538;566,720135994669;5,79380340255695;101,575740549491;6,51256648790923;15,5968834618532;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"31";"Cyprus";"BOY";"PVCIV";"Percentile";10;50;318,143478997595;5,38224566359398;429,182797859333;5,81285575059974;111,039318861739;6,71320576004336;16,5404313275542;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
