IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Austria;PVCIV;   10,00;   50,00;SGENDER;BOY;BOY;133,962208550778;11,5263772785385;133,962208550778;11,5263772785385;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   10,00;   50,00;SGENDER;BOY;GIRL;133,962208550778;11,5263772785385;125,129535459518;8,41206961072385;-8,83267309126003;12,6513583726207;-,698160057687968;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   10,00;   50,00;SGENDER;GIRL;BOY;125,129535459518;8,41206961072385;133,962208550778;11,5263772785385;8,83267309126003;12,6513583726207;,698160057687968;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   10,00;   50,00;SGENDER;GIRL;GIRL;125,129535459518;8,41206961072385;125,129535459518;8,41206961072385;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   10,00;   90,00;SGENDER;BOY;BOY;263,508080555925;12,4220522385678;263,508080555925;12,4220522385678;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   10,00;   90,00;SGENDER;BOY;GIRL;263,508080555925;12,4220522385678;239,74398390563;10,9275989719482;-23,764096650295;15,5594866049027;-1,52730596154805;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   10,00;   90,00;SGENDER;GIRL;BOY;239,74398390563;10,9275989719482;263,508080555925;12,4220522385678;23,764096650295;15,5594866049027;1,52730596154805;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   10,00;   90,00;SGENDER;GIRL;GIRL;239,74398390563;10,9275989719482;239,74398390563;10,9275989719482;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   50,00;   90,00;SGENDER;BOY;BOY;129,545872005148;7,67241161750856;129,545872005148;7,67241161750856;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   50,00;   90,00;SGENDER;BOY;GIRL;129,545872005148;7,67241161750856;114,614448446113;8,30625320210997;-14,9314235590349;11,3660259961344;-1,31368902060519;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   50,00;   90,00;SGENDER;GIRL;BOY;114,614448446113;8,30625320210997;129,545872005148;7,67241161750856;14,9314235590349;11,3660259961344;1,31368902060519;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Austria;PVCIV;   50,00;   90,00;SGENDER;GIRL;GIRL;114,614448446113;8,30625320210997;114,614448446113;8,30625320210997;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   10,00;   50,00;SGENDER;BOY;BOY;130,38707896622;9,59123504444106;130,38707896622;9,59123504444106;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   10,00;   50,00;SGENDER;BOY;GIRL;130,38707896622;9,59123504444106;149,314235590349;11,8964629311123;18,9271566241287;14,9225349245655;1,26836068535318;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   10,00;   50,00;SGENDER;GIRL;BOY;149,314235590349;11,8964629311123;130,38707896622;9,59123504444106;-18,9271566241287;14,9225349245655;-1,26836068535318;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
Bulgaria;PVCIV;   10,00;   50,00;SGENDER;GIRL;GIRL;149,314235590349;11,8964629311123;149,314235590349;11,8964629311123;0;0; ;TOTWGTS;JRR;HALF;N;26-FEB-26;10h12m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICCS2009.sav;NONE
