"";"IDCNTRY";"percentile";"dvar";"groupvar";"refgroup";"compgroup";"val";"val_se";"cval";"cval_se";"valdiff";"valdiff_se";"valdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Austria";10;"PVCIV";"SGENDER";"BOY";"BOY";362,306844454078;10,6197173219189;362,306844454078;10,6197173219189;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"2";"Austria";10;"PVCIV";"SGENDER";"BOY";"GIRL";362,306844454078;10,6197173219189;390,066674169467;9,23653287551311;27,7598297153888;11,0263109682007;2,51759902250596;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"3";"Austria";10;"PVCIV";"SGENDER";"GIRL";"BOY";390,066674169467;9,23653287551311;362,306844454078;10,6197173219189;-27,7598297153888;11,0263109682007;-2,51759902250596;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"4";"Austria";10;"PVCIV";"SGENDER";"GIRL";"GIRL";390,066674169467;9,23653287551311;390,066674169467;9,23653287551311;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"5";"Austria";50;"PVCIV";"SGENDER";"BOY";"BOY";496,269053004856;5,83184585590861;496,269053004856;5,83184585590861;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"6";"Austria";50;"PVCIV";"SGENDER";"BOY";"GIRL";496,269053004856;5,83184585590861;515,196209628985;6,40989216763004;18,9271566241288;7,40548845317711;2,5558282541118;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"7";"Austria";50;"PVCIV";"SGENDER";"GIRL";"BOY";515,196209628985;6,40989216763004;496,269053004856;5,83184585590861;-18,9271566241288;7,40548845317711;-2,5558282541118;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"8";"Austria";50;"PVCIV";"SGENDER";"GIRL";"GIRL";515,196209628985;6,40989216763004;515,196209628985;6,40989216763004;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"9";"Austria";90;"PVCIV";"SGENDER";"BOY";"BOY";625,814925010004;7,63774692988467;625,814925010004;7,63774692988467;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"10";"Austria";90;"PVCIV";"SGENDER";"BOY";"GIRL";625,814925010004;7,63774692988467;629,810658075098;8,43569537937399;3,99573306509383;11,4435842210033;0,349167969398972;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"11";"Austria";90;"PVCIV";"SGENDER";"GIRL";"BOY";629,810658075098;8,43569537937399;625,814925010004;7,63774692988467;-3,99573306509383;11,4435842210033;-0,349167969398972;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"12";"Austria";90;"PVCIV";"SGENDER";"GIRL";"GIRL";629,810658075098;8,43569537937399;629,810658075098;8,43569537937399;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"13";"Bulgaria";10;"PVCIV";"SGENDER";"BOY";"BOY";318,564082478314;6,59690782199578;318,564082478314;6,59690782199578;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"14";"Bulgaria";10;"PVCIV";"SGENDER";"BOY";"GIRL";318,564082478314;6,59690782199578;337,280937362175;9,60505859472616;18,7168548838606;11,4048710378047;1,64112814794822;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"15";"Bulgaria";10;"PVCIV";"SGENDER";"GIRL";"BOY";337,280937362175;9,60505859472616;318,564082478314;6,59690782199578;-18,7168548838606;11,4048710378047;-1,64112814794822;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"16";"Bulgaria";10;"PVCIV";"SGENDER";"GIRL";"GIRL";337,280937362175;9,60505859472616;337,280937362175;9,60505859472616;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"17";"Bulgaria";50;"PVCIV";"SGENDER";"BOY";"BOY";448,951161444534;10,0175176080086;448,951161444534;10,0175176080086;0;0;NA;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
"18";"Bulgaria";50;"PVCIV";"SGENDER";"BOY";"GIRL";448,951161444534;10,0175176080086;486,595172952524;8,38837730064793;37,6440115079893;10,5381948141526;3,57214989586587;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h20m";75;5;"NONE"
