"";"IDCNTRY";"Variable";"S_HOMLIT";"S_HISCED";"S_HOMLIT.se";"S_HISCED.se";"xvar";"corrtype";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Chile";"S_HOMLIT";1;0,269579843902139;0;0,0230860466331333;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"2";"Chile";"S_HISCED";0,269579843902139;1;0,0230860466331333;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"3";"Denmark";"S_HOMLIT";1;0,359819239981411;0;0,0169426494490264;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"4";"Denmark";"S_HISCED";0,359819239981411;1;0,0169426494490264;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"5";"Finland";"S_HOMLIT";1;0,172298875127941;0;0,021495852643278;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"6";"Finland";"S_HISCED";0,172298875127941;1;0,021495852643278;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"7";"France";"S_HOMLIT";1;0,330005747979736;0;0,0225757984131468;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"8";"France";"S_HISCED";0,330005747979736;1;0,0225757984131468;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"9";"Germany";"S_HOMLIT";1;0,269536943997654;0;0,0276115252777663;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"10";"Germany";"S_HISCED";0,269536943997654;1;0,0276115252777663;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"11";"Germany, North-Rhine Westphalia";"S_HOMLIT";1;0,238762690088303;0;0,031764969527402;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"12";"Germany, North-Rhine Westphalia";"S_HISCED";0,238762690088303;1;0,031764969527402;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"13";"Italy";"S_HOMLIT";1;0,405132139987294;0;0,0192940983409224;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"14";"Italy";"S_HISCED";0,405132139987294;1;0,0192940983409224;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"15";"Kazakhstan";"S_HOMLIT";1;0,191258466380824;0;0,0232082399282976;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"16";"Kazakhstan";"S_HISCED";0,191258466380824;1;0,0232082399282976;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"17";"Korea, Republic of";"S_HOMLIT";1;0,237720838376995;0;0,0227667540953;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"18";"Korea, Republic of";"S_HISCED";0,237720838376995;1;0,0227667540953;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"19";"Luxembourg";"S_HOMLIT";1;0,394482541550451;0;0,0122097860848762;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"20";"Luxembourg";"S_HISCED";0,394482541550451;1;0,0122097860848762;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"21";"Portugal";"S_HOMLIT";1;0,45166380769639;0;0,0189582505200706;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"22";"Portugal";"S_HISCED";0,45166380769639;1;0,0189582505200706;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"23";"Russian Federation (Moscow)";"S_HOMLIT";1;0,259071529353701;0;0,0305154944495111;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"24";"Russian Federation (Moscow)";"S_HISCED";0,259071529353701;1;0,0305154944495111;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"25";"United States";"S_HOMLIT";1;0,354262322171749;0;0,0137399001824042;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"26";"United States";"S_HISCED";0,354262322171749;1;0,0137399001824042;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"27";"Uruguay";"S_HOMLIT";1;0,398835720037835;0;0,0288856737638476;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"28";"Uruguay";"S_HISCED";0,398835720037835;1;0,0288856737638476;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"29";"Table Average";"S_HOMLIT";1;0,30945933618803;0;0,00616740657685939;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
"30";"Table Average";"S_HISCED";0,30945933618803;1;0,00616740657685939;0;"S_HOMLIT S_HISCED";"PEARSON";"TOTWGTS";"JRR";"HALF";"LISTWISE";"04-MAR-26";" 8h36m";75;"NONE"
