"";"IDCNTRY";"Variable";"PV_CIL";"PV_CT";"PV_CIL.se";"PV_CT.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Denmark";"PV_CIL";1;0,81214543968976;0;0,0103240357512234;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"2";"Denmark";"PV_CT";0,81214543968976;1;0,0103240357512234;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"3";"Finland";"PV_CIL";1;0,893020958935312;0;0,00571308756148242;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"4";"Finland";"PV_CT";0,893020958935312;1;0,00571308756148242;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"5";"France";"PV_CIL";1;0,872975231071124;0;0,00629268375782782;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"6";"France";"PV_CT";0,872975231071124;1;0,00629268375782782;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"7";"Germany";"PV_CIL";1;0,807871551481134;0;0,0116851514038401;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"8";"Germany";"PV_CT";0,807871551481134;1;0,0116851514038401;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"9";"Germany, North-Rhine Westphalia";"PV_CIL";1;0,80570545735639;0;0,0112080599082702;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"10";"Germany, North-Rhine Westphalia";"PV_CT";0,80570545735639;1;0,0112080599082702;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"11";"Korea, Republic of";"PV_CIL";1;0,744367975834252;0;0,01030270728613;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"12";"Korea, Republic of";"PV_CT";0,744367975834252;1;0,01030270728613;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"13";"Luxembourg";"PV_CIL";1;0,795531874157276;0;0,00594593026029445;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"14";"Luxembourg";"PV_CT";0,795531874157276;1;0,00594593026029445;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"15";"Portugal";"PV_CIL";1;0,783260315913732;0;0,0107603266700409;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"16";"Portugal";"PV_CT";0,783260315913732;1;0,0107603266700409;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"17";"United States";"PV_CIL";1;0,818542686602363;0;0,00536376224858911;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"18";"United States";"PV_CT";0,818542686602363;1;0,00536376224858911;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"19";"Table Average";"PV_CIL";1;0,814824610115705;0;0,00299596593459412;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"20";"Table Average";"PV_CT";0,814824610115705;1;0,00299596593459412;0;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
