"";"IDCNTRY";"Variable";"TOTWGTS";"mean";"stdev";"TOTWGTS.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Denmark";"PV_CIL";65707,6615289997;552,643849027517;65,5053468837599;1797,2253497804;2,04210327046731;1,40082656935557;2404;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"2";"Denmark";"PV_CT";65707,6615289997;527,046197069499;83,868227529531;1797,2253497804;2,31706632876156;1,57293385242153;2404;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"3";"Finland";"PV_CIL";58251,993756;530,659353150316;80,7144765561588;1408,71603944814;2,97843568443545;2,35949564473833;2546;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"4";"Finland";"PV_CT";58251,993756;508,259830682489;97,0489895711438;1408,71603944814;3,37055615450383;2,10603480975082;2546;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"5";"France";"PV_CIL";801969,131245999;498,7139006124;80,4473212873859;12327,3806648922;2,34871774766342;2,20240146373343;2940;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"6";"France";"PV_CT";801969,131245999;501,274846634789;92,2547770451821;12327,3806648922;2,38296540920409;2,00114385888052;2940;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"7";"Germany";"PV_CIL";730824,709232001;518,264461524091;80,0432939159682;11322,0592559465;2,94886436256035;2,87753878060133;3655;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"8";"Germany";"PV_CT";730824,709232001;485,708308799868;103,121411501617;11322,0592559465;3,6252176448703;2,56750497164994;3655;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"9";"Germany, North-Rhine Westphalia";"PV_CIL";164197,190419;514,674096824277;75,0908927088675;3002,30496400472;2,63278304994567;2,07703533906854;1991;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"10";"Germany, North-Rhine Westphalia";"PV_CT";164197,190419;485,410795896359;94,6201434556082;3002,30496400472;2,95522014514716;2,44065691918527;1991;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"11";"Korea, Republic of";"PV_CIL";439683,075439001;542,084276123535;94,8322983751174;9038,96069229362;3,0513963367434;1,75773001498138;2875;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"12";"Korea, Republic of";"PV_CT";439683,075439001;536,335219585092;110,828977676718;9038,96069229362;4,42258471963963;2,41823831540754;2875;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"13";"Luxembourg";"PV_CIL";6215,54952999997;481,765064568988;83,7209268215531;5,12448849922065;0,830268801712143;0,77585973428271;5401;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"14";"Luxembourg";"PV_CT";6215,54952999997;459,836190928355;106,90791850001;5,12448849922065;0,894032615403198;0,959706093541011;5401;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"15";"Portugal";"PV_CIL";99087,4448769998;516,471057467892;71,1165783675521;2146,74027900363;2,59182303726464;1,82311844429993;3221;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"16";"Portugal";"PV_CT";99087,4448769998;481,539406299901;80,0398895164491;2146,74027900363;2,50595227557046;1,86045368795349;3221;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"17";"United States";"PV_CIL";3856660,87993501;518,931874336022;80,7127218621731;47148,1470496958;1,88635503893887;1,16547939428772;6790;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"18";"United States";"PV_CT";3856660,87993501;498,131819278019;107,481423463847;47148,1470496958;2,54264919571147;1,40327270532964;6790;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"19";"Table Average";"PV_CIL";NA;519,35643707056;79,1315396420595;NA;0,819976930156009;0,641642264368266;NA;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
"20";"Table Average";"PV_CT";NA;498,171401686041;97,3524175844562;NA;0,977442556442;0,663532845402406;NA;" PV_CIL PV_CT";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h56m";75;5;"NONE"
