"";"IDCNTRY";"Variable";"S_GENEFF";"PV_CIL";"S_GENEFF.se";"PV_CIL.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Chile";"S_GENEFF";1;0,324871591919321;0;0,0275310388835777;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"2";"Chile";"PV_CIL";0,324871591919321;1;0,0275310388835777;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"3";"Denmark";"S_GENEFF";1;0,334469980282794;0;0,0307020333061585;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"4";"Denmark";"PV_CIL";0,334469980282794;1;0,0307020333061585;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"5";"Finland";"S_GENEFF";1;0,32771404281695;0;0,0244308062048646;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"6";"Finland";"PV_CIL";0,32771404281695;1;0,0244308062048646;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"7";"France";"S_GENEFF";1;0,250451286279854;0;0,0238336578801695;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"8";"France";"PV_CIL";0,250451286279854;1;0,0238336578801695;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"9";"Germany";"S_GENEFF";1;0,264294893869602;0;0,0338745661137511;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"10";"Germany";"PV_CIL";0,264294893869602;1;0,0338745661137511;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"11";"Germany, North-Rhine Westphalia";"S_GENEFF";1;0,262252291469855;0;0,0261394293934813;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"12";"Germany, North-Rhine Westphalia";"PV_CIL";0,262252291469855;1;0,0261394293934813;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"13";"Italy";"S_GENEFF";1;0,38217751045152;0;0,0177320509352851;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"14";"Italy";"PV_CIL";0,38217751045152;1;0,0177320509352851;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"15";"Kazakhstan";"S_GENEFF";1;0,337018451833762;0;0,0254026387927434;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"16";"Kazakhstan";"PV_CIL";0,337018451833762;1;0,0254026387927434;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"17";"Korea, Republic of";"S_GENEFF";1;0,476249839101736;0;0,015777071342451;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"18";"Korea, Republic of";"PV_CIL";0,476249839101736;1;0,015777071342451;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"19";"Luxembourg";"S_GENEFF";1;0,277433089996035;0;0,0128243821336955;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"20";"Luxembourg";"PV_CIL";0,277433089996035;1;0,0128243821336955;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"21";"Portugal";"S_GENEFF";1;0,236806695993736;0;0,0292508751467706;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"22";"Portugal";"PV_CIL";0,236806695993736;1;0,0292508751467706;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"23";"Russian Federation (Moscow)";"S_GENEFF";1;0,259788394926533;0;0,0253147066875554;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"24";"Russian Federation (Moscow)";"PV_CIL";0,259788394926533;1;0,0253147066875554;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"25";"United States";"S_GENEFF";1;0,389907408347036;0;0,0119904219673605;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"26";"United States";"PV_CIL";0,389907408347036;1;0,0119904219673605;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"27";"Uruguay";"S_GENEFF";1;0,341321578163286;0;0,0226150432595841;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"28";"Uruguay";"PV_CIL";0,341321578163286;1;0,0226150432595841;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"29";"Table Average";"S_GENEFF";1;0,318911218246573;0;0,00647640750075389;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
"30";"Table Average";"PV_CIL";0,318911218246573;1;0,00647640750075389;0;"S_GENEFF PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"LISTWISE";"03-MAR-26";"23h17m";75;5;"NONE"
