IDCNTRY;Variable;TOTWGTS;mean;stdev;TOTWGTS.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Chile;S_GENEFF;217903,41881;51,4921280243396;8,96841102880107;4501,14062390664;,300057775106222;,200423008760249;2999;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;PV_CIL;217903,41881;478,725479756198;81,5828410731035;4501,14062390664;3,39702584272558;2,32891294140025;2999;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_GENEFF;64136,1701789997;52,0396137919256;8,13406158666835;1758,3047119305;,182730740288294;,137215896076316;2346;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;PV_CIL;64136,1701789997;554,468536805649;64,1205277687438;1758,3047119305;1,99445968911384;1,33589496382547;2346;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;S_GENEFF;56506,704253;52,1913602700726;8,66391407420436;1371,40097635781;,238358756991069;,191436337575789;2464;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;PV_CIL;56506,704253;534,878795539531;76,7363085809628;1371,40097635781;2,83286493679628;2,36848789273234;2464;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;S_GENEFF;762223,119051;49,3793347693762;9,2652752212427;13315,8983394713;,22015484214041;,177158598049395;2784;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;PV_CIL;762223,119051;503,766033622293;77,0112351327633;13315,8983394713;2,00163208144234;1,68327338021186;2784;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;S_GENEFF;621399,853456;49,2211804368317;9,34486681952696;15860,4051504654;,240666875298661;,252872496169735;3010;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;PV_CIL;621399,853456;524,200935132622;78,350672242893;15860,4051504654;2,72954771586971;2,96478189982919;3010;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;S_GENEFF;131514,790061999;48,3587122538389;9,11153839802478;4385,23880600654;,267622362449238;,20319756018117;1577;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;PV_CIL;131514,790061999;522,025372642288;73,973653216549;4385,23880600654;2,6198279092759;1,90611831118793;1577;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;S_GENEFF;526266,584763999;49,9608930112514;9,30903446738807;8083,47499638137;,224045590556571;,126191084175478;2738;S_GENEFF PV_CIL;TOTWGTS;JRR;HALF;N;LISTWISE;26-FEB-26;10h18m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
