IDCNTRY;Variable;Mean;stdev;TOTWGTS;NObs;TOTWGTS.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Chile;RS_HOMLIT;1392,50278596017;805,805436032967;222095,996529001;3048;4481,21845624176;29,5870822331991;11,2715172165446; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;RS_HISCED;1428,8813491653;781,128618738724;222095,996529001;3048;4481,21845624176;36,0886221361865;7,50941560415658; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;RS_HOMLIT;1174,13753559436;654,469908366341;64038,0313640004;2343;1742,84564573833;17,8661171236209;6,43173182853049; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;RS_HISCED;1183,22459460354;638,675421795656;64038,0313640004;2343;1742,84564573833;19,0922101794133;5,57592903801634; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;RS_HOMLIT;1243,58849688914;691,247090182511;56626,2748619998;2468;1347,32213890756;22,1504014659628;7,24943014050176; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;RS_HISCED;1264,89511477215;638,722050517448;56626,2748619998;2468;1347,32213890756;16,1922514874805;4,91165381065274; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;RS_HOMLIT;1377,07488292614;775,929304696181;748278,669380997;2726;14377,8280010304;19,1837057511221;6,31915003459071; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;RS_HISCED;1369,08260216118;763,681293307259;748278,669380997;2726;14377,8280010304;17,2322615054082;8,4667497597782; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;RS_HOMLIT;1499,14388559541;831,248620069724;610202,474876999;2961;15202,9291866968;27,130991924785;9,53655309089674; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;RS_HISCED;1438,27013146084;817,47130376281;610202,474876999;2961;15202,9291866968;24,5588342678865;6,51251794027697; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;RS_HOMLIT;770,123052447642;431,780757529091;128094,422368;1551;4596,19111689956;14,8469941726511;5,57594800835347; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany, North-Rhine Westphalia;RS_HISCED;772,41728565414;426,884051900523;128094,422368;1551;4596,19111689956;13,9147675640606;4,17060733848924; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;RS_HOMLIT;1382,16148781705;772,207548581963;529521,632713997;2749;8498,66748263024;22,986358735435;7,03513866495642; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;RS_HISCED;1383,80611873637;755,243153867183;529521,632713997;2749;8498,66748263024;23,1284287783376;8,0522475473612; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;RS_HOMLIT;1659,77133786968;920,486399516141;222808,197877998;3344;5413,85443480999;30,1422891116072;11,3152039583049; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;RS_HISCED;1696,77938982106;922,838234070775;222808,197877998;3344;5413,85443480999;29,4181168678823;9,08555024805632; RS_HOMLIT RS_HISCED;TOTWGTS;JRR;HALF;LISTWISE;26-FEB-26;10h25m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
