S_SEX;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Boy;S_HISCED;IDCNTRY;Chile;Chile;50,7935012390907;1,6409774354534;50,7935012390907;1,6409774354534;0; ; ;2,69136775235732;,0503674170901528;2,69136775235732;,0503674170901528;0; ; ;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Denmark;50,7935012390907;1,6409774354534;50,0583220035144;,938507742644435;-,735179235576297;1,89039776943128;-,388901874232254;2,69136775235732;,0503674170901528;2,92969198044394;,0410860866861539;,238324228086619;,0649995632563448;3,66655122199388;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Finland;50,7935012390907;1,6409774354534;50,1814578303344;,83762360737052;-,612043408756229;1,84239524839042;-,332199841098662;2,69136775235732;,0503674170901528;3,28204142263531;,0305710995556675;,590673670277987;,0589191720272438;10,0251522544285;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;France;50,7935012390907;1,6409774354534;50,0273947909281;,694410151289275;-,766106448162617;1,78185644816882;-,429948466920514;2,69136775235732;,0503674170901528;2,79625242994161;,030979747275773;,104884677584294;,0591322369406416;1,77373092936733;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Germany;50,7935012390907;1,6409774354534;50,9592572899568;1,02274339808776;,165756050866108;1,93360052803037;,085724040960494;2,69136775235732;,0503674170901528;2,24245783712008;,046631434490857;-,448909915237241;,0686394011265287;-6,54011992921862;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Italy;50,7935012390907;1,6409774354534;52,2967850632455;,663377580808835;1,50328382415481;1,76999343456042;,849316045360448;2,69136775235732;,0503674170901528;2,63774393536469;,0377251713309468;-,0536238169926273;,0629290493832753;-,852131368869508;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Kazakhstan;50,7935012390907;1,6409774354534;51,6264179277943;,675688311911232;,832916688703669;1,77464408784428;,469342948486894;2,69136775235732;,0503674170901528;2,92054006672829;,0353076792519436;,229172314370966;,0615102342581423;3,72575908927919;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Korea, Republic of;50,7935012390907;1,6409774354534;52,8533798813279;,894623957772262;2,05987864223724;1,86899945679161;1,10212907486517;2,69136775235732;,0503674170901528;3,52494785227606;,0344462429377208;,833580099918739;,0610198357655762;13,6608053669819;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Luxembourg;50,7935012390907;1,6409774354534;52,15982393194;,716578984912026;1,36632269284934;1,79061229340267;,763047756280585;2,69136775235732;,0503674170901528;2,75566953613543;,0259057673998659;,0643017837781126;,0566390809327744;1,13529002800086;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Boy;S_HISCED;IDCNTRY;Chile;Portugal;50,7935012390907;1,6409774354534;51,4143780841188;1,01166858133855;,620876845028121;1,92776561389988;,322070712617435;2,69136775235732;,0503674170901528;2,36263908758706;,051395346441216;-,328728664770257;,0719608111415236;-4,56816230328135;TOTWGTS;JRR;HALF;26-FEB-26;10h48m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
