IDCNTRY;S_SEX;dvar;n;TOTWGTS;sumw_se;pct;pct_se;mnpv;mnpv_se;mnpv_ci;mnx_svr;mnx_ivr;sdpv;sdpv_se;vrpv;vrpv_se;DEff1;DEff2;DEff3;DEff4;DEff5;pctmiss;nvarstrat;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Chile;Boy;PVCIL;1519;114920,21635;4574,0646154939;50,973053879782;1,66166351336527;471,882589762081;4,65859442433786;463 to 481;21,0739493577992;,628552652672624;84,7064376038118;3,56734481049501;7176,00143591912;602,372270002922;1,1330506254682;4,05448545878783;4,46088665956306;1,0298260493086;4,59393728503126;0;74;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;Girl;PVCIL;1573;110532,660420999;4213,98282154232;49,026946120218;1,66166351336526;480,141715400386;4,14309614251986;472 to 488;16,5474816026843;,617764043478682;81,5448676949234;2,50856191402201;6649,82185531583;407,680562875896;1,14613065756268;3,54270185708984;3,91426855145222;1,03733281343419;4,06039920901489;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;Boy;PVCIL;1217;33210,1383419999;1082,43119698949;50,542261844675;,915246704332115;544,622343235348;2,81251539102684;539 to 550;7,62835581219202;,281887012570854;70,4004240498293;1,67321597143808;4956,42712194816;235,277613022844;1,06921447362347;1,81654784028828;1,87306476924221;1,0369525254866;1,94227924286568;0;72;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;Girl;PVCIL;1187;32497,523187;1081,07410438597;49,457738155325;,91524670433212;560,841252735365;2,24273968226306;556 to 565;4,72645586158458;,303425420812817;58,9714016947408;1,83219602821575;3477,77984984597;215,912571706385;1,10356203959281;1,55564183431788;1,61318523596293;1,06419723989787;1,71674727555574;0;72;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;Boy;PVCIL;1296;29487,704028;902,592982859931;50,6209352275822;,809034366548872;516,339077456485;3,64741233551298;509 to 523;12,41833010845;,885286636802292;85,3550500868079;3,13511074890537;7286,81385926186;538,810511961389;1,1574531068661;2,0442483032557;2,20866844294297;1,07128870219031;2,36612154980907;0;74;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;Girl;PVCIL;1250;28764,2897279999;789,729449203398;49,3790647724178;,809034366548875;545,339780000836;3,20915294995619;539 to 552;9,98074784078945;,317914815423098;72,7837373884987;2,30597419161409;5297,62591000444;335,114589173973;1,07501351096317;2,26045380180305;2,35500486688317;1,03185280506976;2,43001837784633;0;74;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;Boy;PVCIL;1475;402770,685307;8509,2022999353;50,2227167623303;,635399858970222;486,822946020285;2,84974230418089;481 to 492;6,68661295500228;1,43441824523595;83,0728732986132;2,57847424499608;6901,46185208417;431,049797160104;1,30656793547067;1,32840380721293;1,4290818843909;1,21452090241934;1,73564981986157;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;Girl;PVCIL;1465;399198,445939;7460,57482778056;49,7772832376697;,635399858970217;510,711261771194;2,86247034938819;505 to 516;8,03268629633985;,16105020478667;75,8357863030506;2,42887052769333;5751,47242190705;370,390352553309;1,04102228659113;2,00484383491418;2,04606482668936;1,02004935819043;2,08708711328049;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;Boy;PVCIL;1862;376388,266202;8361,72666572657;51,5018528311028;,916626652076171;510,569719692525;3,63684151568924;503 to 518;12,5562542978974;,670361912343374;84,0652606503193;3,67021847329566;7067,5077451891;610,413322720804;1,17661301915559;2,96161421596269;3,30806082506238;1,05338868554579;3,48467384421797;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;Girl;PVCIL;1793;354436,443030001;9134,08970291602;48,4981471688972;,916626652076177;526,435772894039;3,12774496962022;520 to 533;8,58208886373939;1,20069973124523;74,6714848753944;2,49714512862796;5576,2181834359;372,053201963554;1,38607790213764;2,26942356491587;2,75951995178268;1,13990763208225;3,14559785392032;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;Boy;PVCIL;1471;283506,724730999;5570,46672680033;52,3921695888305;,635520220607424;453,507037268286;3,11487881650636;447 to 460;8,79800604263695;,904463998883097;82,4701297810119;2,32255625551317;6802,2081280877;382,695170042494;1,19559333047504;1,75493721431445;1,90259789836176;1,10280329366676;2,0981912288368;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;Girl;PVCIL;1339;257617,506153;5278,91606616128;47,6078304111696;,635520220607412;469,28676105217;3,58442872622318;462 to 476;11,0599822189464;1,78814707442752;80,0450009820881;2,20773759031779;6407,79022157468;353,253372389921;1,37365906964259;1,9544890068381;2,3111424811173;1,16167721059843;2,68480155075989;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Boy;PVCIL;1738;116015,834845;2995,6925412659;51,6883976550375;,677974997633232;391,169255433864;5,85094047027475;380 to 403;33,7647550448738;,468749341825131;107,424878148351;3,38250070772588;11540,8257942815;727,352513374884;1,0705916864715;4,81548881988545;5,0848306103943;1,01388280001446;5,1554222968658;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Girl;PVCIL;1633;108436,537657;3203,76680558531;48,3116023449625;,677974997633229;399,426880479055;5,61460553604175;388 to 410;29,8287578387147;1,69503748663595;104,287292535598;3,99174584657963;10876,8436337891;833,247569908547;1,25448524488094;3,77273447942401;4,47835449241006;1,05682561425458;4,732839737291;0;75;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Boy;PVCIL;1497;233084,104588;6159,47232773025;53,0118436683693;,887449773185703;523,8913858382;3,91769244172243;516 to 532;14,3229509871051;1,02536308082402;96,5983021388551;2,38925359623683;9332,09135096336;462,210614829569;1,16448280179288;2,11431853759491;2,29760477274827;1,07158881446618;2,46208757454115;0;60;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Girl;PVCIL;1378;206598,970850998;5786,54520716023;46,9881563316307;,887449773185705;562,60941971239;3,4355193165435;556 to 569;11,2866221326701;,516170841673467;88,4074354920451;2,24184831758342;7817,19888209093;396,560067970312;1,09098955144349;1,90705076740203;1,98958290986442;1,04573297799874;2,08057246130791;0;62;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;Boy;PVCIL;2850;3276,181786;40,400172942025;52,7094470116788;,65086182943231;470,877994781358;1,29498523559314;468 to 473;1,45331903841078;,223667721993431;86,3939101933347;1,08860999993844;7464,1094589641;188,11723047081;1,08540241956336;,589937100013625;,554916736181621;1,15390132247769;,640319155744979;0;36;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h47m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
