"";"IDCNTRY";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Chile";"PVCIL";"S_SEX";"Boy";"Boy";50,973053879782;1,66166351336527;50,973053879782;1,66166351336527;0;NA;NA;471,882589762081;4,65859442433786;471,882589762081;4,65859442433786;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"2";"Chile";"PVCIL";"S_SEX";"Boy";"Girl";50,973053879782;1,66166351336527;49,026946120218;1,66166351336526;-1,94610775956399;3,32332702673053;-0,585590206413888;471,882589762081;4,65859442433786;480,141715400386;4,14309614251986;8,25912563830479;4,80880794361374;1,71749958308757;"-1 to 18";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"3";"Chile";"PVCIL";"S_SEX";"Girl";"Boy";49,026946120218;1,66166351336526;50,973053879782;1,66166351336527;1,94610775956399;3,32332702673053;0,585590206413888;480,141715400386;4,14309614251986;471,882589762081;4,65859442433786;-8,25912563830479;4,80880794361374;-1,71749958308757;"-18 to 1";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"4";"Chile";"PVCIL";"S_SEX";"Girl";"Girl";49,026946120218;1,66166351336526;49,026946120218;1,66166351336526;0;NA;NA;480,141715400386;4,14309614251986;480,141715400386;4,14309614251986;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"5";"Denmark";"PVCIL";"S_SEX";"Boy";"Boy";50,542261844675;0,915246704332115;50,542261844675;0,915246704332115;0;NA;NA;544,622343235348;2,81251539102684;544,622343235348;2,81251539102684;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"6";"Denmark";"PVCIL";"S_SEX";"Boy";"Girl";50,542261844675;0,915246704332115;49,457738155325;0,91524670433212;-1,08452368935007;1,83049340866424;-0,592476151084028;544,622343235348;2,81251539102684;560,841252735365;2,24273968226306;16,2189095000174;3,02525552528017;5,36117011091661;"10 to 22";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"7";"Denmark";"PVCIL";"S_SEX";"Girl";"Boy";49,457738155325;0,91524670433212;50,542261844675;0,915246704332115;1,08452368935007;1,83049340866424;0,592476151084028;560,841252735365;2,24273968226306;544,622343235348;2,81251539102684;-16,2189095000174;3,02525552528017;-5,36117011091661;"-22 to -10";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"8";"Denmark";"PVCIL";"S_SEX";"Girl";"Girl";49,457738155325;0,91524670433212;49,457738155325;0,91524670433212;0;NA;NA;560,841252735365;2,24273968226306;560,841252735365;2,24273968226306;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"9";"Finland";"PVCIL";"S_SEX";"Boy";"Boy";50,6209352275822;0,809034366548872;50,6209352275822;0,809034366548872;0;NA;NA;516,339077456485;3,64741233551298;516,339077456485;3,64741233551298;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"10";"Finland";"PVCIL";"S_SEX";"Boy";"Girl";50,6209352275822;0,809034366548872;49,3790647724178;0,809034366548875;-1,24187045516448;1,61806873309775;-0,767501670208381;516,339077456485;3,64741233551298;545,339780000836;3,20915294995619;29,0007025443504;3,60172738919628;8,05188716706899;"22 to 36";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"11";"Finland";"PVCIL";"S_SEX";"Girl";"Boy";49,3790647724178;0,809034366548875;50,6209352275822;0,809034366548872;1,24187045516448;1,61806873309775;0,767501670208381;545,339780000836;3,20915294995619;516,339077456485;3,64741233551298;-29,0007025443504;3,60172738919628;-8,05188716706899;"-36 to -22";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"12";"Finland";"PVCIL";"S_SEX";"Girl";"Girl";49,3790647724178;0,809034366548875;49,3790647724178;0,809034366548875;0;NA;NA;545,339780000836;3,20915294995619;545,339780000836;3,20915294995619;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"13";"France";"PVCIL";"S_SEX";"Boy";"Boy";50,2227167623303;0,635399858970222;50,2227167623303;0,635399858970222;0;NA;NA;486,822946020285;2,84974230418089;486,822946020285;2,84974230418089;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"14";"France";"PVCIL";"S_SEX";"Boy";"Girl";50,2227167623303;0,635399858970222;49,7772832376697;0,635399858970217;-0,445433524660676;1,27079971794044;-0,350514340200344;486,822946020285;2,84974230418089;510,711261771194;2,86247034938819;23,8883157509095;3,27606181406013;7,29177808806483;"17 to 30";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"15";"France";"PVCIL";"S_SEX";"Girl";"Boy";49,7772832376697;0,635399858970217;50,2227167623303;0,635399858970222;0,445433524660676;1,27079971794044;0,350514340200344;510,711261771194;2,86247034938819;486,822946020285;2,84974230418089;-23,8883157509095;3,27606181406013;-7,29177808806483;"-30 to -17";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"16";"France";"PVCIL";"S_SEX";"Girl";"Girl";49,7772832376697;0,635399858970217;49,7772832376697;0,635399858970217;0;NA;NA;510,711261771194;2,86247034938819;510,711261771194;2,86247034938819;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"17";"Germany";"PVCIL";"S_SEX";"Boy";"Boy";51,5018528311028;0,916626652076171;51,5018528311028;0,916626652076171;0;NA;NA;510,569719692525;3,63684151568924;510,569719692525;3,63684151568924;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"18";"Germany";"PVCIL";"S_SEX";"Boy";"Girl";51,5018528311028;0,916626652076171;48,4981471688972;0,916626652076177;-3,00370566220564;1,83325330415235;-1,63845642901731;510,569719692525;3,63684151568924;526,435772894039;3,12774496962022;15,8660532015138;3,27817787649073;4,83990002961594;"9 to 22";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"19";"Germany";"PVCIL";"S_SEX";"Girl";"Boy";48,4981471688972;0,916626652076177;51,5018528311028;0,916626652076171;3,00370566220564;1,83325330415235;1,63845642901731;526,435772894039;3,12774496962022;510,569719692525;3,63684151568924;-15,8660532015138;3,27817787649073;-4,83990002961594;"-22 to -9";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"20";"Germany";"PVCIL";"S_SEX";"Girl";"Girl";48,4981471688972;0,916626652076177;48,4981471688972;0,916626652076177;0;NA;NA;526,435772894039;3,12774496962022;526,435772894039;3,12774496962022;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"21";"Italy";"PVCIL";"S_SEX";"Boy";"Boy";52,3921695888305;0,635520220607424;52,3921695888305;0,635520220607424;0;NA;NA;453,507037268286;3,11487881650636;453,507037268286;3,11487881650636;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"22";"Italy";"PVCIL";"S_SEX";"Boy";"Girl";52,3921695888305;0,635520220607424;47,6078304111696;0,635520220607412;-4,78433917766091;1,27104044121484;-3,76411247236802;453,507037268286;3,11487881650636;469,28676105217;3,58442872622318;15,7797237838838;3,71114200014869;4,2519859879389;"9 to 23";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"23";"Italy";"PVCIL";"S_SEX";"Girl";"Boy";47,6078304111696;0,635520220607412;52,3921695888305;0,635520220607424;4,78433917766091;1,27104044121484;3,76411247236802;469,28676105217;3,58442872622318;453,507037268286;3,11487881650636;-15,7797237838838;3,71114200014869;-4,2519859879389;"-23 to -9";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"24";"Italy";"PVCIL";"S_SEX";"Girl";"Girl";47,6078304111696;0,635520220607412;47,6078304111696;0,635520220607412;0;NA;NA;469,28676105217;3,58442872622318;469,28676105217;3,58442872622318;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"25";"Kazakhstan";"PVCIL";"S_SEX";"Boy";"Boy";51,6883976550375;0,677974997633232;51,6883976550375;0,677974997633232;0;NA;NA;391,169255433864;5,85094047027475;391,169255433864;5,85094047027475;0;NA;NA;" ";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"26";"Kazakhstan";"PVCIL";"S_SEX";"Boy";"Girl";51,6883976550375;0,677974997633232;48,3116023449625;0,677974997633229;-3,37679531007508;1,35594999526646;-2,4903538639797;391,169255433864;5,85094047027475;399,426880479055;5,61460553604175;8,25762504519106;4,05969665800707;2,03404976795601;"0 to 16";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
"27";"Kazakhstan";"PVCIL";"S_SEX";"Girl";"Boy";48,3116023449625;0,677974997633229;51,6883976550375;0,677974997633232;3,37679531007508;1,35594999526646;2,4903538639797;399,426880479055;5,61460553604175;391,169255433864;5,85094047027475;-8,25762504519106;4,05969665800707;-2,03404976795601;"-16 to 0";"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h 7m";75;5;"NONE"
