"";"IDCNTRY";"LL";"CSR";"NKR";"LL.svr";"LL.se";"CSR.se";"NKR.se";"dvar";"convar";"catvar";"contrast";"refcats";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Chile";184794,166268012;0,102269908139077;0,165623201022785;89152467,7101266;9931,38019899133;0,0189688226615738;0,0301511891530601;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"2";"Denmark";80402,654593209;0,0915384163818719;0,122865047627383;6730465,92269633;2626,91386186959;0,0141936500154616;0,019027058727311;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"3";"Finland";70935,8227285063;0,0999857062705786;0,133626268091282;4042921,98414423;2104,62921875884;0,0172492672180907;0,0230636535420096;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"4";"France";793934,024328787;0,0998983993088467;0,14246565859451;379123669,107095;19745,5541730325;0,0142340790086917;0,0197769339477415;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"5";"Germany";739392,558382785;0,08606634427817;0,115813759509268;513539534,742933;22978,3983890408;0,0151430983353927;0,0203412350260343;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"6";"Germany, North-Rhine Westphalia";151657,597614439;0,0828290536488097;0,112831786875;52520837,7450222;7377,99407472584;0,0200710509099436;0,0274941390853336;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"7";"Italy";373536,648436496;0,0717072561817992;0,13088102660302;272584246,359108;20193,5141408657;0,0109369212189575;0,0188028690070363;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"8";"Kazakhstan";95875,8271122924;0,0644945545043088;0,162095774296659;98390402,9473127;10573,7412481226;0,0163467565927935;0,0333474444402772;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"9";"Korea, Republic of";530155,744500909;0,153654967965684;0,204908824071537;119439790,742897;11323,5099330572;0,0135854788399639;0,0181172370044111;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
"10";"Luxembourg";5223,39734989893;0,0986479426797026;0,147615168720939;6304,72980678271;95,6309949191915;0,00843503284683456;0,0127332513243407;"PVCIL_DIC";"S_AGE S_GENEFF";"S_HISCED S_SEX";"INDICATOR INDICATOR";"DEFAULT DEFAULT";"TOTWGTS";"JRR";"HALF";"N";"05-MAR-26";" 1h44m";75;5;"NONE"
