"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Denmark";"(CONSTANT)";328,448748670781;NA;34,0868701097644;NA;9,63563822706899;NA;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"2";"Denmark";"S_AGE";-9,40260049934098;-0,0620022677854849;2,11681773076976;0,0137102018834262;-4,44185645399041;-4,52234535367692;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"3";"Denmark";"S_GENEFF";0,837096203522983;0,106027809240846;0,15011466292143;0,0187151984458691;5,57637866436218;5,66533181828207;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"4";"Denmark";"S_HISCED_D1";23,9982073426261;0,0412582055230126;12,4626276377896;0,024556822452047;1,92561376622198;1,68011173284243;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"5";"Denmark";"S_HISCED_D2";-6,03600831658045;-0,0151877231786079;5,08405082412695;0,0127023327191205;-1,18724389770769;-1,19566409685886;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"6";"Denmark";"S_HISCED_D3";-0,962767448490029;-0,00722977444564382;1,93572877037284;0,014513479212718;-0,497366915874579;-0,498142060885612;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"7";"Denmark";"S_HISCED_D4";2,76007926020354;0,017340318074228;2,76862913719127;0,0173833954998966;0,996911873507042;0,997521921095971;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"8";"Denmark";"S_SEX_D2";15,2464780862783;0,119789790005572;2,00108387516885;0,0155664887061801;7,61910996109139;7,69536356378263;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"9";"Denmark";"PV_CT";0,595686976969189;0,773068752436542;0,0136411499297876;0,0116975678786082;43,6683842663742;66,087990294998;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"10";"Finland";"(CONSTANT)";230,277123139231;NA;33,0915461519194;NA;6,95879008137173;NA;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"11";"Finland";"S_AGE";-6,79627277551345;-0,032386183303645;1,93160352347127;0,0093998177884664;-3,5184615750234;-3,44540543577163;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"12";"Finland";"S_GENEFF";0,628667501756657;0,0711301025507469;0,11058582757821;0,0123715550108617;5,68488309509681;5,74948763419778;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"13";"Finland";"S_HISCED_D1";4,72815519144714;0,00364053077186963;11,0652621377182;0,00884801366068895;0,427297169520302;0,411451757589868;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"14";"Finland";"S_HISCED_D2";-8,65118363537963;-0,0184230155358855;4,89335560959555;0,0106975631716224;-1,76794501066206;-1,72216936140713;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"15";"Finland";"S_HISCED_D3";1,22658245974675;0,00688388160289855;1,94807973533161;0,0109311453933491;0,629636681446181;0,629749340548244;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"16";"Finland";"S_HISCED_D4";1,60577606208521;0,00787207641945103;2,17028228393057;0,0106242517093063;0,739892719935493;0,740953493463968;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"17";"Finland";"S_SEX_D2";19,4218705011954;0,126936223537556;1,77436888399869;0,0118356225735145;10,9457907407769;10,724929994102;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"18";"Finland";"PV_CT";0,706346893475163;0,853513826543617;0,0156085634154253;0,00953267908148133;45,2538055345383;89,5355669951899;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"19";"France";"(CONSTANT)";176,299120496349;NA;29,3162549096614;NA;6,01369857915405;NA;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
