IDCNTRY;EqVar;TOTWGTS;mean;stdev;var;TOTWGTS.se;mean.se;stdev.se;var.se;NObs;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Denmark;PV_CIL;63277,6254119997;555,312558752206;63,631336301514;4049,03213108711;1735,40357294397;1,99960974259796;1,33054510319523;169,37656550281;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_AGE;63277,6254119997;14,8929779560922;,419519657704607;,175996743200591;1735,40357294397;,0107044643385577;,0115956950976359;,0097211530745359;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_GENEFF;63277,6254119997;52,0822414686017;8,05852754969505;64,9398662691942;1735,40357294397;,183888628963455;,136316586197344;2,19653003558061;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_HISCED_D1;63277,6254119997;,0121275415283595;,109456172048864;,0119806535995906;1735,40357294397;,00284658363691282;,0123720847236923;,00277400067447605;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_HISCED_D2;63277,6254119997;,0263666595757496;,160224419301961;,0256718645406507;1735,40357294397;,00322602704139317;,00956463938581542;,00305683879605612;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_HISCED_D3;63277,6254119997;,351741928447574;,477517693656174;,228023147754712;1735,40357294397;,0151530589887142;,00474113965858526;,00452459265767403;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_HISCED_D4;63277,6254119997;,200203749295523;,400155892840176;,160124738574719;1735,40357294397;,0112653095156742;,00842451866329141;,00674642645196687;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;S_SEX_D2;63277,6254119997;,498640654189536;,500002103051359;,250002103055782;1735,40357294397;,00929444160459116;3,12876404782178E-005;3,12874229820744E-005;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;PV_CT;63277,6254119997;529,390662748548;82,5845791977147;6820,62898466044;1735,40357294397;2,30354758739752;1,58642720710931;262,09784186715;2313; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;PV_CIL;55682,5075999999;535,506134808825;76,5165427906678;5855,4128937161;1349,26418697297;2,94221730344623;2,50449867783413;387,022014315327;2421; S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT;PV_CIL;TOTWGTS;JRR;HALF;N;listwise;26-FEB-26;10h38m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
