"";"IDCNTRY";"rsq";"arsq";"rsq.se";"arsq.se";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Denmark";0,684685980530784;0,684646110656272;0,0144269776388946;0,0144283331152367;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"2";"Finland";0,805686839595563;0,805658917782294;0,011021386540099;0,0110230548863385;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"3";"France";0,789674579873177;0,789672243148798;0,00832980416209114;0,00832989089170678;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"4";"Germany";0,658329090978987;0,658324399034152;0,0187028495178494;0,0187030781352681;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"5";"Germany, North-Rhine Westphalia";0,64875031969479;0,648727377673362;0,019122425568827;0,0191235319289485;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"6";"Korea, Republic of";0,629732877044147;0,629726066412831;0,0154567846823707;0,0154570733158357;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"7";"Luxembourg";0,653586932852054;0,653055624916066;0,00972491217236509;0,00974031653497027;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"8";"Portugal";0,647802009512436;0,647772967007443;0,0152274382842111;0,0152286724007361;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"9";"United States";0,713738653380673;0,713737949604374;0,00954335424162327;0,00954337774208982;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
"10";"Table Average";0,692443031495846;0,692369072915066;0,00467577763852429;0,00467640468955567;" S_HISCED_d1 S_HISCED_d2 S_HISCED_d3 S_HISCED_d4 S_SEX_d2 S_AGE S_GENEFF PV_CT";"PV_CIL";"TOTWGTS";"JRR";"HALF";"N";"listwise";"04-MAR-26";"16h29m";75;5;"NONE"
