IDCNTRY;S_SEX;dvar;n;TOTWGTS;p10;p10_se;p50;p50_se;p90;p90_se;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Chile;Boy;PVCIL;1519;114920,21635;356,748840334818;10,3271404461245;481,63585475982;6,33595185875829;572,809762894702;7,55513876873874;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Chile;Girl;PVCIL;1573;110532,660420999;371,26855393632;8,69658120463566;487,425524924912;5,08000286108279;580,164046806269;8,28758388324361;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;Boy;PVCIL;1217;33210,138342;447,673843692806;5,42640167262488;551,620298148548;3,91709733510861;627,441433201272;4,26290228877321;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Denmark;Girl;PVCIL;1187;32497,523187;489,225557376108;5,62004276678084;565,328498794808;3,41861142052252;630,85937806417;3,28224791338432;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;Boy;PVCIL;1296;29487,704028;401,847594564067;8,11452624483247;527,151407700279;4,22919878611301;615,31697019375;6,12876777858856;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Finland;Girl;PVCIL;1250;28764,2897279999;448,197426636342;7,43352077933158;552,570509820992;3,99684405237318;631,163821924381;4,26508804125993;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;Boy;PVCIL;1475;402770,685307;375,876259407685;6,97265202985136;493,452942745819;3,36380470218158;587,510832289831;4,48930359801769;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
France;Girl;PVCIL;1465;399198,445938999;408,999161951377;7,93036645804741;516,166762678366;4,14045269119832;604,401961696192;3,83578806897796;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;Boy;PVCIL;1862;376388,266202001;393,66165248209;11,0348106346754;521,597376661421;3,56753678097327;610,579877043821;4,57657086324449;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Germany;Girl;PVCIL;1793;354436,44303;424,349481535956;7,99266997284802;534,56366352493;3,726042882248;614,911719279663;3,46701510067403;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;Boy;PVCIL;1471;283506,724730999;342,846392289225;9,1927311153872;459,29386178569;4,27552240049325;553,655740827176;4,94724138406024;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Italy;Girl;PVCIL;1339;257617,506153;364,334301763724;7,4277321312813;473,87509654029;4,70181707590377;566,089149101005;4,74785275307665;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Boy;PVCIL;1738;116015,834844999;250,202041602083;9,04714774072294;392,053196582627;7,84865779506272;530,581949926091;8,17200305637145;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Kazakhstan;Girl;PVCIL;1633;108436,537656999;263,352240173556;14,3006453671794;401,304259212197;6,92255030406377;530,666277456078;8,17078879231871;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Boy;PVCIL;1497;233084,104587999;390,134575983595;8,14159736326727;533,25058976073;5,04995412478683;639,48707610047;4,49259623878869;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Korea, Republic of;Girl;PVCIL;1378;206598,970851;442,77546828203;9,35064641258103;571,869786680939;4,66695451902612;669,734347652785;5,60747005242548;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;Boy;PVCIL;2850;3276,181786;351,255707828535;3,47989038823997;479,867718581127;1,91627195971862;574,595543087928;2,49811703312163;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Luxembourg;Girl;PVCIL;2551;2939,367744;384,67168979084;5,2803753308628;502,343499092953;1,96322406800579;588,274103043039;3,23014210477122;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;Boy;PVCIL;1654;50935,035546;416,159710799135;7,76790772448596;518,022798810163;3,37510864460407;599,363070482792;4,970107210709;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
Portugal;Girl;PVCIL;1567;48152,4093310001;433,462943626844;5,92768190939848;526,46937394495;3,53074148507429;607,094094828925;5,88389546888027;TOTWGTS;75;JRR;HALF;5;N;26-FEB-26;10h49m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\ICILS2018.sav;NONE
