"";"IDCNTRY";"S_SEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Chile";"Boy";"PVCIL";"Percentile";10;50;356,748840334818;10,3271404461245;481,63585475982;6,33595185875829;124,887014425002;10,7370781949215;11,6313779370697;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"2";"Chile";"Boy";"PVCIL";"Percentile";10;90;356,748840334818;10,3271404461245;572,809762894702;7,55513876873874;216,060922559884;12,5287435499768;17,2452187003448;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"3";"Chile";"Boy";"PVCIL";"Percentile";50;90;481,63585475982;6,33595185875829;572,809762894702;7,55513876873874;91,1739081348816;7,62697729344258;11,954133941538;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"4";"Chile";"Girl";"PVCIL";"Percentile";10;50;371,26855393632;8,69658120463566;487,425524924912;5,08000286108279;116,156970988593;8,37875558347306;13,863272395451;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"5";"Chile";"Girl";"PVCIL";"Percentile";10;90;371,26855393632;8,69658120463566;580,164046806269;8,28758388324361;208,895492869949;9,86994727391681;21,164803323924;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"6";"Chile";"Girl";"PVCIL";"Percentile";50;90;487,425524924912;5,08000286108279;580,164046806269;8,28758388324361;92,7385218813564;8,81064253293685;10,5257387908625;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"7";"Denmark";"Boy";"PVCIL";"Percentile";10;50;447,673843692806;5,42640167262488;551,620298148548;3,91709733510861;103,946454455742;5,99215513854853;17,3470899955572;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"8";"Denmark";"Boy";"PVCIL";"Percentile";10;90;447,673843692806;5,42640167262488;627,441433201272;4,26290228877321;179,767589508466;6,1458244025626;29,2503621537753;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"9";"Denmark";"Boy";"PVCIL";"Percentile";50;90;551,620298148548;3,91709733510861;627,441433201272;4,26290228877321;75,821135052724;4,38778174360176;17,2800607421474;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"10";"Denmark";"Girl";"PVCIL";"Percentile";10;50;489,225557376108;5,62004276678084;565,328498794808;3,41861142052252;76,1029414186998;5,97546917230273;12,7358939062809;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"11";"Denmark";"Girl";"PVCIL";"Percentile";10;90;489,225557376108;5,62004276678084;630,85937806417;3,28224791338432;141,633820688061;6,22925910343666;22,7368645831287;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"12";"Denmark";"Girl";"PVCIL";"Percentile";50;90;565,328498794808;3,41861142052252;630,85937806417;3,28224791338432;65,5308792693614;3,31922723724105;19,7428119816921;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"13";"Finland";"Boy";"PVCIL";"Percentile";10;50;401,847594564067;8,11452624483247;527,151407700279;4,22919878611301;125,303813136211;8,41966656264956;14,8822773685684;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"14";"Finland";"Boy";"PVCIL";"Percentile";10;90;401,847594564067;8,11452624483247;615,31697019375;6,12876777858856;213,469375629683;9,58395008812646;22,2736318184868;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"15";"Finland";"Boy";"PVCIL";"Percentile";50;90;527,151407700279;4,22919878611301;615,31697019375;6,12876777858856;88,1655624934712;5,7333548239826;15,3776567472634;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"16";"Finland";"Girl";"PVCIL";"Percentile";10;50;448,197426636342;7,43352077933158;552,570509820992;3,99684405237318;104,37308318465;7,29107860486391;14,3151773339849;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"17";"Finland";"Girl";"PVCIL";"Percentile";10;90;448,197426636342;7,43352077933158;631,163821924381;4,26508804125993;182,966395288038;7,5614306538926;24,1973250384632;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"18";"Finland";"Girl";"PVCIL";"Percentile";50;90;552,570509820992;3,99684405237318;631,163821924381;4,26508804125993;78,5933121033884;5,09937181272795;15,4123517542339;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"19";"France";"Boy";"PVCIL";"Percentile";10;50;375,876259407685;6,97265202985136;493,452942745819;3,36380470218158;117,576683338134;7,05238535989132;16,671902815581;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"20";"France";"Boy";"PVCIL";"Percentile";10;90;375,876259407685;6,97265202985136;587,510832289831;4,48930359801769;211,634572882145;7,86417040196824;26,9112394651542;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"21";"France";"Boy";"PVCIL";"Percentile";50;90;493,452942745819;3,36380470218158;587,510832289831;4,48930359801769;94,0578895440112;4,95645528335897;18,9768461867911;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"22";"France";"Girl";"PVCIL";"Percentile";10;50;408,999161951377;7,93036645804741;516,166762678366;4,14045269119832;107,167600726989;7,66314734598435;13,98480231274;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"23";"France";"Girl";"PVCIL";"Percentile";10;90;408,999161951377;7,93036645804741;604,401961696192;3,83578806897796;195,402799744815;8,47957339358643;23,043942268677;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"24";"France";"Girl";"PVCIL";"Percentile";50;90;516,166762678366;4,14045269119832;604,401961696192;3,83578806897796;88,235199017826;4,67836051175036;18,8602821001526;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"25";"Germany";"Boy";"PVCIL";"Percentile";10;50;393,66165248209;11,0348106346754;521,597376661421;3,56753678097327;127,935724179331;11,1111148455608;11,514211306208;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
"26";"Germany";"Boy";"PVCIL";"Percentile";10;90;393,66165248209;11,0348106346754;610,579877043821;4,57657086324449;216,918224561731;11,7646796279418;18,4380902346493;"TOTWGTS";"JRR";"HALF";"N";"04-MAR-26";"13h21m";75;5;"NONE"
