"";"IDCNTRY";"Variable";"ASDGAGE";"ASRREA0_";"ASDGAGE.se";"ASRREA0_.se";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina";"ASDGAGE";1;-0,168591216370431;0;0,0290692594698754;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"2";"Argentina";"ASRREA0_";-0,168591216370431;1;0,0290692594698754;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"3";"Belize";"ASDGAGE";1;-0,146639101256126;0;0,0349964097950364;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"4";"Belize";"ASRREA0_";-0,146639101256126;1;0,0349964097950364;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"5";"Bulgaria";"ASDGAGE";1;-0,129862611225535;0;0,0413987503667191;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"6";"Bulgaria";"ASRREA0_";-0,129862611225535;1;0,0413987503667191;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"7";"Canada (Ontario)";"ASDGAGE";1;-0,00904953066531703;0;0,0250420812062671;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"8";"Canada (Ontario)";"ASRREA0_";-0,00904953066531703;1;0,0250420812062671;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"9";"Canada (Quebec)";"ASDGAGE";1;-0,165269814367202;0;0,0226895465867818;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
"10";"Canada (Quebec)";"ASRREA0_";-0,165269814367202;1;0,0226895465867818;0;"ASDGAGE ASRREA0_";"TOTWGT";"JRR";"HALF";"Y";"LISTWISE";"03-MAR-26";"18h44m";75;5;"NONE"
