IDCNTRY;Variable;ASDHHER;ASDGSATR;ASDHHER.se;ASDGSATR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina;ASDHHER;1;,046691682017346;0;,025635070334085;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGSATR;,046691682017346;1;,025635070334085;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDHHER;1;,0619425505577439;0;,0340477672032591;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGSATR;,0619425505577439;1;,0340477672032591;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;ASDHHER;1;,20614996100219;0;,0307833801707923;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;ASDGSATR;,20614996100219;1;,0307833801707923;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);ASDHHER;1;,169109174500419;0;,0231226356969335;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);ASDGSATR;,169109174500419;1;,0231226356969335;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);ASDHHER;1;,146168708108988;0;,0185123043164659;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);ASDGSATR;,146168708108988;1;,0185123043164659;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;ASDHHER;1;,0267479837073058;0;,0224413488376458;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;ASDGSATR;,0267479837073058;1;,0224413488376458;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;ASDHHER;1;,0457106317256805;0;,0259324651084695;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;ASDGSATR;,0457106317256805;1;,0259324651084695;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;ASDHHER;1;,107910348968671;0;,0212908992572266;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;ASDGSATR;,107910348968671;1;,0212908992572266;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
England;ASDHHER;1;,13815506699079;0;,0230354339479317;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
England;ASDGSATR;,13815506699079;1;,0230354339479317;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;ASDHHER;1;,183144241070922;0;,0155785904412386;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;ASDGSATR;,183144241070922;1;,0155785904412386;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Germany;ASDHHER;1;,151791062367779;0;,0155735963304532;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Germany;ASDGSATR;,151791062367779;1;,0155735963304532;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;ASDHHER;1;,0538790623440542;0;,0253376507600655;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;ASDGSATR;,0538790623440542;1;,0253376507600655;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASDHHER;1;,0876550336676782;0;,0129755005099915;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASDGSATR;,0876550336676782;1;,0129755005099915;0;ASDHHER ASDGSATR;PEARSON;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
