IDCNTRY;Variable;Mean;stdev;TOTWGT;NObs;TOTWGT.se;mean.se;stdev.se;xvar;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina;ASDHHER;2,32539934231348;,523787832361383;371513,180476997;1773;23618,0485651735;,0300777591691825;,0115044960266668;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGSATR;1,5852748276759;,564739039791215;371513,180476997;1773;23618,0485651735;,0219448979963889;,00794069273966127;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDHHER;2,34813917009043;,51017996516279;4369,03042999997;1722;338,286784527648;,0252824689891703;,00959028906384493;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGSATR;1,72819557358863;,541878017874977;4369,03042999997;1722;338,286784527648;,0176177791624563;,012072553271422;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;ASDHHER;2,01934259657772;,486086548789112;88584,8960409995;3202;1920,9034462868;,020721505422941;,0164366890956719;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;ASDGSATR;1,43609718122963;,571687715632382;88584,8960409995;3202;1920,9034462868;,0193957916196717;,010363119808814;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);ASDHHER;1,81936913592964;,395773781786208;115252,796846999;3522;4578,18182970188;,01516187543241;,0118948816388333;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);ASDGSATR;1,54683961844906;,645289664596258;115252,796846999;3522;4578,18182970188;,0174850833364338;,00785715755961639;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);ASDHHER;1,87017214383065;,367465634624914;61740,0688150003;3054;2576,1084617619;,0116356304556081;,0114389265578741;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);ASDGSATR;1,45070389466813;,601535897575321;61740,0688150003;3054;2576,1084617619;,0181024551219095;,0124173511584786;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;ASDHHER;2,44442794398668;,522098274259726;815758,424272001;4390;48202,7315489189;,0203972434337154;,00542555079664019;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;ASDGSATR;1,54310670020525;,549017781256018;815758,424272001;4390;48202,7315489189;,0164316971605675;,00506782595380789;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;ASDHHER;1,95131473595312;,360137531630382;6568,32033799995;1997;164,141271975406;,0108820963236792;,011733408967226;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;ASDGSATR;1,48213138367797;,605731072611938;6568,32033799995;1997;164,141271975406;,0201792813149361;,0117042864546303;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;ASDHHER;1,88162517883983;,354206008930897;105897,695947;2568;2952,13406492097;,0120842849432727;,0129476751636224;ASDHHER ASDGSATR;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
