"";"IDCNTRY";"StratVar";"NVarStrat"
"1";"Argentina";"JKZONE";69
"2";"Belize";"JKZONE";58
"3";"Bulgaria";"JKZONE";75
"4";"Colombia";"JKZONE";74
"5";"Cyprus";"JKZONE";59
"6";"Czech Republic";"JKZONE";71
"7";"France";"JKZONE";73
"8";"Germany";"JKZONE";75
"9";"Greece";"JKZONE";73
"10";"Hong Kong, SAR";"JKZONE";74
"11";"Hungary";"JKZONE";75
"12";"Iceland";"JKZONE";75
"13";"Iran, Islamic Republic of";"JKZONE";75
"14";"Israel";"JKZONE";71
"15";"Italy";"JKZONE";75
"16";"Kuwait";"JKZONE";69
"17";"Latvia";"JKZONE";71
"18";"Lithuania";"JKZONE";73
"19";"Moldova";"JKZONE";75
"20";"Netherlands";"JKZONE";67
"21";"New Zealand";"JKZONE";75
"22";"Norway";"JKZONE";69
"23";"Romania";"JKZONE";73
"24";"Russian Federation";"JKZONE";61
"25";"Singapore";"JKZONE";75
"26";"Slovak Republic";"JKZONE";75
"27";"Slovenia";"JKZONE";75
"28";"Sweden";"JKZONE";74
"29";"Turkey";"JKZONE";75
"30";"North Macedonia";"JKZONE";68
"31";"England";"JKZONE";66
"32";"Scotland";"JKZONE";59
"33";"Sweden (Grade 3)";"JKZONE";72
"34";"Canada (Ontario)";"JKZONE";75
"35";"Canada (Quebec)";"JKZONE";75
