IDCNTRY;Variable;ASRINF0_;ASRIIE0_;ASRINF0_.se;ASRIIE0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina;ASRINF0_;1;,80035915450011;0;,0104173219715158; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASRIIE0_;,80035915450011;1;,0104173219715158;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASRINF0_;1;,770285804965707;0;,0129321905544247; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASRIIE0_;,770285804965707;1;,0129321905544247;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;ASRINF0_;1;,820780356829727;0;,01322734253324; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;ASRIIE0_;,820780356829727;1;,01322734253324;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);ASRINF0_;1;,814905415726688;0;,00727824398233895; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);ASRIIE0_;,814905415726688;1;,00727824398233895;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);ASRINF0_;1;,764004220345021;0;,0140407945879339; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);ASRIIE0_;,764004220345021;1;,0140407945879339;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;ASRINF0_;1;,805902613876471;0;,0145559485361347; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;ASRIIE0_;,805902613876471;1;,0145559485361347;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;ASRINF0_;1;,836197410314476;0;,00667450365583271; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;ASRIIE0_;,836197410314476;1;,00667450365583271;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;ASRINF0_;1;,796417065166203;0;,00940343535443297; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Czech Republic;ASRIIE0_;,796417065166203;1;,00940343535443297;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
England;ASRINF0_;1;,848798197984534;0;,00805638702295824; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
England;ASRIIE0_;,848798197984534;1;,00805638702295824;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;ASRINF0_;1;,798972322612914;0;,0115019578900103; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
France;ASRIIE0_;,798972322612914;1;,0115019578900103;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Germany;ASRINF0_;1;,825902462758007;0;,00689532256234174; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Germany;ASRIIE0_;,825902462758007;1;,00689532256234174;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;ASRINF0_;1;,813576057709793;0;,0120964371787249; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Greece;ASRIIE0_;,813576057709793;1;,0120964371787249;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASRINF0_;1;,782663898407174;0;,0125738134367092; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hong Kong, SAR;ASRIIE0_;,782663898407174;1;,0125738134367092;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASRINF0_;1;,8142127164285;0;,0083154784011526; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Hungary;ASRIIE0_;,8142127164285;1;,0083154784011526;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASRINF0_;1;,816636253846265;0;,00636767618197406; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iceland;ASRIIE0_;,816636253846265;1;,00636767618197406;0; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Iran, Islamic Republic of;ASRINF0_;1;,806652809489332;0;,00891522424689769; ASRINF0_ ASRIIE0_;TOTWGT;JRR;HALF;Y;LISTWISE;25-FEB-26;15h57m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
