"";"IDCNTRY";"StratVar";"NVarStrat"
"1";"Argentina";"JKZONE";69
"2";"Belize";"JKZONE";60
"3";"Bulgaria";"JKZONE";75
"4";"Colombia";"JKZONE";74
"5";"Cyprus";"JKZONE";75
"6";"Czech Republic";"JKZONE";71
"7";"France";"JKZONE";73
"8";"Germany";"JKZONE";75
"9";"Greece";"JKZONE";73
"10";"Hong Kong, SAR";"JKZONE";74
"11";"Hungary";"JKZONE";75
"12";"Iceland";"JKZONE";75
"13";"Iran, Islamic Republic of";"JKZONE";75
"14";"Israel";"JKZONE";74
"15";"Italy";"JKZONE";75
"16";"Latvia";"JKZONE";71
"17";"Lithuania";"JKZONE";73
"18";"Moldova";"JKZONE";75
"19";"Netherlands";"JKZONE";67
"20";"New Zealand";"JKZONE";75
"21";"Norway";"JKZONE";69
"22";"Romania";"JKZONE";73
"23";"Russian Federation";"JKZONE";61
"24";"Singapore";"JKZONE";75
"25";"Slovak Republic";"JKZONE";75
"26";"Slovenia";"JKZONE";75
"27";"Sweden";"JKZONE";74
"28";"Turkey";"JKZONE";75
"29";"North Macedonia";"JKZONE";73
"30";"United States";"JKZONE";52
"31";"England";"JKZONE";66
"32";"Scotland";"JKZONE";59
"33";"Sweden (Grade 3)";"JKZONE";72
"34";"Canada (Ontario)";"JKZONE";75
"35";"Canada (Quebec)";"JKZONE";75
