IDCNTRY;Variable;RASDHHER;RASDGSATR;RASDHHER.se;RASDGSATR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina;RASDHHER;1;,0541293324857256;0;,0252605128258971; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;RASDGSATR;,0541293324857256;1;,0252605128258971;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;RASDHHER;1;,0627444051304389;0;,0353794004912069; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;RASDGSATR;,0627444051304389;1;,0353794004912069;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;RASDHHER;1;,206637140065429;0;,0286505939582335; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;RASDGSATR;,206637140065429;1;,0286505939582335;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);RASDHHER;1;,174757529586896;0;,0246259695888015; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Ontario);RASDGSATR;,174757529586896;1;,0246259695888015;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);RASDHHER;1;,149875137258515;0;,0195267343009781; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Canada (Quebec);RASDGSATR;,149875137258515;1;,0195267343009781;0; RASDHHER RASDGSATR;SPEARMAN;TOTWGT;JRR;HALF;LISTWISE;25-FEB-26;15h58m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
