IDCNTRY;ASBGSEX;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Argentina;GIRL;ASDGSATR;1376;289967,028401;15322,8300459491;344513,375342;18424,9865354353;50,8492774825815;1,04335768369949;50,3054953576756;1,01481711134625;1,51234166806562;,0164269350399183;,530380354017883;,00611546093659882;,281303319928135;,00649234475416179;1,31994749350094;15,8328677041498;69;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;BOY;ASDGSATR;1345;280281,051329;12671,9690152227;340329,051697999;14575,5386355445;49,1507225174185;1,04335768369949;49,6945046423244;1,01481711134625;1,71671556466084;,0223800375481626;,591364354369396;,0108865835745799;,349711799618733;,0128879785613086;1,92634300363425;17,644100634196;69;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;GIRL;ASDGSATR;1312;3332,245881;197,614297880379;3508,592211;192,603864557519;50,1764543385224;1,01545135533397;49,7885598229853;,93679670227367;1,67918415981981;,0167397738311537;,548750191148583;,0148395101952803;,301126772285607;,0163514600166198;1,22090996372767;5,02612784258957;59;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;BOY;ASDGSATR;1295;3308,809022;172,454454990234;3538,392525;181,677346565919;49,8235456614776;1,01545135533398;50,2114401770147;,936796702273653;1,77397190589503;,0195368390064812;,551498216491969;,0116406888694655;,304150282793823;,0128234959727488;1,62513760284074;6,48835598023427;59;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;GIRL;ASDGSATR;1734;47862,9368880001;1234,12785456661;49104,1395660001;1272,27677291394;51,6033226584668;,902754010821292;51,4969933309433;,895440220947768;1,32280091253393;,0191526100506848;,507377978318355;,0140804819586706;,257432412882421;,0143427650292599;2,47082392966283;2,52769458740178;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Bulgaria;BOY;ASDGSATR;1621;44888,7202190001;1163,56875389833;46249,2711670001;1216,87172283217;48,3966773415332;,902754010821295;48,5030066690567;,895440220947755;1,57351433851088;,0235278601157416;,610037967985492;,0115144764002686;,372146322383868;,01405764926074;2,41120503646951;2,9417781376213;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;GIRL;ASDGSATR;2517;470657,9305;28769,5694674157;491770,041160001;29279,9299643763;50,5944699927973;1,30060662321432;50,5516786636213;1,23889313308533;1,50210376954225;,0180741926695012;,538268845248577;,00667517745385513;,289733349765236;,00718504923819875;2,83793564597583;4,29308597372059;74;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Colombia;BOY;ASDGSATR;2372;459597,748761001;25842,5916321316;481036,508811;26761,5844334402;49,4055300072027;1,30060662321432;49,4483213363787;1,23889313308533;1,61404603544035;,0241245511777607;,550028334969904;,00698768467043322;,302531169269765;,00768728349558382;4,56313211975318;4,45678439314121;73;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;GIRL;ASDGSATR;1395;4810,130502;129,323384757108;4918,018807;132,355084549157;48,7513583081302;,921264660151856;48,4958127167522;,932820157125757;1,32934124226803;,0206278441462237;,51904953638901;,014858703576377;,269412421225646;,0154155816726985;2,20325252005175;2,19373510419355;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Cyprus;BOY;ASDGSATR;1489;5056,528949;129,573383540503;5223,101697;133,462906323943;51,2486416918698;,921264660151853;51,5041872832478;,932820157125759;1,65847621413469;,0272692434861798;,659052744840841;,0124732479288184;,434350520482246;,0164251430358476;2,54918016718413;3,18915383354827;75;TOTWGT;75;JRR;HALF;25-FEB-26;16h 2m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
