"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Argentina";"GIRL";"ASRREA0";1617;344513,375341997;18424,9865354353;50,3054953576756;1,01481711134625;430,044876120215;6,50628666913864;"417 to 443";41,9859740263121;0,345792194699094;96,2646740604904;3,52943928254657;9267,53297026678;675,07188552932;1,06033385374752;6,96577819769696;7,32571658696697;1,00823589788538;7,3860504407145;0;69;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"2";"Argentina";"BOY";"ASRREA0";1616;340329,051697998;14575,5386355445;49,6945046423244;1,01481711134625;411,743937857372;6,43484598442608;"399 to 424";37,9031353631106;3,50410748017388;94,0588447206248;2,90857844109651;8848,65314025265;553,495853021411;1,63994345785819;4,6111752032872;6,92212314981056;1,09244901369253;7,56206660766874;0;69;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"3";"Belize";"GIRL";"ASRREA0";1385;3508,59221099997;192,603864557519;49,7885598229853;0,93679670227367;342,092962153457;5,41786631308026;"331 to 353";27,4550135657879;1,89826182062203;106,066805189449;3,26550789487493;11252,3708565166;693,049854156413;1,2336478823073;2,92867437748042;3,37930506143908;1,06914080796476;3,61295294374638;0;59;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"4";"Belize";"BOY";"ASRREA0";1380;3538,39252499997;181,677346565919;50,2114401770147;0,936796702273653;313,885937602714;5,51268821077199;"303 to 325";28,3171245954563;2,07260671372816;104,300560059338;2,70592046439296;10879,349738988;571,634775648801;1,26290149076602;3,05234438913234;3,59190878860051;1,07319269676345;3,85481027936653;0;59;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"5";"Bulgaria";"GIRL";"ASRREA0";1778;49104,1395659999;1272,27677291394;51,4969933309433;0,895440220947768;562,534568491364;3,65252718161563;"555 to 570";12,5828984912746;0,758056321166342;78,4212008356907;2,48015200478949;6150,20844280887;392,298145531241;1,21915096887646;3,16352555121744;3,63766427195573;1,06024496833476;3,85681524083219;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"6";"Bulgaria";"BOY";"ASRREA0";1670;46249,2711669999;1216,87172283217;48,5030066690567;0,895440220947755;538,524032755158;4,68892714493122;"529 to 548";21,5974976972128;0,388540073259993;84,1842604175103;3,40242638991037;7087,98271877529;572,998036652257;1,09154394812863;4,74569217553487;5,08858762575785;1,01799005045432;5,18013157388648;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"7";"Colombia";"GIRL";"ASRREA0";2622;491770,041160001;29279,9299643763;50,5516786636213;1,23889313308533;428,325090301221;5,10817961219624;"418 to 438";25,779831727878;0,31366722257935;81,7982127757485;3,50304405755354;6691,92412085533;575,482421539835;1,12289969861433;9,10485498248346;10,1009392171435;1,01216715554587;10,2238389157578;0;74;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"8";"Colombia";"BOY";"ASRREA0";2498;481036,508810999;26761,5844334402;49,4483213363787;1,23889313308533;416,507285963035;4,78871948070448;"407 to 426";22,4881434793371;0,443690785541407;78,8981026328815;3,14919488227405;6225,03725556311;493,578373496792;1,17804545367049;7,8113702950653;9,0241038093679;1,01972998731305;9,20214926303839;0;73;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"9";"Cyprus";"GIRL";"ASRREA0";1430;4918,01880699998;132,355084549157;48,4958127167522;0,932820157125757;506,50167679759;3,34812592444543;"500 to 513";8,71100580156962;2,49894140437395;78,9425819893929;1,87808824468909;6232,38482523735;297,938467199832;1,57337380608853;1,63475783535678;1,99871135135982;1,28687174148405;2,57208515744835;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
"10";"Cyprus";"BOY";"ASRREA0";1544;5223,10169699997;133,462906323943;51,5041872832478;0,932820157125759;482,430961648963;3,55084750428173;"475 to 489";11,6262386108135;0,982279387850296;81,758168098014;2,02347479263481;6684,84397664518;333,669354791987;1,22687730336557;2,37366229444452;2,68531509154306;1,08448814967006;2,91219239490864;0;75;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h 1m";"NONE"
