IDCNTRY;EqVar;b;ExpB;df;b.se;ExpB.se;b.wald;b.sig;dvar;convar;catvar;contrast;refcats;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Argentina;CONSTANT;1,18620484398975;3,83952649932555;1;1,67683109504857;5,08433343577964;,500427017301336;,479312554570273;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGAGE;-,367989512496145;,693653735784277;1;,186570216175768;,129220111159363;3,89032831295681;,0485649290056646;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGSATR(1);,38734054858001;1,4971528709145;1;,445664239009265;,812349865080162;,755388472315063;,384775552645648;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGSATR(2);-,356342471296511;,710447062832447;1;,450238943131478;,404129099340674;,626396125135014;,428680328574336;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASBGSEX(1);,355150476494853;1,42772137954453;1;,154729110918297;,212260527335118;5,26842428820994;,0217156606937194;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;CONSTANT;-10,4186798969586;,0156750395173145;1;18,8272612987769;,0260481949024481;,306232365974152;,580001411482908;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGAGE;-,140127119276393;,869970686874945;1;,0971793009872867;,0847712094584392;2,07920277493185;,149318145189721;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGSATR(1);8,38548054994849;30506720,6650895;1;18,7581031659017;95360627,774217;,199837998691015;,654851640586023;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGSATR(2);6,53982809773714;4348582,00059282;1;18,7283071166968;19461740,8438924;,12193703220495;,726943044151587;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASBGSEX(1);,702494691461843;2,0283003175361;1;,281553025130149;,522281240231468;6,2253775846635;,0125932051095895;ASRREA0_DIC;ASDGAGE;ASDGSATR ASBGSEX;INDICATOR INDICATOR;DEFAULT DEFAULT;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 2m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
