IDCNTRY;EqVar;b;beta;b.se;beta.se;b.t;beta.t;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina;(CONSTANT);128,622335050428; ;28,6572502212937; ;4,48829996099401; ; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGAGE;-5,20964038454812;-,0382416395330198;2,62838332294483;,0191649265943972;-1,98207024792383;-1,99539713051652; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGSATR_D2;-8,4502065487929;-,0411775856513368;4,15198451345592;,0200435818410244;-2,03522111448324;-2,05440255029948; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASDGSATR_D3;-11,9405337749369;-,023940242276387;9,4440404284407;,0188776609377183;-1,26434589786147;-1,26817842291856; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASBGSEX_D2;-8,00206907515719;-,0390524525264304;6,09691717870555;,0297441728625287;-1,31247790327638;-1,31294464656734; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;ASRINF0_;,828548288090687;,780658719357285;,0182693246449469;,0128182556709685;45,3518837829538;60,9021023917758; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;(CONSTANT);136,289376330987; ;24,5425817549911; ;5,55318008885805; ; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGAGE;-3,60375152401402;-,0372907515721626;2,11977668415397;,0221003320104091;-1,70006187489147;-1,68733897547779; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGSATR_D2;-20,7467448230221;-,0941315025480979;3,9855926222411;,0177986200082403;-5,20543537421449;-5,28869668010876; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASDGSATR_D3;-15,16068953227;-,0318834366831687;8,68094979305572;,0184317402142193;-1,74643211787697;-1,72981152688839; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASBGSEX_D2;,379608604127638;,00180705355314296;3,40574596659647;,0158602194459996;,111461221080737;,113936226374141; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;ASRINF0_;,726532769474071;,747273135944153;,020796284730004;,0174171959174878;34,9357002419697;42,9043308397221; ASDGSATR_d2 ASDGSATR_d3 ASBGSEX_d2 ASDGAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;HALF;Y;listwise;25-FEB-26;16h 0m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
