IDCNTRY;StratVar;NVarStrat
Argentina;JKZONE;69
Belize;JKZONE;59
Bulgaria;JKZONE;75
Colombia;JKZONE;74
Cyprus;JKZONE;75
Czech Republic;JKZONE;71
France;JKZONE;73
Germany;JKZONE;75
Greece;JKZONE;73
Hong Kong, SAR;JKZONE;74
Hungary;JKZONE;75
Iceland;JKZONE;75
Iran, Islamic Republic of;JKZONE;75
Israel;JKZONE;74
Italy;JKZONE;75
Latvia;JKZONE;71
Lithuania;JKZONE;73
Moldova;JKZONE;75
Netherlands;JKZONE;67
New Zealand;JKZONE;75
Norway;JKZONE;69
Romania;JKZONE;73
Russian Federation;JKZONE;61
Singapore;JKZONE;75
Slovak Republic;JKZONE;75
Slovenia;JKZONE;75
Sweden;JKZONE;74
Turkey;JKZONE;75
North Macedonia;JKZONE;73
United States;JKZONE;52
England;JKZONE;66
Scotland;JKZONE;59
Sweden (Grade 3);JKZONE;72
Canada (Ontario);JKZONE;75
Canada (Quebec);JKZONE;75
