"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Argentina";"GIRL";"ASRREA0";1617;344513,375342;298,2501774;9,8387753724992;435,9099926;8,49247990927896;548,4337916;8,70165845251814;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"2";"Argentina";"BOY";"ASRREA0";1616;340329,051697999;285,1586682;11,4642643867397;415,8927756;4,23889937046818;529,8842554;7,68568430447143;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"3";"Belize";"GIRL";"ASRREA0";1385;3508,592211;207,5336132;8,21808571641417;338,8425966;10,435158474629;480,5977436;8,8192988956817;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"4";"Belize";"BOY";"ASRREA0";1380;3538,392525;183,8108886;7,24721415203907;308,707234;11,0519268713341;454,6145848;11,1821426287508;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"5";"Bulgaria";"GIRL";"ASRREA0";1778;49104,1395660002;458,7087706;7,27756123378316;569,5841768;5,38148425961686;657,4890482;3,80187885043024;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"6";"Bulgaria";"BOY";"ASRREA0";1670;46249,2711670001;429,737655;9,36820895766241;548,2929574;4,96028587773609;637,1436378;5,29542802188324;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"7";"Colombia";"GIRL";"ASRREA0";2622;491770,04116;320,5557854;5,26500090403422;429,3143208;6,57646050956915;533,2054156;7,53257065673781;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"8";"Colombia";"BOY";"ASRREA0";2498;481036,508810997;312,5700692;14,7040582541102;418,9046912;4,86465711861843;515,9977684;4,61100962974594;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"9";"Cyprus";"GIRL";"ASRREA0";1430;4918,018807;400,8056296;4,55308214874369;510,6434104;3,4531649053626;604,2521774;8,08291099725982;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"10";"Cyprus";"BOY";"ASRREA0";1544;5223,101697;370,8595634;4,98839288101846;488,4117696;5,85888309096421;582,788549;6,4759430277292;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"11";"Czech Republic";"GIRL";"ASRREA0";1457;60027,5169090001;461,4374832;5,47334563079871;547,5435466;2,48686155125179;618,242516;3,41625240517587;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"12";"Czech Republic";"BOY";"ASRREA0";1560;63606,141282;440,0685936;6,20762535853178;535,7864304;2,72558455819497;611,655462;5,94879116206802;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"13";"France";"GIRL";"ASRREA0";1660;343296,238177001;441,7279316;2,84608760985659;531,7258696;3,01602790943334;619,1407498;3,73702373305904;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"14";"France";"BOY";"ASRREA0";1822;364788,915951002;426,3624112;4,540670930915;525,2522936;4,35310994336373;608,2264098;4,82441938628622;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"15";"Germany";"GIRL";"ASRREA0";3705;445850,961302999;456,5636204;8,05262143453859;550,552747;4,10305434565721;625,6752936;3,87129430175835;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"16";"Germany";"BOY";"ASRREA0";3808;448798,491602998;443,0526154;5,0380190578658;538,3146692;2,95260503085901;614,8796536;3,48681833266807;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"17";"Greece";"GIRL";"ASRREA0";1219;48161,986802;446,0892068;3,64540812201448;538,3868052;5,29906444483511;618,9147796;2,70542156756164;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"18";"Greece";"BOY";"ASRREA0";1270;48966,414081;411,7662688;6,12051354626451;519,3726782;5,50158648221748;606,2969918;7,51193725377934;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"19";"Hong Kong, SAR";"GIRL";"ASRREA0";2443;43059,8950269999;462,1748484;6,91164783339392;542,3772682;2,94355421325274;608,8175626;3,01535633958199;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"20";"Hong Kong, SAR";"BOY";"ASRREA0";2424;42537,6051889999;432,9281006;8,14001414181108;524,9554556;3,65743067586026;596,7279534;4,0387274664635;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"21";"Hungary";"GIRL";"ASRREA0";2342;59876,9785569999;465,0233314;3,85293202085093;553,7241158;4,19092358231107;629,1203456;2,92685728383407;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"22";"Hungary";"BOY";"ASRREA0";2316;57182,69341;446,7880122;3,28091581371404;540,5803724;4,3724713548074;617,9158186;3,4497689324315;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"23";"Iceland";"GIRL";"ASRREA0";1812;2187,581707;428,7168738;2,1346116566494;525,3464764;2,84347471446906;610,8578278;3,51436364209793;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"24";"Iceland";"BOY";"ASRREA0";1834;2230,955106;399,3565736;5,29127509551328;508,5568988;2,88491958781865;598,3647762;3,46418609119927;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"25";"Iran, Islamic Republic of";"GIRL";"ASRREA0";3874;989953,341984004;304,6506332;7,88541982620994;429,486998;6,89456463772007;541,6491312;6,73981161681575;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
"26";"Iran, Islamic Republic of";"BOY";"ASRREA0";3552;822444,623644992;279,7700788;5,85693988276731;397,8321984;6,05629755390574;520,579914;8,20275873949413;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h10m";"NONE"
