"";"IDCNTRY";"ASBGSEX";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina";"GIRL";"ASRREA0";"Percentile";10;50;298,2501774;9,8387753724992;435,9099926;8,49247990927896;137,6598152;8,28191316969984;16,6217409406852;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"2";"Argentina";"GIRL";"ASRREA0";"Percentile";10;90;298,2501774;9,8387753724992;548,4337916;8,70165845251814;250,1836142;11,163020740458;22,4118202426395;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"3";"Argentina";"GIRL";"ASRREA0";"Percentile";50;90;435,9099926;8,49247990927896;548,4337916;8,70165845251814;112,523799;7,35010646821253;15,3091386480779;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"4";"Argentina";"BOY";"ASRREA0";"Percentile";10;50;285,1586682;11,4642643867397;415,8927756;4,23889937046818;130,7341074;9,4732411947415;13,8003566796725;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"5";"Argentina";"BOY";"ASRREA0";"Percentile";10;90;285,1586682;11,4642643867397;529,8842554;7,68568430447143;244,7255872;10,2692127198077;23,8309979428085;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"6";"Argentina";"BOY";"ASRREA0";"Percentile";50;90;415,8927756;4,23889937046818;529,8842554;7,68568430447143;113,9914798;6,21397596299815;18,3443708953455;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"7";"Belize";"GIRL";"ASRREA0";"Percentile";10;50;207,5336132;8,21808571641417;338,8425966;10,435158474629;131,3089834;8,94956726811123;14,6721041885316;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"8";"Belize";"GIRL";"ASRREA0";"Percentile";10;90;207,5336132;8,21808571641417;480,5977436;8,8192988956817;273,0641304;11,6849314406502;23,3689116437645;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"9";"Belize";"GIRL";"ASRREA0";"Percentile";50;90;338,8425966;10,435158474629;480,5977436;8,8192988956817;141,755147;11,0096077170442;12,8755856378557;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"10";"Belize";"BOY";"ASRREA0";"Percentile";10;50;183,8108886;7,24721415203907;308,707234;11,0519268713341;124,8963454;10,2158067010062;12,2257937190313;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
