"";"IDCNTRY";"dvar";"refpctile";"comppctile";"groupvar";"refgroup";"compgroup";"gap";"gap_se";"cgap";"cgap_se";"gapdiff";"gapdiff_se";"gapdiff_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina";"ASRREA0";10;50;"ASBGSEX";"GIRL";"GIRL";137,6598152;8,28191316969984;137,6598152;8,28191316969984;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"2";"Argentina";"ASRREA0";10;50;"ASBGSEX";"GIRL";"BOY";137,6598152;8,28191316969984;130,7341074;9,4732411947415;-6,92570780000002;10,2744105800032;-0,674073490257369;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"3";"Argentina";"ASRREA0";10;50;"ASBGSEX";"BOY";"GIRL";130,7341074;9,4732411947415;137,6598152;8,28191316969984;6,92570780000002;10,2744105800032;0,674073490257369;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"4";"Argentina";"ASRREA0";10;50;"ASBGSEX";"BOY";"BOY";130,7341074;9,4732411947415;130,7341074;9,4732411947415;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"5";"Argentina";"ASRREA0";10;90;"ASBGSEX";"GIRL";"GIRL";250,1836142;11,163020740458;250,1836142;11,163020740458;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"6";"Argentina";"ASRREA0";10;90;"ASBGSEX";"GIRL";"BOY";250,1836142;11,163020740458;244,7255872;10,2692127198077;-5,458027;12,1406547681252;-0,449566115192553;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"7";"Argentina";"ASRREA0";10;90;"ASBGSEX";"BOY";"GIRL";244,7255872;10,2692127198077;250,1836142;11,163020740458;5,458027;12,1406547681252;0,449566115192553;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"8";"Argentina";"ASRREA0";10;90;"ASBGSEX";"BOY";"BOY";244,7255872;10,2692127198077;244,7255872;10,2692127198077;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"9";"Argentina";"ASRREA0";50;90;"ASBGSEX";"GIRL";"GIRL";112,523799;7,35010646821253;112,523799;7,35010646821253;0;0;NA;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
"10";"Argentina";"ASRREA0";50;90;"ASBGSEX";"GIRL";"BOY";112,523799;7,35010646821253;113,9914798;6,21397596299815;1,46768080000002;8,66109922345093;0,169456643104388;"TOTWGT";"JRR";"HALF";"Y";"04-MAR-26";"13h10m";75;5;"NONE"
