IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Argentina;10;ASRREA0;ASBGSEX;GIRL;GIRL;298,2501774;9,8387753724992;298,2501774;9,8387753724992;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;10;ASRREA0;ASBGSEX;GIRL;BOY;298,2501774;9,8387753724992;285,1586682;11,4642643867397;-13,0915092;10,2562927346249;-1,27643677289002;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;10;ASRREA0;ASBGSEX;BOY;GIRL;285,1586682;11,4642643867397;298,2501774;9,8387753724992;13,0915092;10,2562927346249;1,27643677289002;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;10;ASRREA0;ASBGSEX;BOY;BOY;285,1586682;11,4642643867397;285,1586682;11,4642643867397;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;50;ASRREA0;ASBGSEX;GIRL;GIRL;435,9099926;8,49247990927896;435,9099926;8,49247990927896;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;50;ASRREA0;ASBGSEX;GIRL;BOY;435,9099926;8,49247990927896;415,8927756;4,23889937046818;-20,017217;7,84154736582356;-2,55271263006618;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;50;ASRREA0;ASBGSEX;BOY;GIRL;415,8927756;4,23889937046818;435,9099926;8,49247990927896;20,017217;7,84154736582356;2,55271263006618;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;50;ASRREA0;ASBGSEX;BOY;BOY;415,8927756;4,23889937046818;415,8927756;4,23889937046818;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;90;ASRREA0;ASBGSEX;GIRL;GIRL;548,4337916;8,70165845251814;548,4337916;8,70165845251814;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;90;ASRREA0;ASBGSEX;GIRL;BOY;548,4337916;8,70165845251814;529,8842554;7,68568430447143;-18,5495362;7,86423033301837;-2,35872239424611;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;90;ASRREA0;ASBGSEX;BOY;GIRL;529,8842554;7,68568430447143;548,4337916;8,70165845251814;18,5495362;7,86423033301837;2,35872239424611;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Argentina;90;ASRREA0;ASBGSEX;BOY;BOY;529,8842554;7,68568430447143;529,8842554;7,68568430447143;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;10;ASRREA0;ASBGSEX;GIRL;GIRL;207,5336132;8,21808571641417;207,5336132;8,21808571641417;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;10;ASRREA0;ASBGSEX;GIRL;BOY;207,5336132;8,21808571641417;183,8108886;7,24721415203907;-23,7227246;8,97372043075477;-2,64357740839545;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;10;ASRREA0;ASBGSEX;BOY;GIRL;183,8108886;7,24721415203907;207,5336132;8,21808571641417;23,7227246;8,97372043075477;2,64357740839545;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;10;ASRREA0;ASBGSEX;BOY;BOY;183,8108886;7,24721415203907;183,8108886;7,24721415203907;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;50;ASRREA0;ASBGSEX;GIRL;GIRL;338,8425966;10,435158474629;338,8425966;10,435158474629;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;50;ASRREA0;ASBGSEX;GIRL;BOY;338,8425966;10,435158474629;308,707234;11,0519268713341;-30,1353626;11,3047979245894;-2,66571439852557;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;50;ASRREA0;ASBGSEX;BOY;GIRL;308,707234;11,0519268713341;338,8425966;10,435158474629;30,1353626;11,3047979245894;2,66571439852557;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
Belize;50;ASRREA0;ASBGSEX;BOY;BOY;308,707234;11,0519268713341;308,707234;11,0519268713341;0;0; ;TOTWGT;JRR;HALF;Y;25-FEB-26;16h 3m;75;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2001.sav;NONE
