IDCNTRY;Variable;ASDAGE;ASRREA0_;ASDAGE.se;ASRREA0_.se;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina, Buenos Aires;ASDAGE;1;-,116628833812649;0;,0212356526710965;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASRREA0_;-,116628833812649;1;,0212356526710965;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASDAGE;1;,0356753372152785;0;,0182244999407798;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRREA0_;,0356753372152785;1;,0182244999407798;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASDAGE;1;-,232229803321957;0;,0201909713459625;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRREA0_;-,232229803321957;1;,0201909713459625;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASDAGE;1;,0143578216882173;0;,0176496104757351;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRREA0_;,0143578216882173;1;,0176496104757351;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASDAGE;1;-,0107325920047089;0;,0203959248185389;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRREA0_;-,0107325920047089;1;,0203959248185389;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASDAGE;1;-,209689658354697;0;,0215422007159182;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASRREA0_;-,209689658354697;1;,0215422007159182;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASDAGE;1;-,201123406999553;0;,023253235139259;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASRREA0_;-,201123406999553;1;,023253235139259;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASDAGE;1;-,0344168278302673;0;,0210253554458703;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRREA0_;-,0344168278302673;1;,0210253554458703;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASDAGE;1;,0180342706897123;0;,0183869220434223;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRREA0_;,0180342706897123;1;,0183869220434223;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASDAGE;1;,0562337275335221;0;,0240509195878301;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASRREA0_;,0562337275335221;1;,0240509195878301;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASDAGE;1;-,0543269939562264;0;,0224677349546394;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASRREA0_;-,0543269939562264;1;,0224677349546394;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASDAGE;1;-,139783797916629;0;,0225778526173447;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASRREA0_;-,139783797916629;1;,0225778526173447;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASDAGE;1;,0859085078118884;0;,0213283596802919;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASRREA0_;,0859085078118884;1;,0213283596802919;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASDAGE;1;-,136876429940648;0;,0199975437013391;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASRREA0_;-,136876429940648;1;,0199975437013391;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;ASDAGE;1;-,0964304352423305;0;,0235776383319605;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;ASRREA0_;-,0964304352423305;1;,0235776383319605;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);ASDAGE;1;-,0516229907833333;0;,0217238591720933;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);ASRREA0_;-,0516229907833333;1;,0217238591720933;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;ASDAGE;1;-,0654542705067959;0;,0375306373453636;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;ASRREA0_;-,0654542705067959;1;,0375306373453636;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;ASDAGE;1;,113995831924385;0;,0152010489805017;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
England;ASRREA0_;,113995831924385;1;,0152010489805017;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;ASDAGE;1;-,0495622764401105;0;,0250069645595168;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;ASRREA0_;-,0495622764401105;1;,0250069645595168;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;ASDAGE;1;-,169460372071768;0;,019732272991438;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;ASRREA0_;-,169460372071768;1;,019732272991438;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;ASDAGE;1;,0317273822670202;0;,0194714196818557;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;ASRREA0_;,0317273822670202;1;,0194714196818557;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;ASDAGE;1;-,250351306497656;0;,0187972688866291;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;ASRREA0_;-,250351306497656;1;,0187972688866291;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;ASDAGE;1;,0759251200788678;0;,0291232056857359;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;ASRREA0_;,0759251200788678;1;,0291232056857359;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;ASDAGE;1;-,214755392551012;0;,030426178458032;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;ASRREA0_;-,214755392551012;1;,030426178458032;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;ASDAGE;1;-,114582708904287;0;,0226504767579593;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;ASRREA0_;-,114582708904287;1;,0226504767579593;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;ASDAGE;1;,0138058388017502;0;,0210034685991579;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;ASRREA0_;,0138058388017502;1;,0210034685991579;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;ASDAGE;1;,0224698490133195;0;,0176260997792309;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;ASRREA0_;,0224698490133195;1;,0176260997792309;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;ASDAGE;1;,063881828463101;0;,0229290556310186;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;ASRREA0_;,063881828463101;1;,0229290556310186;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;ASDAGE;1;,104375636794373;0;,02752996966362;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;ASRREA0_;,104375636794373;1;,02752996966362;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;ASDAGE;1;,0597661134669178;0;,0232594763218401;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;ASRREA0_;,0597661134669178;1;,0232594763218401;0;ASDAGE ASRREA0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;16h26m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
