"";"IDCNTRY";"Variable";"TOTWGT";"mean";"stdev";"TOTWGT.se";"mean.se";"stdev.se";"NObs";"xvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina, Buenos Aires";"ASDAGE";40168,0212649998;9,96946588948121;0,447184827739172;837,922648826193;0,00727079936816299;0,0158130655118258;4358;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"2";"Argentina, Buenos Aires";"ASRREA0_";40168,0212649998;479,890649474342;82,7744223178758;837,922648826193;3,09172441077557;1,83836662273594;4358;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"3";"Australia";"ASDAGE";280089,078554003;10,0470093424084;0,414771494990704;5090,07490132689;0,00797199676700824;0,0129487233769505;6341;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"4";"Australia";"ASRREA0_";280089,078554003;544,360100753611;83,6008250905717;5090,07490132689;2,53288413965334;1,57755273716309;6341;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"5";"Austria";"ASDAGE";77838,9521600003;10,2916500308692;0,476886676042994;2071,55363694732;0,0124877717421935;0,0093316517909647;4360;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"6";"Austria";"ASRREA0_";77838,9521600003;540,796113351641;65,4348331710856;2071,55363694732;2,38050907346263;1,3524393773163;4360;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"7";"Azerbaijan, Republic of";"ASDAGE";128792,059027;10,1335242016201;0,490540284702922;2834,51045536934;0,0104856121974157;0,0173812282440411;5990;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"8";"Azerbaijan, Republic of";"ASRREA0_";128792,059027;472,268627072992;85,5231027516444;2834,51045536934;4,17736649581839;2,76931385196916;5990;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"9";"Bahrain";"ASDAGE";17095,7940540001;9,88367465942848;0,514646307761271;132,168984351939;0,010452301552019;0,0192691234037011;5480;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"10";"Bahrain";"ASRREA0_";17095,7940540001;445,99947221161;98,1243889482295;132,168984351939;2,3245233790857;1,46821589854113;5480;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"11";"Belgium (Flemish)";"ASDAGE";69733,862900999;10,0849922976177;0,612519981335733;1506,52330394901;0,0159165658884769;0,0159253080944132;5198;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"12";"Belgium (Flemish)";"ASRREA0_";69733,862900999;525,058916166357;60,5481095536876;1506,52330394901;1,93708130928126;0,941615610243021;5198;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"13";"Belgium (French)";"ASDAGE";53145,2021390002;9,96775352561743;0,511982333642105;1381,64587249702;0,0140110765069461;0,0161192243962194;4623;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"14";"Belgium (French)";"ASRREA0_";53145,2021390002;497,495455493801;68,5227313614102;1381,64587249702;2,57060384871554;1,34817010944504;4623;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"15";"Bulgaria";"ASDAGE";58538,5895520003;10,7683863677325;0,385712548917942;1050,12304559584;0,00921125547688973;0,0167467038785845;4281;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"16";"Bulgaria";"ASRREA0_";58538,5895520003;551,539117545154;85,2036247017278;1050,12304559584;4,243717733659;2,69927633009089;4281;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"17";"Canada";"ASDAGE";325997,995067995;9,87536977930178;0,350521575394736;4997,73167924303;0,00507321184227384;0,00487060290320125;18235;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"18";"Canada";"ASRREA0_";325997,995067995;543,127313399769;75,7194912426201;4997,73167924303;1,83053334189434;1,33527234113332;18235;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"19";"Canada (Ontario)";"ASDAGE";134075,215955999;9,79468245101972;0,283629544834322;3413,89263097986;0,00635893039536512;0,00308239633742212;4268;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
"20";"Canada (Ontario)";"ASRREA0_";134075,215955999;543,624707176429;76,8317620226287;3413,89263097986;3,21402673901047;1,5495507569621;4268;"ASDAGE ASRREA0_";"TOTWGT";"JRR";"FULL";"N";"LISTWISE";"03-MAR-26";"19h 3m";150;5;"NONE"
