IDCNTRY;Variable;ASDGHRL;ASDGSLR;ASDGHRL.se;ASDGSLR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina, Buenos Aires;ASDGHRL;1;-,0267233854749595;0;,0200609490175387;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASDGSLR;-,0267233854749595;1;,0200609490175387;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASDGHRL;1;,140111571802543;0;,0253539140976648;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASDGSLR;,140111571802543;1;,0253539140976648;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASDGHRL;1;,131028829639623;0;,0190777069723267;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASDGSLR;,131028829639623;1;,0190777069723267;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASDGHRL;1;,0390507209684895;0;,0183221592314475;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASDGSLR;,0390507209684895;1;,0183221592314475;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASDGHRL;1;,027171364772647;0;,0169467772882691;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASDGSLR;,027171364772647;1;,0169467772882691;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASDGHRL;1;,140032117009354;0;,0202309043481683;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASDGSLR;,140032117009354;1;,0202309043481683;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASDGHRL;1;,0465002078509569;0;,0209804094211;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASDGSLR;,0465002078509569;1;,0209804094211;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASDGHRL;1;,163735910393408;0;,0443087897408904;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASDGSLR;,163735910393408;1;,0443087897408904;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASDGHRL;1;,0868768789566844;0;,0142988672937267;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASDGSLR;,0868768789566844;1;,0142988672937267;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASDGHRL;1;,0791468727443376;0;,0238798448557531;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);ASDGSLR;,0791468727443376;1;,0238798448557531;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASDGHRL;1;,110569021363204;0;,0231432961376574;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);ASDGSLR;,110569021363204;1;,0231432961376574;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASDGHRL;1;,0532099238057925;0;,0226716143641018;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;ASDGSLR;,0532099238057925;1;,0226716143641018;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASDGHRL;1;,17811184759416;0;,0165907349061535;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;ASDGSLR;,17811184759416;1;,0165907349061535;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASDGHRL;1;,112123373064658;0;,0146106107483678;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;ASDGSLR;,112123373064658;1;,0146106107483678;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;ASDGHRL;1;,162138892071711;0;,0206502549383608;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;ASDGSLR;,162138892071711;1;,0206502549383608;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);ASDGHRL;1;,13891409189219;0;,0182953135967106;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);ASDGSLR;,13891409189219;1;,0182953135967106;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;ASDGHRL;1;,223278842762275;0;,0286930095151065;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;ASDGSLR;,223278842762275;1;,0286930095151065;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;ASDGHRL;1;,142325828635763;0;,0196739370638631;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;ASDGSLR;,142325828635763;1;,0196739370638631;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;ASDGHRL;1;,115319894025027;0;,0180029926954241;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;ASDGSLR;,115319894025027;1;,0180029926954241;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;ASDGHRL;1;-,00128005951198069;0;,0219763642641654;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;ASDGSLR;-,00128005951198069;1;,0219763642641654;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;ASDGHRL;1;,118031459478334;0;,0212597670031887;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;ASDGSLR;,118031459478334;1;,0212597670031887;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;ASDGHRL;1;,120188496711147;0;,0263360493896835;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;ASDGSLR;,120188496711147;1;,0263360493896835;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;ASDGHRL;1;,16101074907944;0;,0189408796141628;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;ASDGSLR;,16101074907944;1;,0189408796141628;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;ASDGHRL;1;,0610985577363147;0;,037959631334574;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;ASDGSLR;,0610985577363147;1;,037959631334574;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;ASDGHRL;1;,127300982013849;0;,0171361005582064;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;ASDGSLR;,127300982013849;1;,0171361005582064;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;ASDGHRL;1;,00176277698028806;0;,0217852351480085;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;ASDGSLR;,00176277698028806;1;,0217852351480085;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;ASDGHRL;1;,067387873415849;0;,0211252183838142;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;ASDGSLR;,067387873415849;1;,0211252183838142;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;ASDGHRL;1;,0402157499793617;0;,0180960443410146;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kazakhstan;ASDGSLR;,0402157499793617;1;,0180960443410146;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;ASDGHRL;1;,0421096043493085;0;,0248698110508167;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Kuwait;ASDGSLR;,0421096043493085;1;,0248698110508167;0;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Latvia;ASDGHRL;1;,108371811890043;0;,0158287451634195;ASDGHRL ASDGSLR;PEARSON;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h59m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
