IDCNTRY;StratVar;NVarStrat
Azerbaijan, Republic of;JKZONE;75
Australia;JKZONE;75
Austria;JKZONE;75
Bahrain;JKZONE;75
Bulgaria;JKZONE;75
Canada;JKZONE;75
Chile;JKZONE;75
Chinese Taipei;JKZONE;75
Czech Republic;JKZONE;75
Denmark;JKZONE;75
Finland;JKZONE;75
France;JKZONE;75
Georgia;JKZONE;75
Germany;JKZONE;75
Hong Kong, SAR;JKZONE;70
Hungary;JKZONE;75
Iran, Islamic Republic of;JKZONE;75
Ireland;JKZONE;75
Israel;JKZONE;75
Italy;JKZONE;75
Kazakhstan;JKZONE;75
Kuwait;JKZONE;75
Latvia;JKZONE;74
Lithuania;JKZONE;75
Macao SAR;JKZONE;75
Malta;JKZONE;75
Morocco;JKZONE;75
Oman;JKZONE;75
Netherlands;JKZONE;68
New Zealand;JKZONE;75
Norway;JKZONE;75
Poland;JKZONE;75
Portugal;JKZONE;75
Qatar;JKZONE;75
Russian Federation;JKZONE;75
Saudi Arabia;JKZONE;75
Singapore;JKZONE;75
Slovak Republic;JKZONE;75
Slovenia;JKZONE;75
South Africa;JKZONE;75
Spain;JKZONE;75
Sweden;JKZONE;75
Trinidad And Tobago;JKZONE;75
United Arab Emirates;JKZONE;75
Egypt;JKZONE;75
Northern Ireland;JKZONE;67
Belgium (Flemish);JKZONE;75
Belgium (French);JKZONE;75
Norway (4);JKZONE;75
South Africa (Eng/Afr);JKZONE;61
United Arab Emirates (Dubai);JKZONE;75
United Arab Emirates (Abu Dhabi);JKZONE;72
Canada (Ontario);JKZONE;75
Canada (Quebec);JKZONE;65
Argentina, Buenos Aires;JKZONE;75
Spain (Andalucia);JKZONE;75
Denmark (Grade 3);JKZONE;75
Russian Federation, Moscow;JKZONE;75
South Africa (Gauteng);JKZONE;4
Spain, Madrid, Bilingual;JKZONE;40
Spain, Madrid;JKZONE;75
