IDCNTRY;Variable;TOTWGT;mean;stdev;TOTWGT.se;mean.se;stdev.se;NObs;xvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina, Buenos Aires;ASRINF0_;40508,8870799998;475,330350379098;87,3135451519339;787,147657916586;3,27750142918417;1,81080608590474;4382; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASRIIE0_;40508,8870799998;472,816465511453;94,2981588136942;787,147657916586;3,68330259521003;2,28016923638535;4382; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRINF0_;280089,078554003;542,524130178951;88,8232447726655;5090,07490132689;2,61500359939684;1,53446854773384;6341; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRIIE0_;280089,078554003;549,232980487294;82,1373632278565;5090,07490132689;2,36695107098466;1,39922724638535;6341; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRINF0_;77838,9521600003;538,866791288219;66,9116591969824;2071,55363694732;2,39218464129133;1,4935068881333;4360; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRIIE0_;77838,9521600003;534,438611150837;65,7489451986765;2071,55363694732;2,53008583629165;1,50783960597413;4360; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRINF0_;128877,04731;477,355768271929;93,7056212984045;2834,29036641523;4,64189717371308;2,94529882312402;5994; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRIIE0_;128877,04731;464,715537977825;89,8236596286001;2834,29036641523;4,34697004057645;2,96649414730287;5994; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRINF0_;17095,7940540001;453,123675602967;97,1758439489831;132,168984351939;2,1468472410452;1,22498698843171;5480; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRIIE0_;17095,7940540001;445,50680200972;101,815070020852;132,168984351939;2,7053991957257;1,32811153353846;5480; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASRINF0_;69733,862900999;525,83119613425;61,655526360026;1506,52330394901;1,93067535437496;1,10931937247109;5198; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);ASRIIE0_;69733,862900999;524,358416454458;60,8124151459813;1506,52330394901;2,20964512511321;1,10507744465341;5198; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASRINF0_;53145,2021390002;490,108205183662;71,8920432597218;1381,64587249702;2,37037802093618;1,33472621753071;4623; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);ASRIIE0_;53145,2021390002;494,122778702129;70,2720075673454;1381,64587249702;2,41160469915298;1,40176262397658;4623; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRINF0_;58538,5895520003;553,850906520637;86,1839784487872;1050,12304559584;4,1789871740383;2,50225999002302;4281; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRIIE0_;58538,5895520003;552,315474598226;86,4084240336746;1050,12304559584;4,29897157178093;2,87672219141658;4281; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRINF0_;326178,916344995;540,079855950572;80,5219291292696;5003,7494389155;1,91857433154699;1,28655398312278;18245; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRIIE0_;326178,916344995;545,111465777842;75,9419620670272;5003,7494389155;1,83042968419348;1,26301973026735;18245; ASRINF0_ ASRIIE0_;TOTWGT;JRR;FULL;N;LISTWISE;25-FEB-26;17h23m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
