IDCNTRY;Variable;RASDGHRL;RASDGSLR;RASDGHRL.se;RASDGSLR.se;xvar;corrtype;weight;method;jk2type;missoptn;date;time;reps;infile;selcrit
Argentina, Buenos Aires;RASDGHRL;1;-,0301875760768226;0;,0198675568125963; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;RASDGSLR;-,0301875760768226;1;,0198675568125963;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;RASDGHRL;1;,144570249279901;0;,0257271865206138; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;RASDGSLR;,144570249279901;1;,0257271865206138;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;RASDGHRL;1;,1344871966317;0;,0189661636818608; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;RASDGSLR;,1344871966317;1;,0189661636818608;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;RASDGHRL;1;,0408065253158393;0;,0187010694489937; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;RASDGSLR;,0408065253158393;1;,0187010694489937;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;RASDGHRL;1;,0353591473202607;0;,0163905803689528; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;RASDGSLR;,0353591473202607;1;,0163905803689528;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);RASDGHRL;1;,142755824751526;0;,0204801432346497; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (Flemish);RASDGSLR;,142755824751526;1;,0204801432346497;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);RASDGHRL;1;,0500956812291552;0;,0214609466916674; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Belgium (French);RASDGSLR;,0500956812291552;1;,0214609466916674;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;RASDGHRL;1;,147075136622529;0;,0398667850710938; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;RASDGSLR;,147075136622529;1;,0398667850710938;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;RASDGHRL;1;,0864206963522621;0;,0140152760755058; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;RASDGSLR;,0864206963522621;1;,0140152760755058;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);RASDGHRL;1;,0791469378851012;0;,0240651776508832; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Ontario);RASDGSLR;,0791469378851012;1;,0240651776508832;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);RASDGHRL;1;,108659968521208;0;,0231096138013921; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada (Quebec);RASDGSLR;,108659968521208;1;,0231096138013921;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;RASDGHRL;1;,0541414151691753;0;,0219805016254544; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;RASDGSLR;,0541414151691753;1;,0219805016254544;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;RASDGHRL;1;,178945575443859;0;,0162542086756208; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;RASDGSLR;,178945575443859;1;,0162542086756208;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;RASDGHRL;1;,11107010668582;0;,0146642581496505; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;RASDGSLR;,11107010668582;1;,0146642581496505;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;RASDGHRL;1;,161998254091254;0;,0206638961719583; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;RASDGSLR;,161998254091254;1;,0206638961719583;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);RASDGHRL;1;,140110182712804;0;,0184080787690228; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark (Grade 3);RASDGSLR;,140110182712804;1;,0184080787690228;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;RASDGHRL;1;,221164704647646;0;,0279144450260414; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Egypt;RASDGSLR;,221164704647646;1;,0279144450260414;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;RASDGHRL;1;,142633788662734;0;,019670674856872; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;RASDGSLR;,142633788662734;1;,019670674856872;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;RASDGHRL;1;,113250030368116;0;,0187878769214312; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;RASDGSLR;,113250030368116;1;,0187878769214312;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;RASDGHRL;1;-,0060132961517138;0;,021676973056863; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;RASDGSLR;-,0060132961517138;1;,021676973056863;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;RASDGHRL;1;,118307235770613;0;,0214555873392952; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;RASDGSLR;,118307235770613;1;,0214555873392952;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;RASDGHRL;1;,122164005546348;0;,0266307648835934; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;RASDGSLR;,122164005546348;1;,0266307648835934;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;RASDGHRL;1;,160509794673799;0;,0181665601798396; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;RASDGSLR;,160509794673799;1;,0181665601798396;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;RASDGHRL;1;,0588244107218347;0;,0391261253355452; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;RASDGSLR;,0588244107218347;1;,0391261253355452;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;RASDGHRL;1;,117279107214099;0;,0172234029475778; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;RASDGSLR;,117279107214099;1;,0172234029475778;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;RASDGHRL;1;,00296640635979309;0;,0221241733465998; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;RASDGSLR;,00296640635979309;1;,0221241733465998;0; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Italy;RASDGHRL;1;,071406647589154;0;,020702289026803; RASDGHRL RASDGSLR;SPEARMAN;TOTWGT;JRR;FULL;LISTWISE;25-FEB-26;17h40m;150;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
