"";"IDCNTRY";"Variable";"Mean";"stdev";"TOTWGT";"NObs";"TOTWGT.se";"mean.se";"stdev.se";"xvar";"weight";"method";"jk2type";"missoptn";"date";"time";"reps";"selcrit"
"1";"Argentina, Buenos Aires";"RASDGHRL";1375,89935714209;561,902329766226;24658,8301610002;2751;856,658943120794;19,4469900124734;15,4026776100031;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"2";"Argentina, Buenos Aires";"RASDGSLR";1362,6866768942;737,736111362286;24658,8301610002;2751;856,658943120794;25,9756163063008;7,06279317729224;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"3";"Australia";"RASDGHRL";1418,42304918693;692,040270740345;126385,017438999;2769;4084,3661365583;21,4465076267432;2,5101521180713;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"4";"Australia";"RASDGSLR";1389,62666533477;737,514478481171;126385,017438999;2769;4084,3661365583;22,1915368235603;5,27743943590094;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"5";"Austria";"RASDGHRL";2046,13335722703;857,757133377401;72906,4198700005;4053;2086,42227835706;25,3841407663139;15,1709942834918;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"6";"Austria";"RASDGSLR";2027,59093468;1075,31374330507;72906,4198700005;4053;2086,42227835706;27,521618142184;7,90311157388272;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"7";"Azerbaijan, Republic of";"RASDGHRL";2798,40381859132;1149,29128258628;113035,532252001;5305;2689,83980918269;29,9788618027055;16,5419068803239;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"8";"Azerbaijan, Republic of";"RASDGSLR";2628,9795222913;1275,23602819217;113035,532252001;5305;2689,83980918269;33,2784727948553;11,6803677629207;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"9";"Bahrain";"RASDGHRL";2383,09361009234;789,998958874439;15019,5207110001;4775;149,780461902265;18,0321410803774;18,6644910611669;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"10";"Bahrain";"RASDGSLR";2371,85093292037;1225,30509498536;15019,5207110001;4775;149,780461902265;29,7229966777471;8,74333929961399;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"11";"Belgium (Flemish)";"RASDGHRL";2289,04114765967;1029,64823669877;60835,2918469992;4542;1459,58809663189;27,6040103511405;13,3894962238019;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"12";"Belgium (Flemish)";"RASDGSLR";2292,84593690361;1226,68483189113;60835,2918469992;4542;1459,58809663189;32,0488542120166;10,512094427752;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"13";"Belgium (French)";"RASDGHRL";1973,10031688755;930,166698179047;45107,0322510002;3919;1500,62512444572;25,5004404915775;11,8433319408794;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"14";"Belgium (French)";"RASDGSLR";1976,75753930706;1055,67581516234;45107,0322510002;3919;1500,62512444572;29,3834004436729;10,0515521681089;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"15";"Bulgaria";"RASDGHRL";2227,91707494496;975,776669627756;57044,6295929998;4186;1047,51094298853;40,4797173897504;29,2959706008992;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"16";"Bulgaria";"RASDGSLR";2089,05432937691;1082,18676477613;57044,6295929998;4186;1047,51094298853;45,5697959654436;14,6831348935038;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"17";"Canada";"RASDGHRL";7318,25385997931;3054,33143121782;259274,471521002;14561;4940,9729929408;56,6628399866019;37,2488078525145;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"18";"Canada";"RASDGSLR";7185,21640391293;3865,59538493004;259274,471521002;14561;4940,9729929408;60,4242115834535;20,8901559094049;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"19";"Canada (Ontario)";"RASDGHRL";1647,40913636616;698,744188551299;101668,22568;3285;3353,1358385532;24,8493187502961;15,1679672027244;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"20";"Canada (Ontario)";"RASDGSLR";1612,56208288667;886,617494587312;101668,22568;3285;3353,1358385532;22,522788410832;8,33870227619616;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"21";"Canada (Quebec)";"RASDGHRL";1385,07934260858;537,321196631138;64138,748027;2703;1583,99296820263;17,9257697054346;13,870876866406;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"22";"Canada (Quebec)";"RASDGSLR";1350,81955976752;708,89962265605;64138,748027;2703;1583,99296820263;20,3781276211287;7,56215539777039;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"23";"Chile";"RASDGHRL";1976,26337137339;653,48127133808;193392,310514;3689;4580,74287883752;14,6224409883949;16,647288614417;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"24";"Chile";"RASDGSLR";1833,75022940761;999,549503066266;193392,310514;3689;4580,74287883752;26,3930126072303;6,8741772884063;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"25";"Chinese Taipei";"RASDGHRL";2195,98084434105;941,304723267316;193865,378856997;4248;1585,04817093588;28,67003909681;17,1881257553543;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"26";"Chinese Taipei";"RASDGSLR";2145,07900229348;1135,52424915397;193865,378856997;4248;1585,04817093588;24,5594538881135;7,66215458642647;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"27";"Czech Republic";"RASDGHRL";2629,10344025783;1094,25180812237;93511,5395160004;5194;1583,87548194125;33,1038090257378;21,1812402257549;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"28";"Czech Republic";"RASDGSLR";2578,31187133135;1379,85929364405;93511,5395160004;5194;1583,87548194125;29,4002354622388;11,7061359493241;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"29";"Denmark";"RASDGHRL";1591,72413154551;789,428934033536;50608,76209;3194;1238,28073522554;22,3666127404927;4,1878828024086;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"30";"Denmark";"RASDGSLR";1595,4035313169;836,861999741473;50608,76209;3194;1238,28073522554;22,8861952560888;8,41327437147231;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"31";"Denmark (Grade 3)";"RASDGHRL";1634,29203785926;808,5496356086;52627,275068999;3269;1434,00160926715;24,0350960977253;4,30769687968886;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"32";"Denmark (Grade 3)";"RASDGSLR";1625,6316133526;861,718953856669;52627,275068999;3269;1434,00160926715;22,164245069892;9,26921394829258;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"33";"Egypt";"RASDGHRL";3290,51014745829;1584,17441181742;1448595,665539;6494;37064,9829449826;59,5352003960909;13,8475663729875;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"34";"Egypt";"RASDGSLR";3257,12108278699;1665,86274317071;1448595,665539;6494;37064,9829449826;71,8465302130486;23,8604072370594;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"35";"Finland";"RASDGHRL";2267,68738242983;1093,19882006908;51075,5460659995;4524;1419,99692937602;26,749784552981;6,82168590004203;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"36";"Finland";"RASDGSLR";2286,26737145937;1206,17230947466;51075,5460659995;4524;1419,99692937602;25,049298680093;9,52899339548985;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"37";"France";"RASDGHRL";2036,75116526092;919,141732957719;696446,448219015;4181;20722,1712614691;27,0846060371822;15,7057341476505;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"38";"France";"RASDGSLR";2095,01764071469;1104,01285414744;696446,448219015;4181;20722,1712614691;27,0970934711212;10,1880838931813;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"39";"Georgia";"RASDGHRL";2720,19641222876;1033,66118365402;39176,2201630002;5352;706,133072683338;31,6043147035139;34,7792677284094;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"40";"Georgia";"RASDGSLR";2659,23557794776;1305,29722631157;39176,2201630002;5352;706,133072683338;37,4039883816552;15,1720274907966;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"41";"Germany";"RASDGHRL";1340,50038188789;586,001658582224;442199,251993002;2662;13163,5508345324;19,8729357449264;11,3045819537448;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"42";"Germany";"RASDGSLR";1330,67656159675;716,432098062781;442199,251993002;2662;13163,5508345324;22,8948577710662;6,50061390644798;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"43";"Hong Kong, SAR";"RASDGHRL";1602,56524025596;713,979032306478;47459,781906;3219;1069,16129879692;30,0097577525319;19,9807697071593;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"44";"Hong Kong, SAR";"RASDGSLR";1622,89901353211;864,616712380439;47459,781906;3219;1069,16129879692;22,6175961365647;7,72745135277555;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
"45";"Hungary";"RASDGHRL";2325,25867412217;1063,41286068491;83786,6801900009;4368;1859,04533495873;41,5652162293344;19,519941544492;" RASDGHRL RASDGSLR";"TOTWGT";"JRR";"FULL";"LISTWISE";"04-MAR-26";"10h22m";150;"NONE"
