IDCNTRY;ASBG01;xvar;n;TOTWGT;sumw_se;tsumw;tsumw_se;pct;pct_se;tpct;tpct_se;mnx;mnx_se;sdx;sdx_se;vrx;vrx_se;DEff;pctmiss;nvarstrat;weight;reps;method;jk2type;date;time;infile;selcrit
Azerbaijan, Republic of;Girl;ASDGSLR;2775;59125,3782649996;1584,85607613257;60482,4523569996;1649,33422670255;47,1612013545136;,786131244129142;47,0203445808809;,772503629710174;1,33606239437393;,0171340204012751;,530723768781167;,0107037113511427;,281667718749286;,0113609593242693;2,89230754433393;2,24374845780033;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;Boy;ASDGSLR;3069;66243,3073639999;1612,69398403588;68147,9370969999;1761,38500762065;52,8387986454864;,786131244129141;52,9796554191191;,772503629710169;1,46091511394845;,019010859914782;,594216478629822;,0115271030791492;,353093223475225;,0136978610749608;3,14131167971986;2,79484576369348;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;Girl;ASDGSLR;3128;139703,771078;3464,92629395324;140067,998123;3458,48204532329;50,3955546173991;,789005986967884;50,2883012536127;,782646269356475;1,61046191574445;,0206896483431529;,687650273511242;,011041448866833;,472862898660086;,0151848323297391;2,83163793924254;,260035875346884;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;Boy;ASDGSLR;3134;137510,701782999;3333,97791553512;138461,987243999;3302,54112047528;49,6044453826009;,789005986967878;49,7116987463873;,782646269356485;1,86584839783517;,0212967294113905;,733627472470454;,00769282021877841;,538209268363387;,0112871511121198;2,64103189228542;,687037272781326;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;Girl;ASDGSLR;2100;37517,9788980001;1282,5440084897;37705,3629020001;1302,44631951192;48,4925874245396;,872820057090675;48,4720300943647;,87724985097547;1,67074503150653;,0195938406341926;,678569437470725;,0099543996347709;,460456481469336;,0135091620846321;1,7509342861314;,496969103538479;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;Boy;ASDGSLR;2233;39850,50336;1172,55543288492;40082,513588;1171,08610256423;51,5074125754604;,872820057090673;51,5279699056353;,877249850975453;1,93430204937818;,0214727613177524;,720771007213877;,00837989267198147;,519510844840107;,0120798474804525;1,98184597291928;,578831533333428;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;Girl;ASDGSLR;2677;8457,617801;261,342409536491;8520,332229;266,709173591334;50,0550884455761;1,52687848270312;49,8630569018941;1,52499951969751;1,44029810173731;,022288731081852;,617017533568935;,0133054437732189;,380710636731491;,0164180282581574;3,49320480745872;,736056133897499;60;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;Boy;ASDGSLR;2731;8439,001631;269,850564718489;8567,132436;270,900702022756;49,9449115544239;1,52687848270313;50,1369430981059;1,52499951969751;1,67786359597161;,0210963773429294;,69305082868472;,01014218069611;,480319451140578;,0140573467476534;2,53050555884804;1,49560901453537;64;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;Girl;ASDGSLR;2114;28891,5075709999;694,020551006807;28967,2096149999;699,271560667258;49,5731553202276;,741264818087182;49,4972306335992;,736769648487248;1,46434116028843;,0330637740954026;,645658329749114;,022052771077094;,416874678774416;,0284712504035161;5,54375867012407;,261337025575289;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;Boy;ASDGSLR;2146;29389,042425;661,410202245217;29555,679937;658,776034322339;50,4268446797724;,741264818087188;50,5027693664008;,736769648487247;1,68937582045087;,0324474069870553;,732692400725646;,0134355678765877;,53683815408111;,0196864697624422;4,20868416176815;,563808758097258;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;Girl;ASDGSLR;8914;157258,519058001;3017,04966275709;159533,882325002;3031,17420640637;49,3120220672153;,60855017887585;49,3373996105353;,617638261093045;1,71927380359776;,0144456971738564;,695013865383122;,00666976566404975;,483044273074789;,00927107314408388;3,85090411560005;1,42625706454297;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;Boy;ASDGSLR;8935;161646,511532001;3349,69950313372;163818,956666001;3355,40786726668;50,6879779327847;,608550178875861;50,6626003894648;,617638261093056;1,91015414653643;,0148438032718394;,731185091500772;,00602268752717428;,534631638032993;,00880718179354446;3,68239422789995;1,3261256073247;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;Girl;ASDGSLR;1993;103863,046595;3685,67467776439;106830,79416;3695,93330582556;47,4767866417161;1,43635524733635;47,6263223824848;1,41336818971087;1,78143868991714;,027302436045552;,770510040443707;,00876589941010914;,593685722424562;,0135079154643805;2,50238132875687;2,77798886391804;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;Boy;ASDGSLR;2183;114902,91029;4017,56666773626;117479,605669;4103,39444700277;52,5232133582839;1,43635524733634;52,3736776175152;1,41336818971086;1,95131455802224;,0212777617521096;,766770419469172;,00687762278002346;,58793687617293;,0105469157036337;1,68102788918488;2,19331292808377;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;Girl;ASDGSLR;2059;95041,7471890007;1380,62936020958;95091,2520590007;1378,4783672342;48,1173593181529;,643384506056335;48,1092212095421;,641500318062125;1,70880962032436;,0186486129900653;,692494284830725;,00892524089259559;,479548334523217;,0123611516946758;1,49319673654822;,0520603829774835;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;Boy;ASDGSLR;2262;102478,957471001;1544,65225842328;102565,766010001;1542,07845561416;51,8826406818471;,643384506056333;51,8907787904579;,641500318062115;1,91304043781355;,0186072210139445;,744448689639058;,00731631424289573;,55420385150531;,0108931581433461;1,41314294036053;,0846369528323274;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;Girl;ASDGSLR;2670;48639,0999880001;1344,06197217063;48701,2731730001;1342,09613446078;49,2053296009695;,936339999836698;49,1285414013934;,942399720401237;1,76269134032398;,017157779300965;,66313136484959;,00818918288374036;,43974320704728;,0108608756446212;1,78745154023256;,127662340118181;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;Boy;ASDGSLR;2848;50210,15147;1013,94085870343;50429,0323150004;1009,59831343278;50,7946703990305;,936339999836703;50,8714585986066;,942399720401242;2,02529807207929;,0177290353720457;,713102212444132;,00850672686129882;,508514765392715;,0121322277373694;1,76038082847895;,434037368856853;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;Girl;ASDGSLR;1755;27970,4341520001;787,844397069651;28143,8969510001;776,226457696385;51,0541654212855;,907983412681561;51,0583491231379;,895124735859703;1,95792100645975;,0223143444789442;,682312928393882;,0122122322603707;,465550932253435;,0166647638429816;1,87706013665684;,616342503321438;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;Boy;ASDGSLR;1678;26815,3681840002;734,766720526941;26977,1507020002;738,897622603717;48,9458345787145;,907983412681558;48,9416508768621;,895124735859706;2,17585703719009;,0216967501929986;,671072274762484;,00938370150862884;,450337997954895;,0125940560958048;1,75405311891102;,599702021118209;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;Girl;ASDGSLR;2410;27341,3970509999;866,419650583231;27376,6832549999;863,352427890334;49,9890003901998;,893691123003317;49,8994951579846;,884836972070223;1,79630149934872;,0185546875872344;,693935786001771;,00905602351698834;,481546875093895;,0125683153458318;1,72300193964816;,128891449966115;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;Boy;ASDGSLR;2462;27353,4294859998;844,332894211028;27486,9645;842,236907603863;50,0109996098002;,893691123003312;50,1005048420154;,884836972070224;2,09312597458041;,0184385871937162;,702240598689383;,00829236631299947;,493141858447624;,0116462887968044;1,69735023097208;,485812152884325;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;Girl;ASDGSLR;2346;386420,555174;13256,1962639716;389878,983964;13052,7981974279;50,4699081663699;,958779345433865;50,4967659426377;,945644983287221;1,61225849635889;,0188768490378976;,645188358152842;,00937131026515;,41626801749596;,0120923367753269;2,00823239524694;,887051862820937;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
France;Boy;ASDGSLR;2301;379224,894189999;11128,4207923478;382208,053068999;11086,2143569366;49,5300918336302;,958779345433862;49,5032340573623;,945644983287218;1,87764151028084;,0270234613185244;,709778417834788;,0103365598286701;,503785402424056;,0146728061571697;3,33543890143312;,780506547427837;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;Girl;ASDGSLR;2768;20303,7801720002;457,297234529045;20682,1508170002;464,029994878395;49,5155646459798;,729810537360259;49,375969161132;,719590817709061;1,32880973599224;,0165034060739181;,529879415221882;,0123176652430048;,280772194675884;,0130531211702072;2,68509193867563;1,8294550133973;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Georgia;Boy;ASDGSLR;2866;20701,0640970001;424,69112857946;21204,9273880001;426,366794908366;50,4844353540202;,729810537360257;50,624030838868;,719590817709055;1,49949434732191;,0267124531024715;,637313330777927;,01441660897741;,406168281587255;,0183734289227944;5,03497972333707;2,37616135995418;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;Girl;ASDGSLR;1740;289573,032906999;7707,34615338427;292082,694658999;7837,34445865463;49,8543452164286;,719998776041358;49,8231370413357;,69431100552271;1,8014403320959;,0275979687669977;,731390752700474;,010403231127812;,534932433135766;,0152166266793668;2,47744804618217;,859229868078964;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Germany;Boy;ASDGSLR;1743;291265,069869999;8958,550353807;294156,374182999;8799,87547598871;50,1456547835714;,719998776041359;50,1768629586643;,694311005522719;2,05252178525846;,0281363568990578;,748167777111269;,00946239730463063;,559755022707618;,0141579435763104;2,46510326157167;,982914043943605;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;Girl;ASDGSLR;1622;23723,35481;825,243508878737;23773,4815059998;824,303400035634;48,8213588244815;1,55414362416482;48,8140921097146;1,55238286576557;1,75047440627981;,0201164706987698;,713159729883951;,0124295546084466;,508596800328149;,0177239153756364;1,29056773780307;,2108513050028;69;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hong Kong, SAR;Boy;ASDGSLR;1676;24868,8093189998;997,990948163757;24928,6052859998;998,431499576562;51,1786411755185;1,55414362416482;51,1859078902854;1,55238286576556;1,94517585649113;,0290142661892273;,743658698363557;,00735185497243535;,55302825965178;,0109341831775182;2,55123152244928;,239868882811435;68;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;Girl;ASDGSLR;2286;43868,5203350001;1182,41606774276;43876,4734210001;1181,35987921415;49,4637644386078;,82388548746668;49,4175409209113;,829986743613051;1,70017439365271;,0261237914655265;,680402138498989;,0101061425692653;,462947070073997;,0137520013812933;3,36990224444466;,0181260830233305;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Hungary;Boy;ASDGSLR;2326;44819,6756260002;1218,04027278438;44910,7721670002;1229,73909610933;50,5362355613922;,823885487466686;50,5824590790887;,829986743613049;1,98845060121989;,0287739700936739;,722748684945876;,00992391777309022;,522365661590994;,0143442342373765;3,68667340374564;,202838955120296;75;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;Girl;ASDGSLR;2134;551427,638535004;20216,7275177781;553744,241029004;20274,7446467412;46,1358425624908;1,12830252118989;46,1844335673345;1,12494705593247;1,26605720860995;,0253806893063253;,492972636028791;,021471445329408;,243022019873175;,0211574243813901;5,65660189253977;,418352431023957;52;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Iran, Islamic Republic of;Boy;ASDGSLR;2230;643798,476146001;25512,0305248218;645240,348057001;25406,5888394747;53,8641574375092;1,12830252118989;53,8155664326655;1,12494705593247;1,36772735903977;,0324014973918422;,554213927239402;,0224178978821101;,307153077146122;,0248357127414137;7,62219674262638;,223462763192333;54;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;Girl;ASDGSLR;2223;30473,9838880001;1297,69726137526;30687,33222;1317,08270315334;50,1288760087363;1,57433613255959;49,9933180850548;1,57290588625029;1,54817656291332;,0207043347527098;,660103329144301;,00975291360990441;,435736405147389;,0128751831654629;2,18694659739609;,695232581543708;68;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Ireland;Boy;ASDGSLR;2320;30317,2931450002;1258,90609973981;30695,5353220002;1275,62882353489;49,8711239912637;1,57433613255959;50,0066819149452;1,57290588625029;1,83037609035857;,022461849468846;,733231947760767;,0112298943328286;,537629089217048;,0164683912448328;2,1771895991089;1,23223841197813;70;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Israel;Girl;ASDGSLR;2034;52083,1654919999;1785,93775014793;52164,61213;1798,69834865861;50,7547897323382;1,47118305452241;50,6827556324552;1,46926464934601;1,66612361319185;,0275932549851919;,736107759492775;,0135389396348837;,541854633585473;,0199295187749094;2,85807766118215;,156133889766162;74;TOTWGT;150;JRR;FULL;25-FEB-26;21h11m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
