"";"IDCNTRY";"ASBG01";"dvar";"n";"TOTWGT";"sumw_se";"pct";"pct_se";"mnpv";"mnpv_se";"mnpv_ci";"mnx_svr";"mnx_ivr";"sdpv";"sdpv_se";"vrpv";"vrpv_se";"DEff1";"DEff2";"DEff3";"DEff4";"DEff5";"pctmiss";"nvarstrat";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"1";"Azerbaijan, Republic of";"Girl";"ASRREA0";2833;60482,4523569998;1649,3342267025;47,0203445808808;0,772503629710144;479,2706453246;4,34516716506875;"471 to 488";17,7581151434274;1,12236254896427;84,3820233614144;3,19944030644032;7121,22331423294;539,87199282895;1,44650377623473;5,19260606042476;7,06462049866901;1,06320279713806;7,51112427490374;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"2";"Azerbaijan, Republic of";"Boy";"ASRREA0";3155;68147,9370970002;1761,38500762053;52,9796554191192;0,77250362971015;466,494710080559;4,26695098943175;"458 to 475";17,8119295770005;0,394941169212105;85,6387092171201;2,65152669893709;7334,10353424718;454,0361502989;1,1698966183182;6,69483920245358;7,66237312481639;1,02217284587303;7,83226974313459;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"3";"Australia";"Girl";"ASRREA0";3140;140067,998123;3458,48204532362;50,2883012536127;0,782646269356414;555,143842800157;2,61692670294034;"550 to 560";6,33123041420586;0,517074954356313;79,5098987057448;1,78759164466191;6322,50438161985;284,22543941109;1,2567994039512;2,70618610913222;3,14433368498719;1,08167053171783;3,40113308893839;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"4";"Australia";"Boy";"ASRREA0";3160;138461,987243999;3302,54112047445;49,7116987463873;0,782646269356416;534,099591524565;2,96292627211381;"528 to 540";7,41209040382082;1,36684169016142;85,7030338535001;1,90060814757142;7345,3769471353;326,048203712484;1,58801880039589;2,37825843095073;3,18870030015389;1,18440704520507;3,77671910054977;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"5";"Austria";"Girl";"ASRREA0";2109;37705,3629020002;1302,44631951203;48,4720300943647;0,87724985097556;543,828172569463;2,64667963694162;"539 to 549";6,46834084009687;0,536572260504547;63,5763624419426;1,42886017314297;4042,05751816806;181,658850100026;1,27996407579993;2,85547960033743;3,37494723181153;1,08295361573688;3,65491130761147;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"6";"Austria";"Boy";"ASRREA0";2248;40082,5135880001;1171,08610256432;51,5279699056353;0,877249850975558;537,908153162658;2,68260207984;"533 to 543";6,64117008332817;0,555183835433698;67,0273592899694;1,78329698061036;4493,10067738963;239,157434285375;1,27777104313185;2,81779652313969;3,32272775957366;1,08359729211384;3,60049880270551;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"7";"Bahrain";"Girl";"ASRREA0";2700;8520,332229;266,709173591334;49,8630569018941;1,52499951969751;467,771640750784;2,84277655538159;"462 to 473";7,3768899249043;0,704488618922908;85,5618796342873;1,5260183046724;7321,11380544753;261,14155909113;1,25981282652327;2,36573464936445;2,72057002889659;1,09549940775781;2,98038285541986;0;60;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"8";"Bahrain";"Boy";"ASRREA0";2777;8567,132436;270,900702022756;50,1369430981059;1,52499951969751;424,475496193655;3,4992280678861;"418 to 431";10,9583744164285;1,2862226546534;104,688136090456;2,23149053610357;10961,072431201;466,463348331469;1,32586595284282;2,33974060584425;2,77631645492991;1,1173734904262;3,10218240777273;0;64;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"9";"Bulgaria";"Girl";"ASRREA0";2119;28967,209615;699,271560667248;49,4972306335992;0,736769648487239;559,41831224474;4,88965395340234;"550 to 569";21,8293121347441;2,07940364927907;84,304395206542;3,20636199306617;7107,69200904948;540,524277662312;1,61992786508086;4,40010387766851;6,5079230156047;1,09525740602561;7,12785088068556;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
"10";"Bulgaria";"Boy";"ASRREA0";2161;29555,679937;658,776034322309;50,5027693664008;0,736769648487245;543,778601579039;4,27819143047182;"535 to 552";17,4898503623052;0,813071553457328;85,3671662376669;2,86373824787246;7288,0352816777;488,907231224412;1,24108659729441;4,37283048250709;5,18597470678559;1,04648819381609;5,42706130408;0;75;"TOTWGT";150;"JRR";"FULL";5;"N";"04-MAR-26";"13h 2m";"NONE"
