IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnpv;mnpv_se;cmnpv;cmnpv_se;mnpvdiff;mnpvdiff_se;mnpvdiff_t;mnpvdiff_ci;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Azerbaijan, Republic of;ASRREA0;ASBG01;Girl;Girl;47,0203445808808;,772503629710144;47,0203445808808;,772503629710144;0; ; ;479,2706453246;4,34516716506875;479,2706453246;4,34516716506875;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRREA0;ASBG01;Girl;Boy;47,0203445808808;,772503629710144;52,9796554191192;,77250362971015;5,95931083823836;1,54500725942029;3,85714099523026;479,2706453246;4,34516716506875;466,494710080559;4,26695098943175;-12,7759352440405;2,95502016855407;-4,32346803585165;-19 to -7;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRREA0;ASBG01;Boy;Girl;52,9796554191192;,77250362971015;47,0203445808808;,772503629710144;-5,95931083823836;1,54500725942029;-3,85714099523026;466,494710080559;4,26695098943175;479,2706453246;4,34516716506875;12,7759352440405;2,95502016855407;4,32346803585165;7 to 19;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;ASRREA0;ASBG01;Boy;Boy;52,9796554191192;,77250362971015;52,9796554191192;,77250362971015;0; ; ;466,494710080559;4,26695098943175;466,494710080559;4,26695098943175;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRREA0;ASBG01;Girl;Girl;50,2883012536127;,782646269356414;50,2883012536127;,782646269356414;0; ; ;555,143842800157;2,61692670294034;555,143842800157;2,61692670294034;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRREA0;ASBG01;Girl;Boy;50,2883012536127;,782646269356414;49,7116987463873;,782646269356416;-,576602507225394;1,56529253871283;-,368367249549113;555,143842800157;2,61692670294034;534,099591524565;2,96292627211381;-21,0442512755928;2,43129949798999;-8,65555695338668;-26 to -16;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRREA0;ASBG01;Boy;Girl;49,7116987463873;,782646269356416;50,2883012536127;,782646269356414;,576602507225394;1,56529253871283;,368367249549113;534,099591524565;2,96292627211381;555,143842800157;2,61692670294034;21,0442512755928;2,43129949798999;8,65555695338668;16 to 26;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRREA0;ASBG01;Boy;Boy;49,7116987463873;,782646269356416;49,7116987463873;,782646269356416;0; ; ;534,099591524565;2,96292627211381;534,099591524565;2,96292627211381;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRREA0;ASBG01;Girl;Girl;48,4720300943647;,87724985097556;48,4720300943647;,87724985097556;0; ; ;543,828172569463;2,64667963694162;543,828172569463;2,64667963694162;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRREA0;ASBG01;Girl;Boy;48,4720300943647;,87724985097556;51,5279699056353;,877249850975558;3,0559398112706;1,75449970195112;1,74177277310004;543,828172569463;2,64667963694162;537,908153162658;2,68260207984;-5,92001940680489;2,44067285529179;-2,42556858612545;-11 to -1;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRREA0;ASBG01;Boy;Girl;51,5279699056353;,877249850975558;48,4720300943647;,87724985097556;-3,0559398112706;1,75449970195112;-1,74177277310004;537,908153162658;2,68260207984;543,828172569463;2,64667963694162;5,92001940680489;2,44067285529179;2,42556858612545;1 to 11;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;ASRREA0;ASBG01;Boy;Boy;51,5279699056353;,877249850975558;51,5279699056353;,877249850975558;0; ; ;537,908153162658;2,68260207984;537,908153162658;2,68260207984;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRREA0;ASBG01;Girl;Girl;49,8630569018941;1,52499951969751;49,8630569018941;1,52499951969751;0; ; ;467,771640750784;2,84277655538159;467,771640750784;2,84277655538159;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRREA0;ASBG01;Girl;Boy;49,8630569018941;1,52499951969751;50,1369430981059;1,52499951969751;,27388619621177;3,04999903939503;,0897987811386641;467,771640750784;2,84277655538159;424,475496193655;3,4992280678861;-43,2961445571293;3,76550115933598;-11,4981094746932;-51 to -36;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRREA0;ASBG01;Boy;Girl;50,1369430981059;1,52499951969751;49,8630569018941;1,52499951969751;-,27388619621177;3,04999903939503;-,0897987811386641;424,475496193655;3,4992280678861;467,771640750784;2,84277655538159;43,2961445571293;3,76550115933598;11,4981094746932;36 to 51;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;ASRREA0;ASBG01;Boy;Boy;50,1369430981059;1,52499951969751;50,1369430981059;1,52499951969751;0; ; ;424,475496193655;3,4992280678861;424,475496193655;3,4992280678861;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRREA0;ASBG01;Girl;Girl;49,4972306335992;,736769648487239;49,4972306335992;,736769648487239;0; ; ;559,41831224474;4,88965395340234;559,41831224474;4,88965395340234;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRREA0;ASBG01;Girl;Boy;49,4972306335992;,736769648487239;50,5027693664008;,736769648487245;1,00553873280151;1,47353929697448;,682396957357101;559,41831224474;4,88965395340234;543,778601579039;4,27819143047182;-15,6397106657012;3,44360906140602;-4,54166265299451;-22 to -9;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRREA0;ASBG01;Boy;Girl;50,5027693664008;,736769648487245;49,4972306335992;,736769648487239;-1,00553873280151;1,47353929697448;-,682396957357101;543,778601579039;4,27819143047182;559,41831224474;4,88965395340234;15,6397106657012;3,44360906140602;4,54166265299451;9 to 22;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;ASRREA0;ASBG01;Boy;Boy;50,5027693664008;,736769648487245;50,5027693664008;,736769648487245;0; ; ;543,778601579039;4,27819143047182;543,778601579039;4,27819143047182;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRREA0;ASBG01;Girl;Girl;49,3373996105353;,617638261093059;49,3373996105353;,617638261093059;0; ; ;549,341846058057;2,13272749880677;549,341846058057;2,13272749880677;0; ; ; ;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRREA0;ASBG01;Girl;Boy;49,3373996105353;,617638261093059;50,6626003894647;,617638261093055;1,32520077892941;1,23527652218612;1,07279686380192;549,341846058057;2,13272749880677;537,382217511789;2,07436824150064;-11,9596285462681;2,13966257117931;-5,58949280478198;-16 to -8;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;ASRREA0;ASBG01;Boy;Girl;50,6626003894647;,617638261093055;49,3373996105353;,617638261093059;-1,32520077892941;1,23527652218612;-1,07279686380192;537,382217511789;2,07436824150064;549,341846058057;2,13272749880677;11,9596285462681;2,13966257117931;5,58949280478198;8 to 16;TOTWGT;JRR;FULL;N;25-FEB-26;21h 8m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
