"";"ASBG01";"dvar";"groupvar";"refgroup";"compgroup";"pct";"pct_se";"cpct";"cpct_se";"pctdiff";"pctdiff_se";"pctdiff_t";"mnpv";"mnpv_se";"cmnpv";"cmnpv_se";"mnpvdiff";"mnpvdiff_se";"mnpvdiff_t";"mnpvdiff_ci";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Azerbaijan, Republic of";47,0203445808808;0,772503629710144;47,0203445808808;0,772503629710144;0;NA;NA;479,2706453246;4,34516716506875;479,2706453246;4,34516716506875;0;NA;NA;" ";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"2";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Australia";47,0203445808808;0,772503629710144;50,2883012536127;0,782646269356414;3,26795667273189;1,09968042669353;2,97173305389988;479,2706453246;4,34516716506875;555,143842800157;2,61692670294034;75,8731974755575;5,07235478460979;14,958180312183;"66 to 86";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"3";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Austria";47,0203445808808;0,772503629710144;48,4720300943647;0,87724985097556;1,45168551348389;1,16890083366896;1,24192358467854;479,2706453246;4,34516716506875;543,828172569463;2,64667963694162;64,5575272448629;5,08776874405599;12,6887699682273;"55 to 75";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"4";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Bahrain";47,0203445808808;0,772503629710144;49,8630569018941;1,52499951969751;2,8427123210133;1,70949857940654;1,66289247341765;479,2706453246;4,34516716506875;467,771640750784;2,84277655538159;-11,4990045738158;5,19248074009128;-2,21454929722351;"-22 to -1";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"5";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Bulgaria";47,0203445808808;0,772503629710144;49,4972306335992;0,736769648487239;2,47688605271843;1,06751645085561;2,32023220881816;479,2706453246;4,34516716506875;559,41831224474;4,88965395340234;80,1476669201402;6,54134492871418;12,2524752621316;"67 to 93";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"6";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Canada";47,0203445808808;0,772503629710144;49,3373996105353;0,617638261093059;2,31705502965448;0,989059593493438;2,34268495538318;479,2706453246;4,34516716506875;549,341846058057;2,13272749880677;70,0712007334569;4,84035166868671;14,4764689695509;"61 to 80";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"7";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Chile";47,0203445808808;0,772503629710144;47,6263223824847;1,41336818971085;0,60597780160391;1,61070527955982;0,376218920552316;479,2706453246;4,34516716506875;501,607374958723;2,92808210517868;22,3367296341234;5,23967007616503;4,26300307260413;"12 to 33";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"8";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Chinese Taipei";47,0203445808808;0,772503629710144;48,1092212095421;0,641500318062171;1,08887662866132;1,00413371419807;1,08439405356579;479,2706453246;4,34516716506875;562,797378914609;2,24477820143102;83,5267335900096;4,89075728962412;17,0784867544365;"74 to 93";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"9";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Czech Republic";47,0203445808808;0,772503629710144;49,1285414013935;0,94239972040127;2,10819682051266;1,21855615009229;1,7300776992123;479,2706453246;4,34516716506875;548,663220340885;2,18831877323358;69,3925750162853;4,86510192551792;14,2633342689728;"60 to 79";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
"10";"Girl";"ASRREA0";"IDCNTRY";"Azerbaijan, Republic of";"Denmark";47,0203445808808;0,772503629710144;51,058349123138;0,895124735859765;4,03800454225716;1,18237479280614;3,41516460501812;479,2706453246;4,34516716506875;554,34070633432;2,6338738361088;75,0700610097204;5,081118880417;14,7743169912922;"65 to 85";"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h 3m";150;5;"NONE"
