"";"IDCNTRY";"EqVar";"b";"beta";"b.se";"beta.se";"b.t";"beta.t";"xvar";"dvar";"weight";"method";"jk2type";"shortcut";"missoptn";"date";"time";"reps";"npv";"selcrit"
"1";"Argentina, Buenos Aires";"(CONSTANT)";83,8443196124241;NA;27,658535283732;NA;3,03140852370947;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"2";"Argentina, Buenos Aires";"ASDAGE";-4,17853776072161;-0,0198763430092734;2,5895675970808;0,0123035701838722;-1,61360443551736;-1,61549393486842;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"3";"Argentina, Buenos Aires";"ASDGSLR_D2";2,91727313453078;0,0150655661577837;3,41472104165852;0,0176623678020862;0,854322534385962;0,852975451909921;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"4";"Argentina, Buenos Aires";"ASDGSLR_D3";2,34314333475386;0,00996986986451407;4,96382051568026;0,0211247521663172;0,472044331045428;0,47195203929591;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"5";"Argentina, Buenos Aires";"ASBG01_D2";-7,19061471326756;-0,0385898554017844;2,41808266298911;0,0129415914390872;-2,97368440844735;-2,98184775677837;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"6";"Argentina, Buenos Aires";"ASRINF0_";0,91183639201954;0,847399326307735;0,0146328613206068;0,00651554366582693;62,3142919242622;130,058114835792;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"7";"Australia";"(CONSTANT)";117,570370129766;NA;18,1801667713003;NA;6,46695773524838;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"8";"Australia";"ASDAGE";0,123037374317586;0,000628932984078456;1,82330934733117;0,00924854862389463;0,067480252047015;0,068003425148627;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"9";"Australia";"ASDGSLR_D2";0,610539059134362;0,00367492614279758;2,45713215583237;0,0147711595790574;0,248476280644961;0,248790633066337;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"10";"Australia";"ASDGSLR_D3";-0,915039095647188;-0,00415544892748512;3,14284060408843;0,0142126664820639;-0,291150335291214;-0,292376446934094;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"11";"Australia";"ASBG01_D2";-7,60428442705469;-0,046448500794945;1,73268223980559;0,0106532804578515;-4,38873571411911;-4,36001858570354;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"12";"Australia";"ASRINF0_";0,800270488919164;0,864924387631344;0,0112225741866635;0,00543073660344286;71,3089952098672;159,264654279682;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"13";"Austria";"(CONSTANT)";150,487310380659;NA;24,3339682433135;NA;6,18424865504661;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"14";"Austria";"ASDAGE";-4,19819513956625;-0,0302967385893253;2,71666260584244;0,0193291153303307;-1,54535021409638;-1,56741465253634;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"15";"Austria";"ASDGSLR_D2";-1,04432015328985;-0,00790193622797404;1,92481438024007;0,0145624445196912;-0,542556292186265;-0,54262429754078;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"16";"Austria";"ASDGSLR_D3";-3,98050393645836;-0,0231540597327221;2,40788314507258;0,0141569629829871;-1,65311341815068;-1,63552449494621;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"17";"Austria";"ASBG01_D2";-5,9415293624518;-0,0453536374825681;3,18524606247965;0,0243989659345087;-1,86532821826218;-1,85883441143799;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"18";"Austria";"ASRINF0_";0,800577091244259;0,815143911016132;0,0193010049593303;0,010930243423407;41,4785184984501;74,5769219805761;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
"19";"Azerbaijan, Republic of";"(CONSTANT)";72,5203637091286;NA;23,9352827095439;NA;3,02985197998985;NA;" ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_";"ASRIIE0_";"TOTWGT";"JRR";"FULL";"N";"listwise";"04-MAR-26";"14h 5m";150;5;"NONE"
