IDCNTRY;EqVar;TOTWGT;mean;stdev;var;TOTWGT.se;mean.se;stdev.se;var.se;NObs;xvar;dvar;weight;method;jk2type;shortcut;missoptn;date;time;reps;npv;infile;selcrit
Argentina, Buenos Aires;ASDAGE;36695,5162829998;9,96849834056423;,442576755477186;,195874184488713;993,313081483715;,00727738360050336;,0167042113873291;,014783637043404;3993; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASRIIE0_;36695,5162829998;477,085138089911;93,1285490926217;8673,39763127891;993,313081483715;3,6390624773611;2,06376137551647;384,506794069933;3993; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASDGSLR_D2;36695,5162829998;,362286903976848;,480667659988598;,231041399358914;993,313081483715;,00992347232287871;,00284343015145569;,00273343602232658;3993; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASDGSLR_D3;36695,5162829998;,194088085532661;,395502418819402;,156422163291997;993,313081483715;,0111516303339696;,00862641413436543;,00682316572235797;3993; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASBG01_D2;36695,5162829998;,50898689826182;,499926040995806;,24992604646574;993,313081483715;,0109194338526814;,000198531930557846;,000198498370925413;3993; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Argentina, Buenos Aires;ASRINF0_;36695,5162829998;479,304462899859;86,5478254379129;7490,59224566198;993,313081483715;3,21552423834871;1,66189816352032;287,684337359885;3993; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASDAGE;277214,472861003;10,0472767635119;,415055009583226;,172270660980132;5205,20366550437;,0080334959732823;,0131298008224702;,0108975293749601;6262; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASRIIE0_;277214,472861003;549,650084628281;81,8762747669327;6703,92255651767;5205,20366550437;2,3483530344521;1,42180300953504;232,858632620554;6262; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASDGSLR_D2;277214,472861003;,409325083679505;,491710211123484;,241778931723101;5205,20366550437;,00844326297483516;,00155714894981189;,00153131047549328;6262; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASDGSLR_D3;277214,472861003;,163909940044086;,370194497473451;,137043965959621;5205,20366550437;,00719402573379256;,00653148923802406;,00483572583324078;6262; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;ASBG01_D2;277214,472861003;,496044453826003;,499985255212685;,249985255430094;5205,20366550437;,00789005986967719;6,47240793970054E-005;6,47212807618899E-005;6262; ASDGSLR_d2 ASDGSLR_d3 ASBG01_d2 ASDAGE ASRINF0_;ASRIIE0_;TOTWGT;JRR;FULL;N;listwise;25-FEB-26;19h42m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
