"";"IDCNTRY";"StratVar";"NVarStrat"
"1";"Azerbaijan, Republic of";"JKZONE";75
"2";"Australia";"JKZONE";75
"3";"Austria";"JKZONE";75
"4";"Bahrain";"JKZONE";75
"5";"Bulgaria";"JKZONE";75
"6";"Canada";"JKZONE";75
"7";"Chile";"JKZONE";75
"8";"Chinese Taipei";"JKZONE";75
"9";"Czech Republic";"JKZONE";75
"10";"Denmark";"JKZONE";75
"11";"Finland";"JKZONE";75
"12";"France";"JKZONE";75
"13";"Georgia";"JKZONE";75
"14";"Germany";"JKZONE";75
"15";"Hong Kong, SAR";"JKZONE";70
"16";"Hungary";"JKZONE";75
"17";"Iran, Islamic Republic of";"JKZONE";75
"18";"Ireland";"JKZONE";75
"19";"Israel";"JKZONE";75
"20";"Italy";"JKZONE";75
"21";"Kazakhstan";"JKZONE";75
"22";"Kuwait";"JKZONE";75
"23";"Latvia";"JKZONE";74
"24";"Lithuania";"JKZONE";75
"25";"Macao SAR";"JKZONE";75
"26";"Malta";"JKZONE";75
"27";"Morocco";"JKZONE";75
"28";"Oman";"JKZONE";75
"29";"Netherlands";"JKZONE";68
"30";"New Zealand";"JKZONE";75
"31";"Norway";"JKZONE";75
"32";"Poland";"JKZONE";75
"33";"Portugal";"JKZONE";75
"34";"Qatar";"JKZONE";75
"35";"Russian Federation";"JKZONE";75
"36";"Saudi Arabia";"JKZONE";75
"37";"Singapore";"JKZONE";75
"38";"Slovak Republic";"JKZONE";75
"39";"Slovenia";"JKZONE";75
"40";"South Africa";"JKZONE";75
"41";"Spain";"JKZONE";75
"42";"Sweden";"JKZONE";75
"43";"Trinidad And Tobago";"JKZONE";75
"44";"United Arab Emirates";"JKZONE";75
"45";"Egypt";"JKZONE";75
"46";"United States";"JKZONE";75
"47";"England";"JKZONE";75
"48";"Northern Ireland";"JKZONE";70
"49";"Belgium (Flemish)";"JKZONE";75
"50";"Belgium (French)";"JKZONE";75
"51";"Norway (4)";"JKZONE";75
"52";"South Africa (Eng/Afr)";"JKZONE";64
"53";"United Arab Emirates (Dubai)";"JKZONE";75
"54";"United Arab Emirates (Abu Dhabi)";"JKZONE";72
"55";"Canada (Ontario)";"JKZONE";75
"56";"Canada (Quebec)";"JKZONE";65
"57";"Argentina, Buenos Aires";"JKZONE";75
"58";"Spain (Andalucia)";"JKZONE";75
"59";"Denmark (Grade 3)";"JKZONE";75
"60";"Russian Federation, Moscow";"JKZONE";75
"61";"South Africa (Gauteng)";"JKZONE";5
"62";"Spain, Madrid, Bilingual";"JKZONE";40
"63";"Spain, Madrid";"JKZONE";75
