IDCNTRY;ASBG01;dvar;n;TOTWGT;p10;p10_se;p50;p50_se;p90;p90_se;weight;reps;method;jk2type;npv;shortcut;date;time;infile;selcrit
Azerbaijan, Republic of;Girl;ASRREA0;2833;60482,4523569999;364,619458;10,4217637913816;489,335052;5,04210381178773;577,262812;3,54831965206689;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Azerbaijan, Republic of;Boy;ASRREA0;3155;68147,9370969999;346,05649;9,21565709028554;478,127758;4,51065252520123;566,849544;3,11406847986133;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;Girl;ASRREA0;3140;140067,998123;451,61877;6,20464886201469;561,06444;3,03249007639596;650,633976;4,6055558438202;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Australia;Boy;ASRREA0;3160;138461,987243999;418,116854;6,68982774299432;543,627818;3,19571623003265;635,429222;4,59188428673613;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;Girl;ASRREA0;2109;37705,362902;460,588878;5,52903839664492;547,160858;3,24143477161175;621,369634;3,79793890406568;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Austria;Boy;ASRREA0;2248;40082,5135879999;447,832992;6,96227823602262;543,792848;3,76941615776148;618,696818;3,42397438236528;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;Girl;ASRREA0;2700;8520,332229;355,02514;5,9798821497384;471,114202;3,43520955196827;574,131824;2,81645821636957;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bahrain;Boy;ASRREA0;2777;8567,132436;283,435318;5,91045453218565;428,794148;4,74518075017001;556,719066;4,46382669884889;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;Girl;ASRREA0;2119;28967,209615;449,766332;10,9429612398219;566,860344;5,41632855879663;660,338932;3,88869285688319;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Bulgaria;Boy;ASRREA0;2161;29555,679937;432,003808;10,4127701984675;551,682386;4,78841730144998;644,680254;4,3687265722205;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;Girl;ASRREA0;9031;159533,882324999;451,70147;5,26752451358507;555,426922;2,74331847059982;639,552372;2,55173600200413;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Canada;Boy;ASRREA0;9049;163818,956665999;437,902722;3,94664602223382;543,079314;2,45844277454366;628,955214;2,7498249146111;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;Girl;ASRREA0;2041;106830,79416;398,22178;7,95345629628213;505,825406;3,45183616716321;595,845162;5,2695020811519;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chile;Boy;ASRREA0;2230;117479,605669;379,532884;6,20902438687886;491,674034;3,3932912636268;586,927382;4,00876921378542;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;Girl;ASRREA0;2060;95091,2520590002;481,229048;4,02122024028327;566,267626;2,3858302029893;640,017666;4,24066129219912;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Chinese Taipei;Boy;ASRREA0;2264;102565,76601;467,4737;5,55393470004194;560,64501;2,62495317319188;634,637958;3,77039819898303;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;Girl;ASRREA0;2674;48701,2731729998;467,470838;3,90142263446347;551,459836;2,46852938574691;627,368666;3,37441217085219;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Czech Republic;Boy;ASRREA0;2858;50429,0323149999;445,271456;6,47023801186445;544,42009;2,99527146568558;622,491668;3,34919913481477;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;Girl;ASRREA0;1768;28143,8969510001;463,95456;6,35039469236913;561,042328;2,15526988778295;635,35438;3,93140214320023;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Denmark;Boy;ASRREA0;1688;26977,1507020001;452,414882;5,74641521065646;545,411778;3,74180339535283;621,878008;4,19105558155274;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
Finland;Girl;ASRREA0;2412;27376,683255;496,559856;4,80448695113285;581,131032;2,93720253066654;655,224096;3,61884578384002;TOTWGT;150;JRR;FULL;5;N;25-FEB-26;21h18m;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\PIRLS2016.sav;NONE
