"";"IDCNTRY";"ASBG01";"dvar";"groupvar";"refpctile";"comppctile";"val";"val_se";"cval";"cval_se";"gap";"gap_se";"gap_t";"weight";"method";"jk2type";"shortcut";"date";"time";"reps";"npv";"selcrit"
"1";"Azerbaijan, Republic of";"Girl";"ASRREA0";"Percentile";10;50;364,619458;10,4217637913816;489,335052;5,04210381178773;124,715594;8,80979875825923;14,156463436021;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"2";"Azerbaijan, Republic of";"Girl";"ASRREA0";"Percentile";10;90;364,619458;10,4217637913816;577,262812;3,54831965206689;212,643354;10,3258232915863;20,5933558995985;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"3";"Azerbaijan, Republic of";"Girl";"ASRREA0";"Percentile";50;90;489,335052;5,04210381178773;577,262812;3,54831965206689;87,92776;4,90520660400365;17,9253937903926;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"4";"Azerbaijan, Republic of";"Boy";"ASRREA0";"Percentile";10;50;346,05649;9,21565709028554;478,127758;4,51065252520123;132,071268;8,08552919026545;16,3342763215804;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"5";"Azerbaijan, Republic of";"Boy";"ASRREA0";"Percentile";10;90;346,05649;9,21565709028554;566,849544;3,11406847986133;220,793054;8,90719388272398;24,7881719997407;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"6";"Azerbaijan, Republic of";"Boy";"ASRREA0";"Percentile";50;90;478,127758;4,51065252520123;566,849544;3,11406847986133;88,721786;4,08708256625262;21,7078526214721;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"7";"Australia";"Girl";"ASRREA0";"Percentile";10;50;451,61877;6,20464886201469;561,06444;3,03249007639596;109,44567;5,95604747501226;18,3755536635938;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"8";"Australia";"Girl";"ASRREA0";"Percentile";10;90;451,61877;6,20464886201469;650,633976;4,6055558438202;199,015206;7,79178230735217;25,5416794450498;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"9";"Australia";"Girl";"ASRREA0";"Percentile";50;90;561,06444;3,03249007639596;650,633976;4,6055558438202;89,569536;4,51338096934282;19,8453302764384;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"10";"Australia";"Boy";"ASRREA0";"Percentile";10;50;418,116854;6,68982774299432;543,627818;3,19571623003265;125,510964;6,16645189043801;20,3538381925307;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"11";"Australia";"Boy";"ASRREA0";"Percentile";10;90;418,116854;6,68982774299432;635,429222;4,59188428673613;217,312368;7,65107477465452;28,4028550759802;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"12";"Australia";"Boy";"ASRREA0";"Percentile";50;90;543,627818;3,19571623003265;635,429222;4,59188428673613;91,801404;3,83856060020629;23,9155802294919;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"13";"Austria";"Girl";"ASRREA0";"Percentile";10;50;460,588878;5,52903839664492;547,160858;3,24143477161175;86,57198;5,10456719015821;16,9597101526872;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
"14";"Austria";"Girl";"ASRREA0";"Percentile";10;90;460,588878;5,52903839664492;621,369634;3,79793890406568;160,780756;6,334893420212;25,3801832698583;"TOTWGT";"JRR";"FULL";"N";"04-MAR-26";"13h15m";150;5;"NONE"
